stim_jnl,frame,time_s,fluor,dff
che1p_NH4Br_JNL_10off_20on_20off,2,0.2,4852900,35.850800973026146
che1p_NH4Br_JNL_10off_20on_20off,3,0.4,4807320,34.57484649047952
che1p_NH4Br_JNL_10off_20on_20off,4,0.6,4723470,32.22757173485129
che1p_NH4Br_JNL_10off_20on_20off,5,0.8,4719430,32.11447704179538
che1p_NH4Br_JNL_10off_20on_20off,6,1,4653540,30.269969783019658
che1p_NH4Br_JNL_10off_20on_20off,7,1.2,4455820,24.735048319897253
che1p_NH4Br_JNL_10off_20on_20off,8,1.401,4523940,26.64198160974096
che1p_NH4Br_JNL_10off_20on_20off,9,1.6,4504050,26.085186202591938
che1p_NH4Br_JNL_10off_20on_20off,10,1.801,4409010,23.42466154218756
che1p_NH4Br_JNL_10off_20on_20off,11,2,4379860,22.608644140558905
che1p_NH4Br_JNL_10off_20on_20off,12,2.2,4236460,18.594342411792198
che1p_NH4Br_JNL_10off_20on_20off,13,2.4,4205110,17.7167387911727
che1p_NH4Br_JNL_10off_20on_20off,14,2.6,4058140,13.602499425225398
che1p_NH4Br_JNL_10off_20on_20off,15,2.8,4028769.9999999995,12.780323401697643
che1p_NH4Br_JNL_10off_20on_20off,16,3,4075540,14.08959042997115
che1p_NH4Br_JNL_10off_20on_20off,17,3.2,3972570,11.20707544384069
che1p_NH4Br_JNL_10off_20on_20off,18,3.4,3871930,8.389785862368713
che1p_NH4Br_JNL_10off_20on_20off,19,3.6,3842760,7.573208586021958
che1p_NH4Br_JNL_10off_20on_20off,20,3.8,3846300,7.672306411125404
che1p_NH4Br_JNL_10off_20on_20off,21,4,3760900,5.281641364844534
che1p_NH4Br_JNL_10off_20on_20off,22,4.2,3711920,3.9105081802211497
che1p_NH4Br_JNL_10off_20on_20off,23,4.4,3593410,0.5929705381281067
che1p_NH4Br_JNL_10off_20on_20off,24,4.6,3615140,1.201274419342197
che1p_NH4Br_JNL_10off_20on_20off,25,4.8,3547700,-0.686623130086162
che1p_NH4Br_JNL_10off_20on_20off,26,5,3605790,0.9395329886311181
che1p_NH4Br_JNL_10off_20on_20off,27,5.2,3403070,-4.73535715401593
che1p_NH4Br_JNL_10off_20on_20off,28,5.4,3444040,-3.5884537939910213
che1p_NH4Br_JNL_10off_20on_20off,29,5.6,3411000,-4.513366828289849
che1p_NH4Br_JNL_10off_20on_20off,30,5.8,3302190,-7.5593652321050895
che1p_NH4Br_JNL_10off_20on_20off,31,6,3266500,-8.558461666551977
che1p_NH4Br_JNL_10off_20on_20off,32,6.2,3182890,-10.899017925563024
che1p_NH4Br_JNL_10off_20on_20off,33,6.4,3291550,-7.857218582133525
che1p_NH4Br_JNL_10off_20on_20off,34,6.6,3254860,-8.88430875248534
che1p_NH4Br_JNL_10off_20on_20off,35,6.8,3226070,-9.690248409188225
che1p_NH4Br_JNL_10off_20on_20off,36,7,3280580,-8.164309865010587
che1p_NH4Br_JNL_10off_20on_20off,37,7.2,3194810,-10.565332593576281
che1p_NH4Br_JNL_10off_20on_20off,38,7.4,2994620,-16.16939858438386
che1p_NH4Br_JNL_10off_20on_20off,39,7.6,3012260,-15.675589083020927
che1p_NH4Br_JNL_10off_20on_20off,40,7.8,3068280,-14.107379997626849
che1p_NH4Br_JNL_10off_20on_20off,41,8,3054040,-14.506010796913028
che1p_NH4Br_JNL_10off_20on_20off,42,8.2,3148160,-11.871240373541182
che1p_NH4Br_JNL_10off_20on_20off,43,8.4,3171170,-11.227104510368784
che1p_NH4Br_JNL_10off_20on_20off,44,8.6,3248810,-9.053670854710157
che1p_NH4Br_JNL_10off_20on_20off,45,8.8,3213930,-10.030092363074052
che1p_NH4Br_JNL_10off_20on_20off,46,9,3207390,-10.213171395892285
che1p_NH4Br_JNL_10off_20on_20off,47,9.2,3180370,-10.969562140043445
che1p_NH4Br_JNL_10off_20on_20off,48,9.4,3195550,-10.544617229006633
