stim_jnl,frame,time_s,fluor,dff
csuEx72_Myristate_1percent_JNL_10off_120on_50off,2,0.1,73978800,17.987909719042456
csuEx72_Myristate_1percent_JNL_10off_120on_50off,3,0.2,72249000,15.229072238142527
csuEx72_Myristate_1percent_JNL_10off_120on_50off,4,0.3,70837500,12.977887647848707
csuEx72_Myristate_1percent_JNL_10off_120on_50off,5,0.4,70050500,11.72271069243869
csuEx72_Myristate_1percent_JNL_10off_120on_50off,6,0.5,69066700,10.153659753769857
csuEx72_Myristate_1percent_JNL_10off_120on_50off,7,0.6,68596000,9.40294591271332
csuEx72_Myristate_1percent_JNL_10off_120on_50off,8,0.7,67978600,8.418261983526353
csuEx72_Myristate_1percent_JNL_10off_120on_50off,9,0.8,67938100,8.35366901441059
csuEx72_Myristate_1percent_JNL_10off_120on_50off,10,0.9,67054800,6.944904332436427
csuEx72_Myristate_1percent_JNL_10off_120on_50off,11,1,66493700,6.050012604761002
csuEx72_Myristate_1percent_JNL_10off_120on_50off,12,1.1,66595000.00000001,6.211574771956737
csuEx72_Myristate_1percent_JNL_10off_120on_50off,13,1.2,65918900,5.13327090975506
csuEx72_Myristate_1percent_JNL_10off_120on_50off,14,1.3,65680100,4.752411625191004
csuEx72_Myristate_1percent_JNL_10off_120on_50off,15,1.4,65509100,4.479685755591116
csuEx72_Myristate_1percent_JNL_10off_120on_50off,16,1.5,64998100,3.6646979230440793
csuEx72_Myristate_1percent_JNL_10off_120on_50off,17,1.6,64695000,3.1812873319579604
csuEx72_Myristate_1percent_JNL_10off_120on_50off,18,1.7,64574100,2.98846535748646
csuEx72_Myristate_1percent_JNL_10off_120on_50off,19,1.8,63972700,2.0292996383205355
csuEx72_Myristate_1percent_JNL_10off_120on_50off,20,1.9,64227700,2.435996110530896
csuEx72_Myristate_1percent_JNL_10off_120on_50off,21,2,63732100,1.6455695551291127
csuEx72_Myristate_1percent_JNL_10off_120on_50off,22,2.1,63414400.00000001,1.1388735973988047
csuEx72_Myristate_1percent_JNL_10off_120on_50off,23,2.2,63239900,0.8605656193568009
csuEx72_Myristate_1percent_JNL_10off_120on_50off,24,2.3,62848800,0.23680487315494977
csuEx72_Myristate_1percent_JNL_10off_120on_50off,25,2.4,62601600,-0.15745147167015272
csuEx72_Myristate_1percent_JNL_10off_120on_50off,26,2.5,62605400,-0.1513908967901552
csuEx72_Myristate_1percent_JNL_10off_120on_50off,27,2.6,62064500,-1.0140658843140142
csuEx72_Myristate_1percent_JNL_10off_120on_50off,28,2.7,61912900.00000001,-1.2558509242633775
csuEx72_Myristate_1percent_JNL_10off_120on_50off,29,2.8,61753900,-1.5094381363474967
csuEx72_Myristate_1percent_JNL_10off_120on_50off,30,2.9,61716700,-1.5687679746464198
csuEx72_Myristate_1percent_JNL_10off_120on_50off,31,3,61197300,-2.3971528674545035
csuEx72_Myristate_1percent_JNL_10off_120on_50off,32,3.1,61176900,-2.4296885852313324
csuEx72_Myristate_1percent_JNL_10off_120on_50off,33,3.2,60850700,-2.949941092035331
csuEx72_Myristate_1percent_JNL_10off_120on_50off,34,3.3,61141600,-2.4859881360902567
csuEx72_Myristate_1percent_JNL_10off_120on_50off,35,3.4,60419500,-3.6376568521024186
csuEx72_Myristate_1percent_JNL_10off_120on_50off,36,3.5,60471600,-3.5545631807214004
csuEx72_Myristate_1percent_JNL_10off_120on_50off,37,3.6,60402800,-3.6642914838118816
csuEx72_Myristate_1percent_JNL_10off_120on_50off,38,3.7,60203400,-3.982312176199121
csuEx72_Myristate_1percent_JNL_10off_120on_50off,39,3.8,59825100.00000001,-4.585658354384126
csuEx72_Myristate_1percent_JNL_10off_120on_50off,40,3.9,59901500,-4.463808901533661
csuEx72_Myristate_1percent_JNL_10off_120on_50off,41,4,59565000,-5.000488756038706
csuEx72_Myristate_1percent_JNL_10off_120on_50off,42,4.1,59390700,-5.278477756455435
csuEx72_Myristate_1percent_JNL_10off_120on_50off,43,4.2,59271200.00000001,-5.469066887550082
csuEx72_Myristate_1percent_JNL_10off_120on_50off,44,4.3,59187200.00000001,-5.6030374901605535
csuEx72_Myristate_1percent_JNL_10off_120on_50off,45,4.4,58934500,-6.006065719680401
csuEx72_Myristate_1percent_JNL_10off_120on_50off,46,4.5,58854600,-6.133497280972981
csuEx72_Myristate_1percent_JNL_10off_120on_50off,47,4.6,59155700,-5.653276466139492
csuEx72_Myristate_1percent_JNL_10off_120on_50off,48,4.7,58379400,-6.891388118597935
csuEx72_Myristate_1percent_JNL_10off_120on_50off,49,4.8,58806900.00000001,-6.209573444598202
csuEx72_Myristate_1percent_JNL_10off_120on_50off,50,4.9,58473800,-6.7408306794737864
csuEx72_Myristate_1percent_JNL_10off_120on_50off,51,5,58012700,-7.476233594517698
csuEx72_Myristate_1percent_JNL_10off_120on_50off,52,5.1,57893700,-7.666025281549199
csuEx72_Myristate_1percent_JNL_10off_120on_50off,53,5.2,57989600,-7.513075510235577
csuEx72_Myristate_1percent_JNL_10off_120on_50off,54,5.3,57763000,-7.8744771596585865
csuEx72_Myristate_1percent_JNL_10off_120on_50off,55,5.4,57510400,-8.277345900365791
csuEx72_Myristate_1percent_JNL_10off_120on_50off,56,5.5,57551400,-8.211955487186872
csuEx72_Myristate_1percent_JNL_10off_120on_50off,57,5.6,57407199.99999999,-8.441938355001525
csuEx72_Myristate_1percent_JNL_10off_120on_50off,58,5.7,57427000,-8.410359570100475
csuEx72_Myristate_1percent_JNL_10off_120on_50off,59,5.8,57296800,-8.618014004146705
csuEx72_Myristate_1percent_JNL_10off_120on_50off,60,5.9,57333800,-8.559003143473046
csuEx72_Myristate_1percent_JNL_10off_120on_50off,61,6,57058400,-8.998235333460235
csuEx72_Myristate_1percent_JNL_10off_120on_50off,62,6.1,57187400.00000001,-8.792494765165571
csuEx72_Myristate_1percent_JNL_10off_120on_50off,63,6.2,57171000,-8.81865093043715
csuEx72_Myristate_1percent_JNL_10off_120on_50off,64,6.3,56845700,-9.337468037927465
csuEx72_Myristate_1percent_JNL_10off_120on_50off,65,6.4,56741900,-9.503017425438976
csuEx72_Myristate_1percent_JNL_10off_120on_50off,66,6.5,56656200,-9.639699337864185
csuEx72_Myristate_1percent_JNL_10off_120on_50off,67,6.6,56316200,-10.181961300811333
csuEx72_Myristate_1percent_JNL_10off_120on_50off,68,6.7,56211300,-10.34926506526179
csuEx72_Myristate_1percent_JNL_10off_120on_50off,69,6.8,56228400,-10.3219924783018
csuEx72_Myristate_1percent_JNL_10off_120on_50off,70,6.9,55801800,-11.00237175298784
csuEx72_Myristate_1percent_JNL_10off_120on_50off,71,7,55541000,-11.418318576330828
csuEx72_Myristate_1percent_JNL_10off_120on_50off,72,7.1,55661699.99999999,-11.225815579484602
csuEx72_Myristate_1percent_JNL_10off_120on_50off,73,7.2,55581400,-11.353885096027696
csuEx72_Myristate_1percent_JNL_10off_120on_50off,74,7.3,55599500,-11.325017620941393
csuEx72_Myristate_1percent_JNL_10off_120on_50off,75,7.4,55534000,-11.429482793215035
csuEx72_Myristate_1percent_JNL_10off_120on_50off,76,7.5,55218000,-11.933467441130619
csuEx72_Myristate_1percent_JNL_10off_120on_50off,77,7.6,55197800,-11.965684181282183
csuEx72_Myristate_1percent_JNL_10off_120on_50off,78,7.7,54873200.00000001,-12.483384867084066
csuEx72_Myristate_1percent_JNL_10off_120on_50off,79,7.8,55125800,-12.080516126376875
csuEx72_Myristate_1percent_JNL_10off_120on_50off,80,7.91,55141500,-12.055476382793726
csuEx72_Myristate_1percent_JNL_10off_120on_50off,81,8.01,54727000,-12.716557511151352
csuEx72_Myristate_1percent_JNL_10off_120on_50off,82,8.11,54573200,-12.96185130497862
csuEx72_Myristate_1percent_JNL_10off_120on_50off,83,8.21,54484500,-13.103317881782772
csuEx72_Myristate_1percent_JNL_10off_120on_50off,84,8.31,54490600,-13.09358906421225
csuEx72_Myristate_1percent_JNL_10off_120on_50off,85,8.41,54744300,-12.6889659465661
