stim_jnl,frame,time_s,fluor,dff
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,2,0.1,90171200,2.9633613743519804
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,3,0.2,89783100,2.5202034641834787
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,4,0.3,90027100,2.7988185893602746
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,5,0.4,89774999.99999999,2.510954355519806
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,6,0.5,89691400,2.415494419188757
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,7,0.6,89479500,2.1735331690864492
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,8,0.7,89380100,2.0600317615349186
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,9,0.8,89451100,2.1411041955002976
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,10,0.9,89024500,1.6539844725477524
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,11,1,88893200,1.5040575629751571
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,12,1.1,88340099.99999999,0.8724918837321658
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,13,1.2,88916900,1.531119769805854
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,14,1.3,88679200,1.2596983958119017
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,15,1.4,88767900,1.3609818450052698
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,16,1.5,88727200,1.3145079286335664
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,17,1.6,88122600,0.6241361881340144
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,18,1.7,88180200,0.6899076275200121
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,19,1.8,88280800,0.8047792733920844
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,20,1.9,87821200.00000001,0.2799779966246616
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,21,2,88047799.99999999,0.5387246661535698
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,22,2.1,88010100,0.49567634558323775
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,23,2.2,87170600,-0.4629195461623361
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,24,2.3,87754800,0.2041581428880084
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,25,2.4,87537500,-0.04396917965673632
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,26,2.5,87542200,-0.03860241290128165
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,27,2.6,87644200,0.07786784434475591
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,28,2.7,87246100,-0.37670871849492593
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,29,2.8,87316200,-0.2966639632699531
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,30,2.9,87114400,-0.5270923741743686
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,31,3,87225300.00000001,-0.40045951605096364
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,32,3.1,87407800.00000001,-0.19206910480192588
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,33,3.2,87368800,-0.2366018502195455
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,34,3.3,86822600,-0.8602886591194054
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,35,3.4,87047400,-0.6035973470712757
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,36,3.5,86636100,-1.0732465314369153
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,37,3.6,86844000,-0.8358527424030799
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,38,3.7,86341500,-1.4096400391298827
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,39,3.8,86471199.99999999,-1.2615401139846931
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,40,3.9,86541200,-1.181609545286415
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,41,4,86037100,-1.7572238264406064
csuEx72_NaAc_0.025M_JNL_10off_20on_20off,42,4.1,86138300,-1.6416670614082634
