stim_jnl,frame,time_s,fluor,dff
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,2,0.1,42810300,-0.86176030528545855
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,3,0.2,42844700,-0.7820982742906235
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,4,0.3,42996200,-0.4312611319732549
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,5,0.4,42885099.99999999,-0.6885417030060093
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,7,0.6,42645099.99999999,-1.2443233145978805
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,8,0.7,42759900,-0.9784744437197516
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,9,0.8,42661800,-1.205650177457929
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,10,0.9,42640300,-1.2554389468297007
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,11,1,42671300,-1.1836504886657506
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,12,1.1,42790500,-0.9076122882417879
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,13,1.2,42757900,-0.9831059571496837
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,14,1.3,42864900,-0.7353199886483077
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,15,1.4,42609100,-1.3276905563366441
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,16,1.5,43152300,-0.06977150876704183
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,17,1.6,42904500,-0.643616022735649
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,18,1.7,42917200,-0.6142059124555791
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,19,1.8,42817100,-0.8460131596236888
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,20,1.9,43386400,0.47234713820652935
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,21,2,42981200,-0.4659974826977468
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,22,2.1,42992300,-0.44029258316162273
