stim_jnl,frame,time_s,fluor,dff
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,2,0.1,17949800,2.102646184379119
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,3,0.2,17955300,2.133931466332906
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,4,0.3,17892000,1.7738663122102305
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,5,0.4,17768600,1.0719383498289012
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,6,0.5,17887700,1.749406909955452
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,7,0.6,17630500,0.28639336113472336
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,8,0.7,17711400,0.746571417509517
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,9,0.8,17589100,0.05090051151894518
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,10,0.9,17459500,-0.6862944959739257
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,11,1,17564900,-0.08675472907771745
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,12,1.1,17382600,-1.1237196200186923
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,13,1.2,17366500,-1.2153001726470507
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,14,1.3,17140400,-2.50140967260182
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,15,1.4,17478700,-0.5770804207897967
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,16,1.5,17286000,-1.6732029357888416
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,17,1.6,17369300,-1.1993731200160318
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,18,1.7,17297200,-1.6094947252647664
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,19,1.8,17397000,-1.0418090636305957
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,20,1.9,17165400,-2.359203845539152
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,21,2,17264600,-1.7949311237544854
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,22,2.1,17160200,-2.388782657568187
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,23,2.2,17272700,-1.748856435786181
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,24,2.3,17060700,-2.9547618492776055
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,25,2.4,17387500,-1.0958472779144095
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,26,2.5,17176800,-2.2943579883985756
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,27,2.6,17228500,-2.000276338032978
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,28,2.7,17117000,-2.6345143267324773
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,29,2.8,16943300,-3.622560413163894
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,30,2.9,17382800,-1.1225819734021911
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,31,3,17326800,-1.4411230260225676
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,32,3.1,17514100,-0.37571696966905876
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,33,3.2,17529100,-0.290393473431458
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,34,3.3,17842200,1.490592304701396
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,35,3.4,17925900,1.9666974137072084
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,36,3.5,18056700,2.7107183008990874
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,37,3.6,18117900,3.0588381655484986
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,38,3.7,18267500,3.9097978346915037
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,39,3.8,18455600,4.979754477511018
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,40,3.9,18941800,7.745373402225784
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,41,4,19565000,11.290280259243973
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,42,4.1,19565000,11.290280259243973
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,43,4.2,18691400,6.321039838366102
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,44,4.3,18777000,6.807952590228678
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,45,4.4,18706900,6.409207451144956
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,46,4.5,18694400,6.338104537613623
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,47,4.6,18589500,5.741408887258668
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,48,4.7,18543700,5.48088781207986
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,49,4.8,18374600,4.519007597827974
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,50,4.9,18438400,4.881916868491902
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,51,5,18394800,4.633909906094609
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,52,5.1,18179800,3.4109397933556647
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,53,5.2,18347800,4.366562951216793
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,54,5.3,18167400,3.340405703132581
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,55,5.4,18060500,2.732333586612613
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,56,5.5,18111500,3.0224334738204557
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,57,5.6,18117500,3.056562872315496
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,58,5.7,17785200,1.166363018998513
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,59,5.8,17744900,0.9371272257734922
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,60,5.9,18059500,2.7266453535301065
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,61,6,17850900,1.5400799325192045
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,62,6.1,17651600,0.4064150791756152
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,63,6.2,17762400,1.03667130471736
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,64,6.3,17858500,1.5833105039462554
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,65,6.4,17761600,1.0321207182513543
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,66,6.5,17526000,-0.3080269959872288
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,67,6.6,17718800,0.7886643423200668
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,68,6.7,17429800,-0.8552350185243753
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,69,6.8,17683000,0.5850255979663261
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,70,6.9,17666900,0.493445045337968
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,71,7,17553800,-0.14989411629354202
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,72,7.1,17532700,-0.26991583433443384
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,73,7.2,17236200,-1.956476943297676
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,74,7.3,17585200,0.02871640249716897
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,75,7.4,17469900,-0.6271368719158559
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,76,7.5,17331000,-1.4172324470760393
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,77,7.6,17312200,-1.5241712290271654
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,78,7.7,17402700,-1.0093861350603073
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,79,7.8,17438800,-0.8040409207818148
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,80,7.9,17367300,-1.2107495861810453
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,81,8,17205200,-2.1328121688553843
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,82,8.1,17217000,-2.0656910184818056
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,83,8.2,17303200,-1.575365326769726
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,84,8.3,17108100,-2.685139601166787
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,85,8.4,17220100,-2.0480574959260345
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,86,8.5,17123100,-2.599816104929186
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,87,8.6,16958700,-3.5349616236932913
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,88,8.7,17181600,-2.2670544696025434
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,89,8.8,17278300,-1.7170023305241433
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,90,8.9,17313500,-1.5167765260199069
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,91,9,17084700,-2.818244255297444
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,92,9.1,16916200,-3.7767115296998264
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,93,9.2,17112900,-2.6578360823707547
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,94,9.3,16976500,-3.433711074824671
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,95,9.4,16863100,-4.078756706380934
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,96,9.5,16791500,-4.486034195088415
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,97,9.6,16749000,-4.72778410109495
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,98,9.7,16845100,-4.1811449018660545
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,99,9.8,16959600,-3.529842213919035
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,100,9.9,16771200,-4.6015053266633
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,101,10,16737300,-4.794336428160278
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,102,10.1,16543400,-5.897284822858332
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,103,10.2,16346600,-7.016729093495654
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,104,10.3,16371900,-6.872816796508234
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,105,10.4,16116800,-8.323885055855698
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,106,10.5,16316800,-7.186238439354355
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,107,10.6,16241400,-7.615131213775362
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,108,10.7,16222900,-7.720363525801735
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,109,10.8,16138600,-8.199881574657052
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,110,10.9,16042400.000000002,-8.747089597194188
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,111,11,16178400,-7.973489897973285
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,112,11.1,16232700,-7.664618841593169
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,113,11.2,16282300,-7.382482480700836
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,114,11.3,16070100,-8.589525540808761
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,115,11.4,16246600,-7.585552401746326
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,116,11.5,16063000,-8.62991199569456
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,117,11.6,15978699.999999998,-9.109430044549887
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,118,11.7,16231900,-7.669169428059175
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,119,11.8,16186799.999999998,-7.925708740080238
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,120,11.9,16187800.000000002,-7.9200205069977105
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,121,12,15957400,-9.23058940920727
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,122,12.1,16001500,-8.979738330268724
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,123,12.2,15830700,-9.95128854076087
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,124,12.3,15736200,-10.488826567057757
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,125,12.4,15840100,-9.897819149785308
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,126,12.5,15815700,-10.036612036998472
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,127,12.6,15674900,-10.837515255015418
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,128,12.7,15880500,-9.668014533252038
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,129,12.81,15692200,-10.739108822688051
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,130,12.9,15932200,-9.37393288288644
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,131,13,15749700,-10.412035420443916
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,132,13.1,16076700,-8.551983202464218
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,133,13.2,15430800,-12.226012950455308
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,134,13.3,15830800,-9.950719717452621
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,135,13.4,15921900,-9.432521683636258
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,136,13.5,15799900,-10.126486119702077
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,137,13.6,15853500,-9.821596826479716
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,138,13.7,15936400,-9.350042303939912
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,139,13.8,15897500,-9.571314570849422
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,140,13.9,15746600,-10.429668942999685
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,141,14,15762100.000000002,-10.341501330220822
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,142,14.1,15687400,-10.766412341484084
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,143,14.2,15344100,-12.71918275870864
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,144,14.3,15622900,-11.133303375305767
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,145,14.4,15595000.000000002,-11.292005078307694
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,146,14.5,15310800,-12.908600920356115
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,147,14.6,15598600,-11.271527439210681
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,148,14.7,15759200,-10.357997206160102
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,149,14.8,15505100,-11.80337723242506
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,150,14.9,15724200,-10.557085364047838
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,151,15,15535200,-11.632161416641607
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,152,15.1,15434600,-12.204397664741782
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,153,15.2,15391600,-12.448991687289572
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,154,15.3,15374200,-12.547966942925187
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,155,15.4,15356300,-12.64978631510206
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,156,15.5,15517300,-11.733980788818476
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,157,15.6,15215300,-13.451827179735506
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,158,15.7,15538500,-11.613390247469335
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,159,15.8,15377100,-12.531471066985919
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,160,15.9,15463100,-12.042283021890341
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,161,16,15462600,-12.045127138431594
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,162,16.1,15369800,-12.572995168488218
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,163,16.2,15498600,-11.840350747461352
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,164,16.3,15511800,-11.765266070772263
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,165,16.41,15482100,-11.934206593322713
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,166,16.5,15604900,-11.23569157079089
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,167,16.61,15417900,-12.299391157219645
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,168,16.71,15527800,-11.674254341452157
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,169,16.81,15606000,-11.22943451440013
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,170,16.91,15355700.000000002,-12.653199254951552
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,171,17.01,15358700,-12.636134555704043
