stim_jnl,frame,time_s,fluor,dff
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,2,0.1,491277000,13.021842230290876
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,3,0.2,484833000,11.53935322443065
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,4,0.3,479969999.99999994,10.420584752131088
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,5,0.4,474409000,9.141236309923045
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,6,0.5,471591000,8.492934941438545
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,7,0.6,466824999.99999994,7.396482023696471
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,8,0.7,464380000,6.833992014489743
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,9,0.8,462338000,6.364215082465133
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,10,0.9,459183000,5.638384416188129
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,11,1,457608000,5.276044226208325
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,12,1.1,456461000,5.012168544997636
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,13,1.2,455481000,4.78671242678798
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,14,1.3,452418000.00000006,4.08204702875108
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,15,1.4,450765999.99999994,3.7019924294833473
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,16,1.5,451093000,3.7772211546410723
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,17,1.6,446706000,2.767959939757644
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,18,1.7,445187000.00000006,2.418502956532691
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,19,1.8,443347000,1.9951975917308746
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,20,1.9,443138000,1.9471156236637133
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,21,2,439529000,1.1168389597671342
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,22,2.1,438837000,0.9576393334394997
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,23,2.2,438633999.99999994,0.9109377089532001
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,24,2.3,438600000,0.9031157619949197
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,25,2.4,437214000,0.5842563948126923
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,26,2.5,436331000,0.38111583116052283
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,27,2.6,431836000,-0.6529915681786636
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,28,2.7,430966999.99999994,-0.8529113301421374
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,29,2.8,431060000,-0.8315160046385544
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,30,2.9,429915999.99999994,-1.0947015140588192
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,31,3,427051000,-1.75381557392683
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,32,3.1,426436000,-1.895300790966563
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,33,3.2,425779000,-2.0464484130724236
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,34,3.3,423643000.00000006,-2.537850727864068
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,35,3.4,422491000.00000006,-2.802876695392153
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,36,3.5,419797000,-3.4226509632052413
csuEx72_NaAc_2.5M_JNL_10off_20on_20off,37,3.6,418740000,-3.665821490702798
