stim_jnl,frame,time_s,fluor,dff
csuEx72_bluelightbasal_JNL_10off_20on_20off,2,0.1,14030500,3.096970702569453
csuEx72_bluelightbasal_JNL_10off_20on_20off,3,0.2,13835300,1.6626291836541216
csuEx72_bluelightbasal_JNL_10off_20on_20off,4,0.3,13686300,0.5677680857115786
csuEx72_bluelightbasal_JNL_10off_20on_20off,5,0.4,13730100,0.889613160140326
csuEx72_bluelightbasal_JNL_10off_20on_20off,6,0.5,13464500,-1.0620318574002068
csuEx72_bluelightbasal_JNL_10off_20on_20off,7,0.6,13537700,-0.5241537878069575
csuEx72_bluelightbasal_JNL_10off_20on_20off,8,0.7,13552900.000000002,-0.4124632596946845
csuEx72_bluelightbasal_JNL_10off_20on_20off,9,0.8,13578100,-0.2272921209822681
csuEx72_bluelightbasal_JNL_10off_20on_20off,10,0.9,13546800.000000002,-0.45728643216078857
csuEx72_bluelightbasal_JNL_10off_20on_20off,11,1,13579699.999999998,-0.21553522328625446
csuEx72_bluelightbasal_JNL_10off_20on_20off,12,1.1,13503000,-0.7791315065895498
csuEx72_bluelightbasal_JNL_10off_20on_20off,13,1.2,13478000.000000002,-0.9628330330899628
csuEx72_bluelightbasal_JNL_10off_20on_20off,14,1.3,13582800,-0.19275623400018788
csuEx72_bluelightbasal_JNL_10off_20on_20off,15,1.399,13651800,0.31425997914098974
csuEx72_bluelightbasal_JNL_10off_20on_20off,16,1.499,13529800,-0.5822034701810924
csuEx72_bluelightbasal_JNL_10off_20on_20off,17,1.599,13526700,-0.6049824594671454
csuEx72_bluelightbasal_JNL_10off_20on_20off,18,1.699,13515600.000000002,-0.686545937233321
csuEx72_bluelightbasal_JNL_10off_20on_20off,19,1.799,13473700,-0.99442969564805
csuEx72_bluelightbasal_JNL_10off_20on_20off,20,1.899,13628800,0.1452545747605972
csuEx72_bluelightbasal_JNL_10off_20on_20off,21,1.999,13643300,0.25180146013084465
csuEx72_bluelightbasal_JNL_10off_20on_20off,22,2.099,13697200,0.6478619512657645
csuEx72_bluelightbasal_JNL_10off_20on_20off,23,2.199,13563099.999999998,-0.3375130368825378
csuEx72_bluelightbasal_JNL_10off_20on_20off,24,2.299,13602700,-0.046529818905848244
csuEx72_bluelightbasal_JNL_10off_20on_20off,25,2.399,13535000,-0.5439935526690036
csuEx72_bluelightbasal_JNL_10off_20on_20off,26,2.499,13619699.999999998,0.07838721911442821
csuEx72_bluelightbasal_JNL_10off_20on_20off,27,2.599,13627900,0.13864131980658184
csuEx72_bluelightbasal_JNL_10off_20on_20off,28,2.699,13615600.000000002,0.04826016876838561
csuEx72_bluelightbasal_JNL_10off_20on_20off,29,2.799,13635100,0.1915473594387047
csuEx72_bluelightbasal_JNL_10off_20on_20off,30,2.899,13678900,0.5133924338674523
csuEx72_bluelightbasal_JNL_10off_20on_20off,31,2.999,13650800,0.3069119180809726
csuEx72_bluelightbasal_JNL_10off_20on_20off,32,3.099,13584099.999999998,-0.18320375462217936
csuEx72_bluelightbasal_JNL_10off_20on_20off,33,3.199,13572200,-0.2706456812363688
csuEx72_bluelightbasal_JNL_10off_20on_20off,34,3.299,13699600,0.6654972978098055
csuEx72_bluelightbasal_JNL_10off_20on_20off,35,3.399,13644099.999999998,0.25767990897884463
csuEx72_bluelightbasal_JNL_10off_20on_20off,36,3.499,13626400,0.12761922821655625
csuEx72_bluelightbasal_JNL_10off_20on_20off,37,3.599,13739800,0.9608893524224915
csuEx72_bluelightbasal_JNL_10off_20on_20off,38,3.699,13719100,0.8087844884801384
csuEx72_bluelightbasal_JNL_10off_20on_20off,39,3.799,13737500,0.9439888119844524
csuEx72_bluelightbasal_JNL_10off_20on_20off,40,3.899,13583500,-0.18761259125817592
csuEx72_bluelightbasal_JNL_10off_20on_20off,41,3.999,13634500,0.18713852280269447
csuEx72_bluelightbasal_JNL_10off_20on_20off,42,4.099,13768700,1.1732483170569847
csuEx72_bluelightbasal_JNL_10off_20on_20off,43,4.199,13641300,0.23710533801081052
csuEx72_bluelightbasal_JNL_10off_20on_20off,44,4.299,13723100,0.8381767327202065
csuEx72_bluelightbasal_JNL_10off_20on_20off,45,4.399,13779900,1.255546600929176
csuEx72_bluelightbasal_JNL_10off_20on_20off,46,4.499,13812000,1.4914193609557238
csuEx72_bluelightbasal_JNL_10off_20on_20off,47,4.599,13829900,1.6229496539300292
csuEx72_bluelightbasal_JNL_10off_20on_20off,48,4.699,13835100,1.6611595714421181
csuEx72_bluelightbasal_JNL_10off_20on_20off,49,4.799,13756800,1.0858063904427817
csuEx72_bluelightbasal_JNL_10off_20on_20off,50,4.899,13814500,1.5097895136057664
csuEx72_bluelightbasal_JNL_10off_20on_20off,51,5.009,13841900,1.711126386650234
csuEx72_bluelightbasal_JNL_10off_20on_20off,52,5.109,13855599.999999998,1.811794823172454
csuEx72_bluelightbasal_JNL_10off_20on_20off,53,5.209,13746500,1.010121361524606
csuEx72_bluelightbasal_JNL_10off_20on_20off,54,5.309,13949200,2.499573338390065
csuEx72_bluelightbasal_JNL_10off_20on_20off,55,5.409,13819700,1.547999431117855
csuEx72_bluelightbasal_JNL_10off_20on_20off,56,5.509,13794100,1.3598890679814184
csuEx72_bluelightbasal_JNL_10off_20on_20off,57,5.609,13836100,1.668507632502135
csuEx72_bluelightbasal_JNL_10off_20on_20off,58,5.709,13889500,2.0608940931070463
