stim_jnl,frame,time_s,fluor,dff
csuEx72_bluelightbasal_JNL_10off_20on_20off,2,0.1,28356400,-1.994715810358727
csuEx72_bluelightbasal_JNL_10off_20on_20off,3,0.2,28089300,-2.9178658367038617
csuEx72_bluelightbasal_JNL_10off_20on_20off,4,0.3,28304000,-2.1758204954223177
csuEx72_bluelightbasal_JNL_10off_20on_20off,5,0.4,28041700,-3.082380779624223
csuEx72_bluelightbasal_JNL_10off_20on_20off,6,0.5,27934400,-3.453230640451003
csuEx72_bluelightbasal_JNL_10off_20on_20off,7,0.6,27720600.000000004,-4.192165405080679
csuEx72_bluelightbasal_JNL_10off_20on_20off,8,0.7,27675200.000000004,-4.349076716185393
csuEx72_bluelightbasal_JNL_10off_20on_20off,9,0.8,27898100,-3.5786905654091776
csuEx72_bluelightbasal_JNL_10off_20on_20off,10,0.9,28137700,-2.7505859367596295
csuEx72_bluelightbasal_JNL_10off_20on_20off,11,1,28338300,-2.0572729630238222
csuEx72_bluelightbasal_JNL_10off_20on_20off,12,1.1,28442800,-1.6961004517805929
csuEx72_bluelightbasal_JNL_10off_20on_20off,13,1.2,28256199.999999996,-2.3410266775986592
csuEx72_bluelightbasal_JNL_10off_20on_20off,14,1.3,28567999.999999996,-1.2633846775446982
csuEx72_bluelightbasal_JNL_10off_20on_20off,15,1.4,28500500,-1.4966779264338526
csuEx72_bluelightbasal_JNL_10off_20on_20off,16,1.5,28619300,-1.0860818083889179
csuEx72_bluelightbasal_JNL_10off_20on_20off,17,1.6,28394499.999999996,-1.863034732096854
csuEx72_bluelightbasal_JNL_10off_20on_20off,18,1.7,28542700,-1.350826443424625
csuEx72_bluelightbasal_JNL_10off_20on_20off,19,1.8,28577700,-1.229859573630242
csuEx72_bluelightbasal_JNL_10off_20on_20off,20,1.9,28528200,-1.4009412894822981
csuEx72_bluelightbasal_JNL_10off_20on_20off,21,2,28320300,-2.1194844960609336
csuEx72_bluelightbasal_JNL_10off_20on_20off,22,2.1,28676600,-0.8880417615541137
csuEx72_bluelightbasal_JNL_10off_20on_20off,23,2.2,28806300,-0.4397731040589284
csuEx72_bluelightbasal_JNL_10off_20on_20off,24,2.3,28946700,0.04547685363053974
csuEx72_bluelightbasal_JNL_10off_20on_20off,25,2.4,29380300,1.5440835605689542
csuEx72_bluelightbasal_JNL_10off_20on_20off,26,2.51,29418100,1.6747277799468878
csuEx72_bluelightbasal_JNL_10off_20on_20off,27,2.6,29622600,2.3815199191740692
csuEx72_bluelightbasal_JNL_10off_20on_20off,28,2.7,29322600,1.3446610352222141
csuEx72_bluelightbasal_JNL_10off_20on_20off,29,2.8,29086100,0.5272706150401684
csuEx72_bluelightbasal_JNL_10off_20on_20off,30,2.9,29162100,0.7899415323079716
csuEx72_bluelightbasal_JNL_10off_20on_20off,31,3,29061000,0.4405200884161965
csuEx72_bluelightbasal_JNL_10off_20on_20off,32,3.1,28939499.999999996,0.020592240415682347
csuEx72_bluelightbasal_JNL_10off_20on_20off,33,3.2,28736700,-0.6803243651357588
csuEx72_bluelightbasal_JNL_10off_20on_20off,34,3.3,29077600,0.49789294666153244
csuEx72_bluelightbasal_JNL_10off_20on_20off,35,3.4,28956000,0.07761947903304725
csuEx72_bluelightbasal_JNL_10off_20on_20off,36,3.5,29274000,1.1766898960220136
csuEx72_bluelightbasal_JNL_10off_20on_20off,37,3.6,29439900,1.7500728588473895
csuEx72_bluelightbasal_JNL_10off_20on_20off,38,3.7,29072900,0.4816488241462868
csuEx72_bluelightbasal_JNL_10off_20on_20off,39,3.8,29345100,1.4224254515186032
csuEx72_bluelightbasal_JNL_10off_20on_20off,40,3.9,29560700,2.167581369452003
csuEx72_bluelightbasal_JNL_10off_20on_20off,41,4,29966500,3.5701058198108786
csuEx72_bluelightbasal_JNL_10off_20on_20off,42,4.1,29693100,2.625181756902755
csuEx72_bluelightbasal_JNL_10off_20on_20off,43,4.2,29916700,3.397987245074871
csuEx72_bluelightbasal_JNL_10off_20on_20off,44,4.3,30050700,3.8611175465733663
csuEx72_bluelightbasal_JNL_10off_20on_20off,45,4.4,29820500,3.0655011629543094
csuEx72_bluelightbasal_JNL_10off_20on_20off,46,4.5,29706800.000000004,2.6725316459365693
csuEx72_bluelightbasal_JNL_10off_20on_20off,47,4.6,29596200,2.290276337386306
csuEx72_bluelightbasal_JNL_10off_20on_20off,48,4.7,29535300.000000004,2.079793983944092
csuEx72_bluelightbasal_JNL_10off_20on_20off,49,4.8,29544800.000000004,2.1126278486025676
csuEx72_bluelightbasal_JNL_10off_20on_20off,50,4.9,29685400,2.5985690455479906
csuEx72_bluelightbasal_JNL_10off_20on_20off,51,5,29894400,3.32091406803445
csuEx72_bluelightbasal_JNL_10off_20on_20off,52,5.1,30398100,5.061800134189615
csuEx72_bluelightbasal_JNL_10off_20on_20off,53,5.2,30332000,4.833345560092223
csuEx72_bluelightbasal_JNL_10off_20on_20off,54,5.3,30413900,5.116408035411079
csuEx72_bluelightbasal_JNL_10off_20on_20off,55,5.4,30430600,5.174126513284398
csuEx72_bluelightbasal_JNL_10off_20on_20off,56,5.5,30383200,5.010302809620006
csuEx72_bluelightbasal_JNL_10off_20on_20off,57,5.6,30274400,4.634268654373466
csuEx72_bluelightbasal_JNL_10off_20on_20off,58,5.7,30140100,4.1701014939910195
csuEx72_bluelightbasal_JNL_10off_20on_20off,59,5.8,29918600,3.404554018006566
csuEx72_bluelightbasal_JNL_10off_20on_20off,60,5.9,30130499.999999996,4.136922009704547
csuEx72_bluelightbasal_JNL_10off_20on_20off,61,6,29902500,3.3489092579011497
csuEx72_bluelightbasal_JNL_10off_20on_20off,62,6.1,29814500,3.0447639852752726
csuEx72_bluelightbasal_JNL_10off_20on_20off,63,6.2,30167200,4.26376441317467
csuEx72_bluelightbasal_JNL_10off_20on_20off,64,6.3,30284100,4.667793758287909
csuEx72_bluelightbasal_JNL_10off_20on_20off,65,6.4,30005099.999999996,3.7035149962126717
csuEx72_bluelightbasal_JNL_10off_20on_20off,66,6.5,30092100,4.004204072558722
csuEx72_bluelightbasal_JNL_10off_20on_20off,67,6.6,30248300,4.544061931469654
csuEx72_bluelightbasal_JNL_10off_20on_20off,68,6.7,30117300,4.091300218810678
csuEx72_bluelightbasal_JNL_10off_20on_20off,69,6.8,29970100,3.5825481264183017
csuEx72_bluelightbasal_JNL_10off_20on_20off,70,6.9,29934200,3.4584706799720624
csuEx72_bluelightbasal_JNL_10off_20on_20off,71,7,30051100,3.8625000250853017
csuEx72_bluelightbasal_JNL_10off_20on_20off,72,7.1,30023700,3.767800247017699
csuEx72_bluelightbasal_JNL_10off_20on_20off,73,7.2,30209500,4.409961515811882
csuEx72_bluelightbasal_JNL_10off_20on_20off,74,7.3,30313700,4.7700971681711595
csuEx72_bluelightbasal_JNL_10off_20on_20off,75,7.4,30326500,4.814336480553106
csuEx72_bluelightbasal_JNL_10off_20on_20off,76,7.5,29902400,3.348563638273166
csuEx72_bluelightbasal_JNL_10off_20on_20off,77,7.6,30552200,5.594399980912884
csuEx72_bluelightbasal_JNL_10off_20on_20off,78,7.7,30198200,4.3709064978496945
csuEx72_bluelightbasal_JNL_10off_20on_20off,79,7.8,30252500.000000004,4.558577955844994
