stim_jnl,frame,time_s,fluor,dff
csuEx72_bluelightbasal_JNL_10off_20on_20off,2,0.1,7112930,4.051171087983266
csuEx72_bluelightbasal_JNL_10off_20on_20off,3,0.2,6856840,0.30497023911766047
csuEx72_bluelightbasal_JNL_10off_20on_20off,4,0.3,6766990,-1.0093963752389123
csuEx72_bluelightbasal_JNL_10off_20on_20off,5,0.4,6806720,-0.4282078878890332
csuEx72_bluelightbasal_JNL_10off_20on_20off,6,0.5,6765870,-1.0257802439988382
csuEx72_bluelightbasal_JNL_10off_20on_20off,7,0.6,6826570,-0.13783307102784265
csuEx72_bluelightbasal_JNL_10off_20on_20off,8,0.7,6687270,-2.175576748043653
csuEx72_bluelightbasal_JNL_10off_20on_20off,9,0.8,6852550,0.2422141703854435
csuEx72_bluelightbasal_JNL_10off_20on_20off,10,0.9,6791890,-0.6451478644155548
csuEx72_bluelightbasal_JNL_10off_20on_20off,11,1,6844080,0.11831116288850223
csuEx72_bluelightbasal_JNL_10off_20on_20off,12,1.1,6706290,-1.897343548209908
csuEx72_bluelightbasal_JNL_10off_20on_20off,13,1.2,6845720,0.14230182785839404
csuEx72_bluelightbasal_JNL_10off_20on_20off,14,1.3,6946050,1.6099746427542754
csuEx72_bluelightbasal_JNL_10off_20on_20off,15,1.4,6727340,-1.5894145862487965
csuEx72_bluelightbasal_JNL_10off_20on_20off,16,1.5,6834990,-0.014661486243398107
csuEx72_bluelightbasal_JNL_10off_20on_20off,17,1.6,6754980,-1.1850841107806198
csuEx72_bluelightbasal_JNL_10off_20on_20off,18,1.7,6827340,-0.12656916125539344
csuEx72_bluelightbasal_JNL_10off_20on_20off,19,1.8,6936720,1.4734911646023907
csuEx72_bluelightbasal_JNL_10off_20on_20off,20,1.9,6689360,-2.145003278661291
csuEx72_bluelightbasal_JNL_10off_20on_20off,21,2,6745190,-1.328296677887474
csuEx72_bluelightbasal_JNL_10off_20on_20off,22,2.1,6786360,-0.72604321641769
csuEx72_bluelightbasal_JNL_10off_20on_20off,23,2.2,6782260,-0.7860198788424196
csuEx72_bluelightbasal_JNL_10off_20on_20off,24,2.3,6824150,-0.173233930312683
csuEx72_bluelightbasal_JNL_10off_20on_20off,25,2.4,6803190,-0.4798463313913003
csuEx72_bluelightbasal_JNL_10off_20on_20off,26,2.51,6801420,-0.5057386954136835
csuEx72_bluelightbasal_JNL_10off_20on_20off,27,2.6,6772770,-0.9248439096742935
csuEx72_bluelightbasal_JNL_10off_20on_20off,28,2.7,6810430,-0.3739363226217779
csuEx72_bluelightbasal_JNL_10off_20on_20off,29,2.801,6741530,-1.3818368204422327
csuEx72_bluelightbasal_JNL_10off_20on_20off,30,2.901,6894550,0.8566092488826729
csuEx72_bluelightbasal_JNL_10off_20on_20off,31,3.001,6876790,0.5968079014038443
csuEx72_bluelightbasal_JNL_10off_20on_20off,32,3.101,6892200,0.8222323813953278
csuEx72_bluelightbasal_JNL_10off_20on_20off,33,3.201,6900560,0.9445262589247763
csuEx72_bluelightbasal_JNL_10off_20on_20off,34,3.301,6889910,0.7887332211629788
csuEx72_bluelightbasal_JNL_10off_20on_20off,35,3.401,6918820,1.2116418335285717
csuEx72_bluelightbasal_JNL_10off_20on_20off,36,3.501,6878740,0.6253333871912158
csuEx72_bluelightbasal_JNL_10off_20on_20off,37,3.611,6915760,1.1668787635237736
csuEx72_bluelightbasal_JNL_10off_20on_20off,38,3.701,6912940,1.1256265225389595
csuEx72_bluelightbasal_JNL_10off_20on_20off,39,3.801,6883090,0.6889671631784288
csuEx72_bluelightbasal_JNL_10off_20on_20off,40,3.901,6851020,0.2198326353830444
csuEx72_bluelightbasal_JNL_10off_20on_20off,41,4.001,6921210,1.246603839185914
csuEx72_bluelightbasal_JNL_10off_20on_20off,42,4.101,6870710,0.5078668995642455
csuEx72_bluelightbasal_JNL_10off_20on_20off,43,4.201,6883410,0.6936482685384077
csuEx72_bluelightbasal_JNL_10off_20on_20off,44,4.301,6889720,0.7859538148554914
csuEx72_bluelightbasal_JNL_10off_20on_20off,45,4.401,6968960,1.9451125296202638
csuEx72_bluelightbasal_JNL_10off_20on_20off,46,4.511,7022500,2.7283199701617322
csuEx72_bluelightbasal_JNL_10off_20on_20off,47,4.601,7030970,2.8522229776586734
csuEx72_bluelightbasal_JNL_10off_20on_20off,48,4.701,6996440,2.347102452408451
csuEx72_bluelightbasal_JNL_10off_20on_20off,49,4.801,6948760,1.6496177537715966
csuEx72_bluelightbasal_JNL_10off_20on_20off,50,4.901,6946120,1.6109986345517708
csuEx72_bluelightbasal_JNL_10off_20on_20off,51,5.001,7034980,2.910883079200909
csuEx72_bluelightbasal_JNL_10off_20on_20off,52,5.101,7113580,4.060679583245723
csuEx72_bluelightbasal_JNL_10off_20on_20off,53,5.201,6986680,2.204328738929095
csuEx72_bluelightbasal_JNL_10off_20on_20off,54,5.301,7107720,3.9749568413411103
csuEx72_bluelightbasal_JNL_10off_20on_20off,55,5.411,7053670,3.184288889132176
csuEx72_bluelightbasal_JNL_10off_20on_20off,56,5.501,6941480,1.543122606832077
