stim_jnl,frame,time_s,fluor,dff
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,2,0.5,33678200,45.58537910446429
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,3,1,33324800,44.05768840319409
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,4,1.5,31858000,37.71695065383611
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,5,2,30869000,33.44166456567477
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,6,2.5,30924800,33.68287888692796
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,7,3,30563600.000000004,32.12147005472992
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,8,3.5,30469700,31.71555563240599
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,9,4,30257200.000000004,30.796952706486607
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,10,4.508,29705400,28.411611085205067
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,11,5.008,29689300,28.34201340470012
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,12,5.508,29845500,29.0172405907171
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,13,6.008,29563200,27.796903621366297
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,14,6.508,29478399.999999996,27.430327018458218
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,15,7.008,29317800,26.73607934832809
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,16,7.508,29142100.000000004,25.976556834991456
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,17,8.008,29003899.999999996,25.379140720346427
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,18,8.508,29019600,25.447009265932017
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,19,9.008,28864200.000000004,24.775240349753805
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,20,9.508,28673700.000000004,23.95173984440018
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,21,10.008,28649600,23.847559465507658
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,22,10.508,28232700,22.04536859578626
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,23,11.008,26995500,16.697154290151065
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,24,11.508,25594000,10.638697816381484
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,25,12.008,24297500,5.034139258948548
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,26,12.508,22952300,-0.7809414749186238
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,27,13.008,21714600,-6.13131719920304
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,28,13.508,20591300,-10.987160336545438
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,29,14.008,19575200,-15.379595315494615
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,30,14.508,18857100,-18.48382477950741
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,31,15.008,18515600,-19.960073716926114
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,32,15.508,18086000,-21.817164620337753
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,33,16.008,17540700,-24.17440779917939
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,34,16.508,17157600,-25.830486768213373
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,35,17.008,16862200,-27.107452906173794
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,36,17.508,16793800,-27.403134977387385
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,37,18.008,16537100,-28.512807311898015
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,38,18.508,16269400,-29.670030856691533
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,39,19.008,16370600,-29.232559722088975
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,40,19.508,16550900,-28.453152157179485
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,41,20.008,16380200,-29.19106048402391
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,42,20.508,16359300.000000002,-29.281407783561384
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,43,21.008,16039600,-30.663418867874014
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,44,21.508,15955900,-31.025240349753798
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,45,22.008,16140800,-30.225947733271457
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,46,22.508,16183500,-30.04136258062789
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,47,23.008,16313899.999999998,-29.477664596910774
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,48,23.508,16548500,-28.463526966695753
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,49,24.008,16676100,-27.911932927414266
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,50,24.501,16745400,-27.612360302632084
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,51,25.001,16819800,-27.290741207627832
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,52,25.501,16967700,-26.65139357118793
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,53,26.001,16883000,-27.017537890366157
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,54,26.501,17490700,-24.390549664101602
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,55,27.001,17739700,-23.314163176788988
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,56,27.502,18140400,-21.58200227130239
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,57,28.001,18469100,-20.16108565130377
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,58,28.501,18586200,-19.654881403655953
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,59,29.002,18681500,-19.242915009114217
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,60,29.501,19191100,-17.039997121827042
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,61,30.001,19250400,-16.783652870029297
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,62,30.501,19786300,-14.467044361793038
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,63,31.001,19902000,-13.966892086363043
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,64,31.501,20240200,-12.504908512029205
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,65,32.002,20101400,-13.104918329053264
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,66,32.501,20514800.000000004,-11.317857389876405
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,67,33.002,20598200.000000004,-10.957332759186157
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,68,33.502,20931099.999999996,-9.518260222534106
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,69,34.002,21025000,-9.112345800210178
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,70,34.501,20853000,-9.855873815542585
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,71,35.001,20581100,-11.031253276989569
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,72,35.501,20621299.999999996,-10.857475217592128
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,73,36.001,20830800,-9.951840803568047
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,74,36.501,20432600,-11.673194615808537
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,75,37.001,20687900,-10.569574253515727
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,76,37.501,20849000.000000004,-9.873165164736346
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,77,38.001,20927300,-9.534687004268179
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,78,38.501,20805600.000000004,-10.060776303488824
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,79,39.001,20745700,-10.31971425766565
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,80,39.501,20862800,-9.813510010017831
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,81,40.001,20333800.000000004,-12.10029094089481
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,82,40.501,20334500.000000004,-12.097264954785897
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,83,41.001,20182000.000000004,-12.756497642798642
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,84,41.501,19888100,-14.026979524811416
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,85,42.001,19813300,-14.350327754735046
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,86,42.501,19883600,-14.046432292654416
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,87,43.001,19802500,-14.397014397558241
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,88,43.501,19769700,-14.538803460947214
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,89,44.001,19525200,-15.595737180416828
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,90,44.502,19441700,-15.956694094836918
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,91,45.002,19144000,-17.243602758583766
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,92,45.502,19165400,-17.15109404039706
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,93,46.002,19081300,-17.514644657196218
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,94,46.502,19043500,-17.67804790707741
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,95,47.002,19008300,-17.830211779982648
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,96,47.502,18817100,-18.65673827144518
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,97,48.002,18308500,-20.855333321433914
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,98,48.502,18243400,-21.136750029562634
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,99,49.002,17795100,-23.07467799045518
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,100,49.502,17497900,-24.359425235552802
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,101,50.002,17315800,-25.146613907599498
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,102,50.502,16804000,-27.359042036943247
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,103,51.002,16994100,-26.537270666509006
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,104,51.502,16520400,-28.584998694782033
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,105,52.002,16160100,-30.14251697341149
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,106,52.502,15715200,-32.06574728748932
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,107,53.002,15107200,-34.69403236494341
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,108,53.502,14918800.000000002,-35.5084549119703
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,109,54.002,14505900,-37.29335443249792
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,110,54.502,13978600.000000002,-39.57278653996755
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,111,55.002,13672800,-40.894710185831805
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,112,55.502,13326900,-42.389979607363664
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,113,56.002,13373500,-42.18853538925616
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,114,56.502,13212000,-42.88667361295491
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,115,57.002,12315400,-46.76252953474
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,116,57.502,12664200.000000002,-45.254723885042644
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,117,58.002,12029300,-47.99929328582489
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,118,58.502,12167500,-47.4018771711799
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,119,59.002,12152000,-47.46888114930578
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,120,59.502,11771100.000000002,-49.11544987628318
