stim_jnl,frame,time_s,fluor,dff
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,2,0.5,4104460.0000000005,-9.782538484931425
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,3,1,3511530,-22.815346565928596
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,4,1.5,3282030,-27.859836564054596
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,5,2,2923920,-35.73121919250297
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,6,2.5,2730930,-39.973206664129705
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,7,3,2420390,-46.79898411083144
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,8,3.5,2010220,-55.8146636861314
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,9,4,1841660,-59.519671242053484
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,10,4.5,1723510,-62.11664942627391
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,11,5,1455780,-68.00144815044938
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,12,5.5,1524080,-66.50019034272823
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,13,6,1553580,-65.85177005974471
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,14,6.5,1734800,-61.86849129085411
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,15,7,1940520,-57.34669398185856
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,16,7.5,1824660,-59.893337167840585
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,17,8,1693750,-62.77078459988711
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,18,8.5,1636580,-64.02740112796059
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,19,9,1390230,-69.44225999958734
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,20,9.5,1372110,-69.84054391577924
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,21,10,1213120,-73.33519953583176
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,22,10.5,1090560,-76.02911105727107
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,23,11,2646470,-41.829666904834376
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,24,11.5,5145030,13.089552832497628
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,25,12,6349220,39.55806878388476
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,26,12.5,7025940,54.43261027204086
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,27,13,7232830,58.98012458887
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,28,13.5,6982420,53.47602550202586
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,29,14,6562510,44.24625733159846
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,30,14.5,6043800,32.84483072189067
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,31,15,5975940,31.35324426754283
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,32,15.5,6018780,32.29488240052635
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,33,16,6228130,36.89646837485174
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,34,16.5,6652920,46.233500646328615
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,35,17,6725360,47.82575709715322
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,36,17.5,6901540,51.69825490922224
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,37,18,7081300,55.6494423691923
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,38,18.5,7289250,60.220255855511695
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,39,19,7289790,60.23212524374259
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,40,19.5,7262910,59.641293474027435
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,41,20,7191160,58.06420346372006
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,42,20.491,6937720,52.49350392069151
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,43,20.991,6817680,49.854982877663
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,44,21.491,6721730,47.745968431823385
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,45,21.991,6552940,44.03590539572889
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,46,22.491,6608220,45.250979064994276
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,47,22.991,6400640,40.68829830764789
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,48,23.491,6451730,41.81127431638104
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,49,23.991,6347250,39.514767497190604
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,50,24.491,6083240,33.71173566971677
