stim_jnl,frame,time_s,fluor,dff
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,2,0.5,13154400,-11.270578927648074
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,3,1,13101000,-11.63077407796003
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,4,1.5,12637799.999999998,-14.755163471677232
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,5,2,12398600,-16.368621897793698
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,6,2.5,12389300,-16.431352513859263
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,7,3,12406200,-16.31735816853582
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,8,3.5,11990500,-19.121349254391248
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,9,4,11692400,-21.132101582256304
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,10,4.5,11604699.999999998,-21.723658036982133
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,11,5,11478500,-22.574905751764305
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,12,5.5,11271300,-23.972516896794968
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,13,6,11224100,-24.290891636396548
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,14,6.505,11071800,-25.318189789814355
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,15,7.005,11035100,-25.565739640309648
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,16,7.505,10918300,-26.35358221627288
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,17,8.005,11013800,-25.709412986782397
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,18,8.505,10923099.999999998,-26.32120512411002
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,19,9.005,10723300,-27.66890158538957
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,20,9.505,10524200,-29.011876387395386
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,21,10.005,10572500,-28.686081897506483
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,22,10.505,10586600,-28.590974189278047
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,23,11.005,13244499.999999998,-10.662833926840836
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,24,11.505,18450400,24.45214609205452
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,25,12.005,19863400,33.983152597500094
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,26,12.505,19727000,33.063103561871806
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,27,13.005,18773500,26.63152910826787
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,28,13.505,18075400,21.92268576683011
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,29,14.005,17867800,20.522376530785877
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,30,14.505,17349300,17.02497605444226
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,31,15.005,16869500,13.788615883661803
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,32,15.505,16734000,12.87463755281405
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,33,16.005,16388600,10.54483596259402
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,34,16.505,16468900,11.08647773356874
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,35,17.005,16803600,13.3441053891757
