stim_jnl,frame,time_s,fluor,dff
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,2,0.5,39792500,38.68556884448245
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,3,1,39217900,36.68296212567766
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,4,1.5,38679400,34.80617180532197
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,5,2,38614000,34.57823849622027
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,6,2.5,38116800,32.84538771204043
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,7,3.001,37744800,31.548886320819786
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,8,3.501,37838400,31.875102799901107
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,9,4.001,36790200,28.221896460445517
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,10,4.501,36657700,27.760104970293003
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,11,5.001,36734400,28.02742125176242
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,12,5.501,36235800,26.289691161271527
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,13,6.001,36008100,25.496106841967926
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,14,6.501,35774600,24.682308253661418
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,15,7.001,35436800,23.505001345182023
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,16,7.501,35433500,23.493500123163134
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,17,8.001,35205300,22.698173194462726
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,18,8.495,34809200,21.317678030316227
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,19,8.995,34406700,19.914877465890665
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,20,9.496,34152400,19.0285863266772
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,21,9.996,33884700,18.095593255629442
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,22,10.496,33541300,16.898769121905868
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,23,10.996,33665900,17.333027383588913
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,24,11.496,33471099.999999996,16.65410676259486
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,25,11.996,32212600,12.26795891084439
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,26,12.496,31350500,9.263351788878484
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,27,12.996,29852700,4.043191079818591
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,28,13.496,28495000,-0.6886904762573992
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,29,13.996,26771800,-6.694419501395607
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,30,14.496,25276100,-11.907261250988933
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,31,14.996,24770600,-13.669039351155696
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,32,15.496,23761899.999999996,-17.184579548263944
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,33,15.996,22803500,-20.52481324005389
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,34,16.496,21681600,-24.434880204598084
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,35,16.996,20849500,-27.334930762755878
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,36,17.496,20136000,-29.821634371992246
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,37,17.996,19746500,-31.179127092100956
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,38,18.502,19465100,-32.15986766062109
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,39,19.002,18692000,-34.85429030995625
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,40,19.502,17680900,-38.37819503216913
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,41,20.002,17164600,-40.177613495306815
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,42,20.502,16950100,-40.92519292653485
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,43,21.002,16712700,-41.75258386813641
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,44,21.502,16533800,-42.37608951031215
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,45,22.002,16538500,-42.35970898198221
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,46,22.502,16653800,-41.95786325507968
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,47,23.002,16924300,-41.01511157140983
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,48,23.502,16985700,-40.80111913748255
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,49,24.002,16745300,-41.63896573546492
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,50,24.502,16473400,-42.586596725445816
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,51,25.002,16106900,-43.86392941330165
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,52,25.502,15896900,-44.59582535995846
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,53,26.002,15865200,-44.7063067957157
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,54,26.502,15887900,-44.62719232910089
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,55,27.002,15651500,-45.45109805190885
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,56,27.502,15957300,-44.38531814482478
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,57,28.002,15768000,-45.045070062453995
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,58,28.502,15833900,-44.8153941439555
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,59,29.002,15993000,-44.26089583389313
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,60,29.502,15966499.999999998,-44.353254131923634
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,61,30.002,16033300,-44.12044151651089
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,62,30.502,15927200,-44.49022323051226
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,63,31.002,15997900,-44.24381826180446
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,64,31.502,16522699.999999998,-42.414775438921154
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,65,32.002,16623800,-42.0624198188878
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,66,32.502,16708099.999999998,-41.76861587458699
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,67,33.002,16583000.000000002,-42.204616745666826
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,68,33.502,16980200,-40.82028784084738
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,69,34.002,21917000,-23.61445970058373
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,70,34.502,26686000,-6.993451273886821
