stim_jnl,frame,time_s,fluor,dff
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,2,0.5,2972130,42.91983502239056
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,3,1,2891160,39.02625733845245
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,4,1.5,2757780,32.61245727072781
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,5,2,2821110,35.65778609280759
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,6,2.5,2828880,36.03141952005471
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,7,3,2858390,37.45045715687098
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,8,3.5,2831950,36.17904559748697
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,9,4,2767680,33.08851530544421
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,10,4.505,2751360,32.303740848214744
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,11,5.005,2699180,29.794578398568078
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,12,5.505,2585490,24.32760486655717
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,13,6.005,2439630,17.313683155068816
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,14,6.505,2307530,10.961434025166088
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,15,7.005,2180130,4.835192245078219
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,16,7.505,2238500,7.64201118309807
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,17,8.005,2163730,4.046570854234883
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,18,8.505,2079349.9999999998,-0.01098237499444019
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,19,9.005,2006959.9999999998,-3.4919764288449957
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,20,9.506,1960300,-5.735700459134623
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,21,10.006,1928130,-7.28264863861207
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,22,10.506,2248700,8.132495218866485
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,23,11.006,2397020,15.264710138981341
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,24,11.506,2495810,20.015192285408975
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,25,12.006,2602420,25.141712192592397
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,26,12.506,2552830,22.75709421869477
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,27,13.006,2538620,22.073782635531124
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,28,13.506,2374000,14.157754991590268
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,29,14.006,2178620,4.762581373116424
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,30,14.504,1963620,-5.576052714159021
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,31,15.004,1663730,-19.9967642324522
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,32,15.504,1803590,-13.27136254200409
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,33,16.004,1860610,-10.529460608718294
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,34,16.504,1928270,-7.275916504787798
