stim_jnl,frame,time_s,fluor,dff
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,2,0.5,38613500,39.00551856153693
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,3,1,38093800,37.134640034689305
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,4,1.5,38151400,37.34199543808823
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,5,2.003,37919100,36.50573397611651
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,6,2.503,37378300,34.55889713309324
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,7,3.003,37109100,33.58979861581908
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,8,3.503,36947100,33.00661154375959
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,9,4.003,36431700,31.151212673762927
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,10,4.503,35944100,29.39589158526783
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,11,5.002,36057400,29.803762543689682
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,12,5.502,35553800,27.99084273202822
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,13,6.002,35304800,27.0944626027516
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,14,6.502,35131800,26.471676408515233
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,15,7.002,34649100,24.733994928989837
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,16,7.502,34522100,24.276805063856784
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,17,8.003,34273000,23.380064942560377
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,18,8.503,34121400,22.83431704055903
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,19,9.002,33712500,21.36230967163851
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,20,9.502,33418400,20.30357314143669
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,21,10.002,33203800,19.53103026696777
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,22,10.502,32966300,18.676049219966977
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,23,11.002,32601300.000000004,17.362078347734194
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,24,11.502,31825700,14.569980242244442
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,25,12.003,30625600,10.249716012746974
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,26,12.503,29455300.000000004,6.036729405146883
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,27,13.003,28249000,1.6941456704224338
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,28,13.503,27108000,-2.4133632753792584
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,29,14.003,25878500,-6.83946515869493
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,30,14.503,24707000,-11.05677167053251
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,31,15.003,23506999.999999996,-15.376675908010204
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,32,15.503,22226800,-19.985293745359293
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,33,16.003,21261400,-23.460656704410084
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,34,16.503,20393600,-26.58466745214603
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,35,17.003,19832600,-28.604222683166842
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,36,17.503,19491000,-29.83395542276882
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,37,18.003,18532700,-33.28375894841453
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,38,18.503,18179100,-34.55669073039129
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,39,19.003,18211800,-34.43897333992002
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,40,19.503,18041200,-35.053119725681434
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,41,20.003,18088200,-34.883923476380225
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,42,20.503,18350600,-33.93930441645177
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,43,21.003,18830300,-32.21242269752007
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,44,21.503,18753500,-32.48889656871864
csuEx93_NH4I_2.5M_500ms_JNL_10off_20on_20off,45,22.004,19151700,-31.05540834591563
