stim_jnl,frame,time_s,fluor,dff
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,2,0.5,4762680,35.61271345422
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,3,1,4802950,36.75936281357261
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,4,1.5,4582160,30.47258079093887
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,5,2,4573440,30.22428721225611
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,6,2.5,4411200,25.604659895112686
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,7,3,4347400,23.788016509796172
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,8,3.5,4346810,23.771216829587132
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,9,4,4220210,20.166404093206726
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,10,4.5,4307990,22.66585481990082
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,11,5,4200960,19.618278933843982
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,12,5.5,4087950,16.400428322956543
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,13,6,4070520,15.904125905933553
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,14,6.5,4036629.9999999995,14.93914088511259
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,15,7,4102200,16.806183311056234
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,16,7.5,3836020,9.226964873696536
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,17,8,3887530,10.69366237804847
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,18,8.5,4079069.9999999995,16.147578898793352
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,19,9,3914570,11.46360026423904
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,20,9.5,3935920,12.071520895532261
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,21,10,3871420,10.234945686238925
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,22,10.5,3929540,11.889856557000611
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,23,11,3760350,7.0723347018015454
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,24,11.5,3896600,10.95192186871964
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,25,12,4019529.9999999995,14.45223489939296
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,26,12.5,3899240,11.027093319146532
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,27,13,3730510,6.222669519703667
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,28,13.5,3535380,0.6665312159919025
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,29,14,3267290,-6.967072626790278
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,30,14.5,3022520,-13.9366619908016
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,31,15,2895990,-17.539481544784326
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,32,15.5,2763040,-21.32510439866881
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,33,16,2535520,-27.80351667182261
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,34,16.5,2293910,-34.683128087595684
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,35,17,2371590,-32.47126510685294
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,36,17.5,2364400,-32.67599341312921
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,37,18,2824350,-19.579361358641297
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,38,18.5,3179180,-9.475919784787736
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,39,19,3379430,-3.773994425702608
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,40,19.5,3566200,1.544100951657339
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,41,20,3613760,2.8983260207114645
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,42,20.5,3363200,-4.2361280016224665
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,43,21,3591840,2.274175189894256
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,44,21.5,3414970,-2.762027248364853
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,45,22,3559690,1.3587349886728484
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,46,22.5,3662100,4.274760836482626
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,47,23,3634300,3.4831826842600715
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,48,23.5,3441110,-2.0177159930016306
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,49,24,3524130,0.3461983306500413
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,50,24.5,3529430,0.49711071218887365
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,51,25,3712240,5.702448913908485
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,52,25.5,3601160,2.53955318912858
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,53,26,3843520,9.440520130591109
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,54,26.5,3649650,3.920259110037633
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,55,27,3580820,1.9603913324304951
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,56,27.5,3656800,4.1238484549437935
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,57,28,3597620,2.438755107874341
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,58,28.5,3620250,3.0831225030109026
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,59,29,3591380,2.2610771341380556
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,60,29.5,3361620,-4.28111697574159
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,61,30,3288300,-6.368833167142945
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,62,30.5,3175520,-9.580134750152288
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,63,31,3037440,-13.511829399752658
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,64,31.5,3053470,-13.055390630683322
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,65,32,2830100,-19.41563566168879
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,66,32.5,2775810,-20.96149098126298
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,67,33.001,2661690,-24.210947770170822
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,68,33.501,2424090,-30.976378308590924
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,69,34.001,2197870,-37.41777433721633
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,70,34.501,2120540,-39.61967140597065
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,71,35.001,2043180,-41.82242269575255
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,72,35.501,1958920,-44.22164482187746
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,73,36.001,1850920,-47.296840521159325
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,74,36.501,1646810,-53.10867565245954
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,75,37.002,1732680,-50.663610331187925
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,76,37.502,1707590,-51.378023850585905
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,77,38.002,1546370,-55.96860765279167
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,78,38.502,1424340,-59.443294052637654
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,79,39.002,1247140,-64.48889292220012
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,80,39.502,1322030,-62.35647249702217
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,81,40.002,1260330,-64.11332041040819
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,82,40.502,1073570,-69.43113104742562
