stim_jnl,frame,time_s,fluor,dff
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,2,0.5,7373120,42.947884469784384
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,3,1,7206450,39.716535474436554
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,4,1.5,7072120,37.11218489817764
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,5,2,6841850,32.64777778736739
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,6,2.5,7143750,38.5009262945703
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,7,3,7181990,39.24231218034519
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,8,3.5,6893740,33.65380586301747
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,9,4,6710710,30.105273993943776
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,10,4.5,6538030,26.757404884225995
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,11,5,6526660,26.53696666452776
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,12,5.5,6304390,22.227661203461214
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,13,6,5806210,12.569093719796607
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,14,6.5,5681820,10.15745694334424
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,15,7,5468610,6.023804100612433
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,16,7.5,5206810,0.9481026127498262
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,17,8,4930050,-4.417638960133502
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,18,8.5,4547940,-11.82587538307919
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,19,9,4505290,-12.652761053275293
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,20,9.5,4397560,-14.741398644136405
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,21,10,4349670,-15.669875894914634
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,22,10.5,4727000,-8.354312707690807
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,23,11,6238340,20.947103207764783
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,24,11.5,7202270,39.63549486244547
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,25,12,7477830,44.97797118786725
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,26,12.5,7355900,42.61402816871106
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,27,13,6905560,33.88296855051379
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,28,13.5,6291040,21.968835325451412
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,29,14,6014710,16.61143046624181
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,30,14.5,5565970,7.911391177993273
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,31,15,5277880,2.3259868936604278
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,32,15.5,4923020,-4.553934534845779
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,33,16,4572560,-11.34855005599295
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,34,16.5,4443270,-13.855186592913334
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,35,17,4085390.0000000005,-20.79365889419778
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,36,17.5,3869810,-24.973260600666165
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,37,18,3751450,-27.26798950862422
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,38,18.5,3555330,-31.07030645209104
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,39,19,3239610,-37.19139305922619
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,40,19.5,3392190,-34.23321684448946
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,41,20,3281000,-36.38893589886472
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,42,20.501,3577500,-30.64048100523881
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,43,21.001,3873850,-24.894934267545597
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,44,21.501,4077600.0000000005,-20.94468912563571
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,45,22.001,4055410,-21.374902326612307
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,46,22.501,4058460,-21.31576982264752
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,47,23.001,4061160,-21.263423015859022
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,48,23.501,3869870,-24.972097338293086
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,49,24.001,3601580,-30.17362503951027
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,50,24.501,3269740,-36.60724147087898
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,51,25.001,3235340,-37.274178564776896
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,52,25.5,3132160,-39.27460209234627
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,53,26,2967910,-42.459032838646635
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,54,26.5,2940610,-42.98831721839701
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,55,27,2710260,-47.454275345704694
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,56,27.5,2932600,-43.143612745202894
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,57,28,3431610,-33.468953465377375
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,58,28.5,4136050,-19.811477697195805
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,59,29,4971700,-3.6101409961553594
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,60,29.5,5509650,6.81947556379762
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,61,30,5629850,9.149877851196724
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,62,30.5,5577420,8.133380414188943
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,63,31,5363450,3.9849929147314875
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,64,31.5,5450110,5.665131535580126
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,65,32,5435930,5.390213861409416
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,66,32.5,5232300,1.4422952442456929
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,67,33,5156840,-0.020701066961764724
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,68,33.5,4723020,-8.431475778438298
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,69,34,4606600,-10.688592536333504
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,70,34.5,4231000,-17.970614991800254
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,71,35,3895170,-24.48158837097863
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,72,35.5,3507840,-31.991028620382085
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,73,36,3295530,-36.10723252751772
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,74,36.5,3108430,-39.73467236089853
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,75,37,2956910,-42.67229760704422
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,76,37.5,2731590,-47.040735572075555
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,77,38,2540710,-50.741460934960244
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,78,38.5,2107580,-59.138858129146385
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,79,39,2188490,-57.57019881905103
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,80,39.5,2020540,-60.826364078357855
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,81,40,2086930.0000000002,-59.539214262547326
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,82,40.5,1825420,-64.60929331560672
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,83,41,1800870,-65.0852615032577
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,84,41.5,1713890,-66.77160419009608
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,85,42,1571440,-69.53338294084486
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,86,42.5,1376590,-73.31107749741487
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,87,43,1367460,-73.48808725518487
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,88,43.5,1316430,-74.4774419034875
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,89,44,1355790,-73.71434178674849
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,90,44.5,1066530,-79.32242968735636
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,91,45,1172270,-77.27237363186899
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,92,45.5,1082380,-79.01513454380165
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,93,46,1056450,-79.51785776603342
