stim_jnl,frame,time_s,fluor,dff
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,2,0.5,20768600,51.492094300614866
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,3,1,20557800,49.9544589530917
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,4,1.5,20237000,47.614452219289845
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,5,2,20071900,46.41016571133883
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,6,2.5,19848400,44.77989294012712
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,7,3,19523800,42.412167922071994
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,8,3.5,19465800,41.98909937294324
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,9,4,19197900,40.03496033308813
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,10,4.5,18759200,36.83495735890211
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,11,5,18674500,36.217131391467525
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,12,5.5,18537400,35.21708487275107
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,13,6,18438800,34.49786833923218
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,14,6.5,18284700,33.37381896990903
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,15,7,18081200,31.889431905293446
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,16,7.5,17975200,31.116237660333983
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,17,8,17884300,30.45318712385459
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,18,8.5,17747300,29.45387003367113
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,19,9,17640000,28.671193217782914
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,20,9.5,17464300,27.38958728533595
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,21,10,17329400,26.405588194345082
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,22,10.5,17053300,24.391636014785565
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,23,11,17068200,24.50032086619968
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,24,11.5,16573199.999999998,20.889649627945552
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,25,12,15735100,14.776309093034918
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,26,12.5,14852300,8.336914003881926
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,27,13,13846099.999999998,0.9974041050308262
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,28,13.5,13074900,-4.627948741315769
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,29,14,12157800,-11.317537817281115
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,30,14.5,11462200,-16.39144269269437
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,31,15,10725700,-21.7636838380967
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,32,15.5,10153900,-25.934556189679935
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,33,16,9798490,-28.527018138746392
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,34,16.5,9386080,-31.535254351611798
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,35,17,9089600,-33.697864066192764
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,36,17.5,8567760,-37.50431392269888
