stim_jnl,frame,time_s,fluor,dff
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,2,0.5,5639510,39.19982922572962
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,3,1,6166800,52.214909960125865
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,4,1.5,6187430,52.724119532753065
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,5,2,6092640,50.38442125891245
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,6,2.5,5996040,48.00004681801147
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,7,3,5868080,44.8416145876006
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,8,3.5,5910580,45.890640609736124
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,9,4,5715400,41.07301945678527
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,10,4.5,5589080,37.955067289346225
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,11,5,5533560,36.58466905995883
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,12,5.5,5445240,34.404669571135074
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,13,6,5276020,30.22781819546982
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,14,6.5,5299940,30.818234723692917
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,15,7,5050370,24.658107092060856
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,16,7.5,5054340,24.756098464010925
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,17,8,4868780,20.175927436541095
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,18,8.5,4698520,15.97340577704005
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,19,9,4486120,10.730743962885104
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,20,9.5,4395630,8.497182439519372
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,21,10,4133639.9999999995,2.0304923797714567
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,22,10.5,3972480,-1.9474142961664387
