stim_jnl,frame,time_s,fluor,dff
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,2,0.5,10737500,319.69637995362774
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,3,1,9710830,279.5669566794027
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,4,1.5,8671040,238.92471231041714
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,5,2,8574440,235.14891065234775
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,6,2.5,9124050,256.6315022599206
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,7,3,9043530,253.48421913872232
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,8,3.5,8489220,231.81791875482523
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,9,4,7732180,202.22751619556146
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,10,4.5,6717290,162.55853747135777
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,11,5,5636720,120.32232631545634
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,12,5.5,5255420,105.41846324897735
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,13,6,5031480,96.66532636173028
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,14,6.5,4022490.0000000005,57.226960782274105
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,15,7,3858240,50.80692535434549
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,16,7.5,3631070,41.92753754209258
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,17,8,2931790,14.594798582933294
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,18,8.5,2691600,5.20649837328842
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,19,9,2549210,-0.3590958098638086
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,20,9.5,2630850,2.831964721862773
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,21,10,2512340,-1.8002325296673247
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,22,10.5,2372690,-7.258728404919862
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,23,11,2263130,-11.54109724196009
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,24,11.5,1880080,-26.51336251238962
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,25,12,2160930,-15.535785952671219
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,26,12.5,1960870,-23.35552590829616
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,27,13,1832870,-28.358658540106575
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,28,13.5,1994920,-22.024614454287214
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,29,14,2067670.0000000002,-19.181037118629334
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,30,14.5,2310770,-9.678993815558151
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,31,15,2031480.0000000002,-20.595594696326355
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,32,15.5,2106410,-17.666807758032967
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,33,16,2121910,-17.060959665899677
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,34,16.5,2011320,-21.383588085836504
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,35,17,2026910,-20.77422216607147
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,36,17.504,1859090,-27.333798090059158
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,37,18.004,1812290,-29.163068458564844
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,38,18.504,1535970,-39.96358102748558
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,39,19.004,1413690,-44.74313616981197
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,40,19.504,1505670,-41.14791633017195
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,41,20.004,1290430,-49.56099654635066
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,43,21.004,1247380,-51.24369076353376
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,44,21.504,1130820,-55.79966841637612
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,45,22.004,1066420,-58.31686952175574
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,46,22.504,1233000,-51.80576144513872
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,47,23.004,1119850,-56.22845251771176
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,48,23.504,1055270,-58.75268927835485
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,51,25.004,1109910,-56.616977036150786
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,53,26.004,1025150,-59.92998892577774
