stim_jnl,frame,time_s,fluor,dff
csuEx93_greenlightbasal_JNL_10off_20on_20off,2,0.1,2921710,10.946110914985306
csuEx93_greenlightbasal_JNL_10off_20on_20off,3,0.2,2821500,7.1408359989975185
csuEx93_greenlightbasal_JNL_10off_20on_20off,4,0.3,2828830,7.419178131860413
csuEx93_greenlightbasal_JNL_10off_20on_20off,5,0.4,2821380,7.136279238295808
csuEx93_greenlightbasal_JNL_10off_20on_20off,6,0.5,2842070,7.921940729282609
csuEx93_greenlightbasal_JNL_10off_20on_20off,7,0.6,2802700,6.426943489062678
csuEx93_greenlightbasal_JNL_10off_20on_20off,8,0.7,2806950,6.588328763914969
csuEx93_greenlightbasal_JNL_10off_20on_20off,9,0.8,2806980,6.589467954090397
csuEx93_greenlightbasal_JNL_10off_20on_20off,10,0.9,2793550,6.079490485557158
csuEx93_greenlightbasal_JNL_10off_20on_20off,11,1,2838680,7.793212239459252
csuEx93_greenlightbasal_JNL_10off_20on_20off,12,1.1,2758430,4.745878520189519
csuEx93_greenlightbasal_JNL_10off_20on_20off,13,1.2,2755170,4.6220865211263495
csuEx93_greenlightbasal_JNL_10off_20on_20off,14,1.3,2737360,3.945787286980631
csuEx93_greenlightbasal_JNL_10off_20on_20off,15,1.4,2805740,6.542381426839376
csuEx93_greenlightbasal_JNL_10off_20on_20off,16,1.5,2740660,4.071098206277704
csuEx93_greenlightbasal_JNL_10off_20on_20off,17,1.6,2739710,4.035023850722485
csuEx93_greenlightbasal_JNL_10off_20on_20off,18,1.7,2678500,1.7106961627910175
csuEx93_greenlightbasal_JNL_10off_20on_20off,19,1.8,2726630,3.538336934235905
csuEx93_greenlightbasal_JNL_10off_20on_20off,20,1.9,2768580,5.131304529542638
csuEx93_greenlightbasal_JNL_10off_20on_20off,21,2,2638990,0.21038270175242377
csuEx93_greenlightbasal_JNL_10off_20on_20off,22,2.1,2750700,4.452347184987587
csuEx93_greenlightbasal_JNL_10off_20on_20off,23,2.2,2647440,0.5312546011646262
csuEx93_greenlightbasal_JNL_10off_20on_20off,24,2.3,2588270,-1.7156081548377426
csuEx93_greenlightbasal_JNL_10off_20on_20off,25,2.4,2619990,-0.5111044093519366
csuEx93_greenlightbasal_JNL_10off_20on_20off,26,2.5,2634700,0.0474785066662287
csuEx93_greenlightbasal_JNL_10off_20on_20off,27,2.6,2620290,-0.4997125075976573
csuEx93_greenlightbasal_JNL_10off_20on_20off,28,2.7,2615160,-0.6945140275958346
csuEx93_greenlightbasal_JNL_10off_20on_20off,29,2.8,2566530,-2.5411413019645215
csuEx93_greenlightbasal_JNL_10off_20on_20off,30,2.9,2593850,-1.5037187822081461
csuEx93_greenlightbasal_JNL_10off_20on_20off,31,3,2534770,-3.7471639676842314
csuEx93_greenlightbasal_JNL_10off_20on_20off,32,3.1,2478670,-5.877449595734474
csuEx93_greenlightbasal_JNL_10off_20on_20off,33,3.2,2520060,-4.305746883702397
csuEx93_greenlightbasal_JNL_10off_20on_20off,34,3.3,2556400,-2.925807851200688
csuEx93_greenlightbasal_JNL_10off_20on_20off,35,3.4,2549960,-3.1703540088592184
csuEx93_greenlightbasal_JNL_10off_20on_20off,36,3.5,2567580,-2.5012696458245434
csuEx93_greenlightbasal_JNL_10off_20on_20off,37,3.6,2557110,-2.8988470170488934
csuEx93_greenlightbasal_JNL_10off_20on_20off,38,3.7,2502100,-4.987742068725256
csuEx93_greenlightbasal_JNL_10off_20on_20off,39,3.8,2527250,-4.032720971658168
csuEx93_greenlightbasal_JNL_10off_20on_20off,40,3.9,2514880,-4.502447053992953
csuEx93_greenlightbasal_JNL_10off_20on_20off,41,4,2502780,-4.961920424748889
csuEx93_greenlightbasal_JNL_10off_20on_20off,42,4.1,2540210,-3.5405908158732986
csuEx93_greenlightbasal_JNL_10off_20on_20off,43,4.2,2603200,-1.1486711775331055
csuEx93_greenlightbasal_JNL_10off_20on_20off,44,4.3,2563470,-2.6573386998581707
csuEx93_greenlightbasal_JNL_10off_20on_20off,45,4.4,2534270,-3.7661504706080295
csuEx93_greenlightbasal_JNL_10off_20on_20off,46,4.5,2547750,-3.25427435178241
csuEx93_greenlightbasal_JNL_10off_20on_20off,47,4.6,2568380,-2.470891241146465
csuEx93_greenlightbasal_JNL_10off_20on_20off,48,4.7,2588790,-1.6958621917969916
csuEx93_greenlightbasal_JNL_10off_20on_20off,49,4.8,2547440,-3.266045983595165
csuEx93_greenlightbasal_JNL_10off_20on_20off,50,4.9,2601720,-1.2048712261875505
csuEx93_greenlightbasal_JNL_10off_20on_20off,51,5,2575120,-2.214953181733655
csuEx93_greenlightbasal_JNL_10off_20on_20off,52,5.1,2556600,-2.9182132500311684
csuEx93_greenlightbasal_JNL_10off_20on_20off,53,5.2,2563520,-2.655440049565791
csuEx93_greenlightbasal_JNL_10off_20on_20off,54,5.3,2576110,-2.177359905944533
csuEx93_greenlightbasal_JNL_10off_20on_20off,55,5.4,2575790,-2.1895112678157647
csuEx93_greenlightbasal_JNL_10off_20on_20off,56,5.5,2523880,-4.160690001364572
csuEx93_greenlightbasal_JNL_10off_20on_20off,57,5.6,2553940,-3.019221445585779
csuEx93_greenlightbasal_JNL_10off_20on_20off,58,5.7,2524890,-4.122337265458499
csuEx93_greenlightbasal_JNL_10off_20on_20off,59,5.8,2600230,-1.2614510049004715
csuEx93_greenlightbasal_JNL_10off_20on_20off,60,5.9,2522550,-4.211194099141878
csuEx93_greenlightbasal_JNL_10off_20on_20off,61,6,2484640,-5.650750750824315
csuEx93_greenlightbasal_JNL_10off_20on_20off,62,6.1,2467180,-6.313759432923375
csuEx93_greenlightbasal_JNL_10off_20on_20off,63,6.2,2514910,-4.501307863817526
csuEx93_greenlightbasal_JNL_10off_20on_20off,64,6.3,2481690,-5.7627711180747285
csuEx93_greenlightbasal_JNL_10off_20on_20off,65,6.4,2438740,-7.393711719229058
csuEx93_greenlightbasal_JNL_10off_20on_20off,66,6.5,2447940,-7.0443600654311584
csuEx93_greenlightbasal_JNL_10off_20on_20off,67,6.6,2509870,-4.69269181328942
csuEx93_greenlightbasal_JNL_10off_20on_20off,68,6.7,2363950,-10.233712826570907
csuEx93_greenlightbasal_JNL_10off_20on_20off,69,6.8,2396780,-8.987059044594266
csuEx93_greenlightbasal_JNL_10off_20on_20off,70,6.9,2387280,-9.347802600146448
csuEx93_greenlightbasal_JNL_10off_20on_20off,71,7,2470280,-6.19604311479582
csuEx93_greenlightbasal_JNL_10off_20on_20off,72,7.1,2420520,-8.085579885772292
csuEx93_greenlightbasal_JNL_10off_20on_20off,73,7.21,2351650,-10.70078079849636
csuEx93_greenlightbasal_JNL_10off_20on_20off,74,7.31,2415320,-8.283039516179802
csuEx93_greenlightbasal_JNL_10off_20on_20off,75,7.41,2340160,-11.137090635685261
csuEx93_greenlightbasal_JNL_10off_20on_20off,76,7.51,2359060,-10.41940082516566
csuEx93_greenlightbasal_JNL_10off_20on_20off,77,7.61,2373340,-9.877146301661963
csuEx93_greenlightbasal_JNL_10off_20on_20off,78,7.71,2363880,-10.23637093698024
csuEx93_greenlightbasal_JNL_10off_20on_20off,79,7.81,2324450,-11.733646557551026
csuEx93_greenlightbasal_JNL_10off_20on_20off,80,7.91,2352680,-10.661668602473336
csuEx93_greenlightbasal_JNL_10off_20on_20off,81,8.01,2347770,-10.84811606118504
csuEx93_greenlightbasal_JNL_10off_20on_20off,82,8.11,2279370,-13.44546966116074
csuEx93_greenlightbasal_JNL_10off_20on_20off,83,8.21,2330210,-11.51492204386886
csuEx93_greenlightbasal_JNL_10off_20on_20off,84,8.31,2267100,-13.911398442910766
csuEx93_greenlightbasal_JNL_10off_20on_20off,85,8.41,2277260,-13.52559270349917
csuEx93_greenlightbasal_JNL_10off_20on_20off,86,8.51,2306230,-12.425514724094258
csuEx93_greenlightbasal_JNL_10off_20on_20off,87,8.61,2264880,-13.995698515892432
csuEx93_greenlightbasal_JNL_10off_20on_20off,88,8.71,2238900,-14.982237207813027
