stim_jnl,frame,time_s,fluor,dff
csuEx93_greenlightbasal_JNL_10off_20on_20off,2,0.1,1826580,24.473229695000477
csuEx93_greenlightbasal_JNL_10off_20on_20off,3,0.2,1696940,15.638845491921574
csuEx93_greenlightbasal_JNL_10off_20on_20off,4,0.3,1696340,15.597958184594765
csuEx93_greenlightbasal_JNL_10off_20on_20off,5,0.4,1687960,15.026898792263687
csuEx93_greenlightbasal_JNL_10off_20on_20off,6,0.5,1687660,15.006455138600284
csuEx93_greenlightbasal_JNL_10off_20on_20off,7,0.6,1704390,16.146529557896102
csuEx93_greenlightbasal_JNL_10off_20on_20off,8,0.7,1691070,15.238831335240974
csuEx93_greenlightbasal_JNL_10off_20on_20off,9,0.8,1701990,15.982980328588873
csuEx93_greenlightbasal_JNL_10off_20on_20off,10,0.9,1694190,15.451445333340372
csuEx93_greenlightbasal_JNL_10off_20on_20off,11,1,1689250,15.114806503016323
csuEx93_greenlightbasal_JNL_10off_20on_20off,12,1.1,1590620,8.39361463361126
csuEx93_greenlightbasal_JNL_10off_20on_20off,13,1.2,1634890,11.41041645920755
csuEx93_greenlightbasal_JNL_10off_20on_20off,14,1.3,1592120,8.495832901928281
csuEx93_greenlightbasal_JNL_10off_20on_20off,15,1.4,1615470,10.087030612063211
csuEx93_greenlightbasal_JNL_10off_20on_20off,16,1.5,1555280,5.985352232062292
csuEx93_greenlightbasal_JNL_10off_20on_20off,17,1.6,1537310,4.760777377624404
csuEx93_greenlightbasal_JNL_10off_20on_20off,18,1.7,1581500,7.772127562243786
csuEx93_greenlightbasal_JNL_10off_20on_20off,19,1.8,1549250,5.5744347934278755
csuEx93_greenlightbasal_JNL_10off_20on_20off,20,1.9,1466180,-0.0864129059686415
csuEx93_greenlightbasal_JNL_10off_20on_20off,21,2,1538800,4.862314190819309
csuEx93_greenlightbasal_JNL_10off_20on_20off,22,2.1,1481060,0.9275923157361877
csuEx93_greenlightbasal_JNL_10off_20on_20off,23,2.2,1481830,0.9800643601389242
csuEx93_greenlightbasal_JNL_10off_20on_20off,24,2.3,1504760,2.5426409551450893
csuEx93_greenlightbasal_JNL_10off_20on_20off,25,2.4,1410560,-3.8766662951637088
csuEx93_greenlightbasal_JNL_10off_20on_20off,26,2.5,1377180,-6.15136349277844
csuEx93_greenlightbasal_JNL_10off_20on_20off,27,2.6,1445240,-1.5133799316742278
csuEx93_greenlightbasal_JNL_10off_20on_20off,28,2.7,1412380,-3.7526414629390588
csuEx93_greenlightbasal_JNL_10off_20on_20off,29,2.8,1444830,-1.5413195916808797
csuEx93_greenlightbasal_JNL_10off_20on_20off,30,2.9,1402780,-4.406838380167981
csuEx93_greenlightbasal_JNL_10off_20on_20off,31,3,1464910,-0.172957706477051
csuEx93_greenlightbasal_JNL_10off_20on_20off,32,3.1,1454420,-0.8878041295740711
csuEx93_greenlightbasal_JNL_10off_20on_20off,33,3.2,1356090,-7.588552345315729
csuEx93_greenlightbasal_JNL_10off_20on_20off,34,3.3,1378000,-6.095484172765136
