stim_jnl,frame,time_s,fluor,dff
odr7p_1oct_10percent_JNL_10off_120on_50off,2,0.1,97047000.00000001,37.77265442309667
odr7p_1oct_10percent_JNL_10off_120on_50off,3,0.2,95420200.00000001,35.46316980002234
odr7p_1oct_10percent_JNL_10off_120on_50off,4,0.3,94716799.99999999,34.4645888534582
odr7p_1oct_10percent_JNL_10off_120on_50off,5,0.4,92441099.99999999,31.23389414192007
odr7p_1oct_10percent_JNL_10off_120on_50off,6,0.5,90915000,29.067368150234746
odr7p_1oct_10percent_JNL_10off_120on_50off,7,0.6,89346599.99999999,26.840791015473375
odr7p_1oct_10percent_JNL_10off_120on_50off,8,0.699,88552500,25.71344792524515
odr7p_1oct_10percent_JNL_10off_120on_50off,9,0.799,87448500,24.14615568042461
odr7p_1oct_10percent_JNL_10off_120on_50off,10,0.899,85242100,21.013842628819503
odr7p_1oct_10percent_JNL_10off_120on_50off,11,0.999,84506500,19.969548991781476
odr7p_1oct_10percent_JNL_10off_120on_50off,12,1.099,83427399.99999999,18.437606001395725
odr7p_1oct_10percent_JNL_10off_120on_50off,13,1.199,82384900,16.957622156082873
odr7p_1oct_10percent_JNL_10off_120on_50off,14,1.299,80688400,14.549188013566534
odr7p_1oct_10percent_JNL_10off_120on_50off,15,1.399,80008900,13.584536672664763
odr7p_1oct_10percent_JNL_10off_120on_50off,16,1.499,79091600,12.282292853666684
odr7p_1oct_10percent_JNL_10off_120on_50off,17,1.599,77497600,10.019372710329783
odr7p_1oct_10percent_JNL_10off_120on_50off,18,1.699,76952700,9.24580609420414
odr7p_1oct_10percent_JNL_10off_120on_50off,19,1.799,76144200,8.098020061652143
odr7p_1oct_10percent_JNL_10off_120on_50off,20,1.899,75514100,7.203499370111002
odr7p_1oct_10percent_JNL_10off_120on_50off,21,1.999,74749300,6.117751988916485
odr7p_1oct_10percent_JNL_10off_120on_50off,22,2.099,73220300,3.9471090157909394
odr7p_1oct_10percent_JNL_10off_120on_50off,23,2.199,72765700,3.301736683820453
odr7p_1oct_10percent_JNL_10off_120on_50off,24,2.299,71604100,1.6526726697049317
odr7p_1oct_10percent_JNL_10off_120on_50off,25,2.399,70807200,0.5213545629137302
odr7p_1oct_10percent_JNL_10off_120on_50off,26,2.499,69499900,-1.3345522773524732
odr7p_1oct_10percent_JNL_10off_120on_50off,27,2.599,68891900,-2.1976987310217546
odr7p_1oct_10percent_JNL_10off_120on_50off,28,2.699,68475100,-2.789408339392407
odr7p_1oct_10percent_JNL_10off_120on_50off,29,2.799,66950200.00000001,-4.954230752550764
odr7p_1oct_10percent_JNL_10off_120on_50off,30,2.899,66772500,-5.206502339420892
odr7p_1oct_10percent_JNL_10off_120on_50off,31,2.999,65514700,-6.9921365654492185
odr7p_1oct_10percent_JNL_10off_120on_50off,32,3.099,65111100.00000001,-7.565106810023092
odr7p_1oct_10percent_JNL_10off_120on_50off,33,3.199,64368700,-8.619054058714015
odr7p_1oct_10percent_JNL_10off_120on_50off,34,3.299,63361300,-10.049208232112756
odr7p_1oct_10percent_JNL_10off_120on_50off,35,3.399,63285100,-10.157385468575912
odr7p_1oct_10percent_JNL_10off_120on_50off,36,3.499,61959300,-12.039555811133038
odr7p_1oct_10percent_JNL_10off_120on_50off,37,3.599,61315700,-12.953241761102694
odr7p_1oct_10percent_JNL_10off_120on_50off,38,3.699,60855400,-13.60670609107633
