stim_jnl,frame,time_s,fluor,dff
odr7p_Bcary_5percent_JNL_10off_120on_50off,2,0.1,51917700,19.866580780026748
odr7p_Bcary_5percent_JNL_10off_120on_50off,3,0.2,49780200,14.931562155987024
odr7p_Bcary_5percent_JNL_10off_120on_50off,4,0.301,48277500,11.462157484012995
odr7p_Bcary_5percent_JNL_10off_120on_50off,5,0.4,47535900,9.749965759293527
odr7p_Bcary_5percent_JNL_10off_120on_50off,6,0.5,46536600,7.442801262917903
odr7p_Bcary_5percent_JNL_10off_120on_50off,7,0.6,45969300.00000001,6.133030004242956
odr7p_Bcary_5percent_JNL_10off_120on_50off,8,0.7,45508400,5.068913005964619
odr7p_Bcary_5percent_JNL_10off_120on_50off,9,0.8,45444000.00000001,4.920227532566668
odr7p_Bcary_5percent_JNL_10off_120on_50off,10,0.901,44195700,2.038176656127452
odr7p_Bcary_5percent_JNL_10off_120on_50off,11,1,44751899.99999999,3.322320449667034
odr7p_Bcary_5percent_JNL_10off_120on_50off,12,1.1,44740500,3.29600035033884
odr7p_Bcary_5percent_JNL_10off_120on_50off,13,1.2,44290600,2.2572799391316014
odr7p_Bcary_5percent_JNL_10off_120on_50off,14,1.3,44196799.99999999,2.040716314834543
odr7p_Bcary_5percent_JNL_10off_120on_50off,15,1.401,44323000,2.332084431959151
odr7p_Bcary_5percent_JNL_10off_120on_50off,16,1.5,43697500,0.8879421398717372
odr7p_Bcary_5percent_JNL_10off_120on_50off,17,1.6,43840100,1.217174259538668
odr7p_Bcary_5percent_JNL_10off_120on_50off,18,1.7,43915600,1.391487198072001
odr7p_Bcary_5percent_JNL_10off_120on_50off,19,1.8,43434600,0.2809637088728864
odr7p_Bcary_5percent_JNL_10off_120on_50off,20,1.9,43711700,0.9207268249998608
odr7p_Bcary_5percent_JNL_10off_120on_50off,21,2,43628600.00000001,0.7288671535810703
odr7p_Bcary_5percent_JNL_10off_120on_50off,22,2.1,43455700.00000001,0.3296789804365238
odr7p_Bcary_5percent_JNL_10off_120on_50off,23,2.2,43259600,-0.12307290362159387
odr7p_Bcary_5percent_JNL_10off_120on_50off,24,2.3,43352400,0.09118194003262196
odr7p_Bcary_5percent_JNL_10off_120on_50off,25,2.4,43662900,0.8080583296299713
odr7p_Bcary_5percent_JNL_10off_120on_50off,26,2.5,43257100,-0.12884485522865788
odr7p_Bcary_5percent_JNL_10off_120on_50off,27,2.6,43165100,-0.3412526743686133
odr7p_Bcary_5percent_JNL_10off_120on_50off,28,2.7,43088400,-0.5183361496733369
odr7p_Bcary_5percent_JNL_10off_120on_50off,29,2.8,43248800,-0.14800773456411037
odr7p_Bcary_5percent_JNL_10off_120on_50off,30,2.9,43086300,-0.5231845890232707
odr7p_Bcary_5percent_JNL_10off_120on_50off,31,3,42985800,-0.7552170436272437
odr7p_Bcary_5percent_JNL_10off_120on_50off,32,3.1,42366500,-2.185044895729139
odr7p_Bcary_5percent_JNL_10off_120on_50off,33,3.201,42874400,-1.0124152072380157
odr7p_Bcary_5percent_JNL_10off_120on_50off,34,3.301,43024400,-0.6660981108141754
odr7p_Bcary_5percent_JNL_10off_120on_50off,35,3.4,42785000,-1.2188201967066246
odr7p_Bcary_5percent_JNL_10off_120on_50off,36,3.5,42573100,-1.7080508149213696
odr7p_Bcary_5percent_JNL_10off_120on_50off,37,3.6,42634500,-1.5662916834518776
odr7p_Bcary_5percent_JNL_10off_120on_50off,38,3.701,42104100.00000001,-2.79086893640656
odr7p_Bcary_5percent_JNL_10off_120on_50off,39,3.801,42405400,-2.095233328723223
odr7p_Bcary_5percent_JNL_10off_120on_50off,40,3.901,42605600,-1.6330154440295377
odr7p_Bcary_5percent_JNL_10off_120on_50off,41,4,42234100,-2.4907274528392485
odr7p_Bcary_5percent_JNL_10off_120on_50off,42,4.1,41909500,-3.2401576495004387
odr7p_Bcary_5percent_JNL_10off_120on_50off,43,4.2,42128200,-2.7352273229144797
odr7p_Bcary_5percent_JNL_10off_120on_50off,44,4.301,42377200.00000001,-2.1603409428508877
odr7p_Bcary_5percent_JNL_10off_120on_50off,45,4.4,42224600,-2.512660868946092
odr7p_Bcary_5percent_JNL_10off_120on_50off,46,4.5,41874000,-3.3221193623207474
odr7p_Bcary_5percent_JNL_10off_120on_50off,47,4.6,41902300,-3.256780870128783
odr7p_Bcary_5percent_JNL_10off_120on_50off,48,4.7,42100400,-2.7994114247850317
odr7p_Bcary_5percent_JNL_10off_120on_50off,49,4.8,41722600,-3.671668751644544
odr7p_Bcary_5percent_JNL_10off_120on_50off,50,4.9,41629300,-3.8870779856201727
odr7p_Bcary_5percent_JNL_10off_120on_50off,51,5,41690200,-3.7464732444720936
odr7p_Bcary_5percent_JNL_10off_120on_50off,52,5.1,42211700,-2.542444139238542
odr7p_Bcary_5percent_JNL_10off_120on_50off,53,5.2,42399500,-2.108855134515894
odr7p_Bcary_5percent_JNL_10off_120on_50off,54,5.3,41832800,-3.417241124805163
odr7p_Bcary_5percent_JNL_10off_120on_50off,55,5.4,41975900,-3.086854614816819
odr7p_Bcary_5percent_JNL_10off_120on_50off,56,5.5,42287600,-2.3672076884480786
odr7p_Bcary_5percent_JNL_10off_120on_50off,57,5.601,41673900,-3.7841063689501504
odr7p_Bcary_5percent_JNL_10off_120on_50off,58,5.7,42005500,-3.018514707789181
odr7p_Bcary_5percent_JNL_10off_120on_50off,59,5.8,41766200,-3.5710059156173477
odr7p_Bcary_5percent_JNL_10off_120on_50off,60,5.9,42207600,-2.5519101398741273
odr7p_Bcary_5percent_JNL_10off_120on_50off,61,6,41755500,-3.5957098684955815
odr7p_Bcary_5percent_JNL_10off_120on_50off,62,6.1,42213100,-2.539211846338586
odr7p_Bcary_5percent_JNL_10off_120on_50off,63,6.2,41694200,-3.7372381219007913
odr7p_Bcary_5percent_JNL_10off_120on_50off,64,6.3,42210400,-2.5454455540742154
odr7p_Bcary_5percent_JNL_10off_120on_50off,65,6.4,41828100,-3.428092393826443
odr7p_Bcary_5percent_JNL_10off_120on_50off,66,6.5,42224900,-2.511968234753244
odr7p_Bcary_5percent_JNL_10off_120on_50off,67,6.6,41849999.99999999,-3.3775300977485796
odr7p_Bcary_5percent_JNL_10off_120on_50off,68,6.7,41777700,-3.544454938224853
odr7p_Bcary_5percent_JNL_10off_120on_50off,69,6.8,41722800,-3.671206995515979
odr7p_Bcary_5percent_JNL_10off_120on_50off,70,6.901,41523800,-4.130654343438274
odr7p_Bcary_5percent_JNL_10off_120on_50off,71,7,41775300,-3.5499960117676346
odr7p_Bcary_5percent_JNL_10off_120on_50off,72,7.101,41847200.00000001,-3.3839946835484565
odr7p_Bcary_5percent_JNL_10off_120on_50off,73,7.201,41847400,-3.383532927419909
odr7p_Bcary_5percent_JNL_10off_120on_50off,74,7.3,41706000,-3.7099945103154486
odr7p_Bcary_5percent_JNL_10off_120on_50off,75,7.401,41306900.00000001,-4.63142886486713
odr7p_Bcary_5percent_JNL_10off_120on_50off,76,7.501,41568300,-4.027913604832534
