stim_jnl,frame,time_s,fluor,dff
odr7p_Myristate_1percent_JNL_10off_120on_50off,2,0.1,45978500,10.323380080925123
odr7p_Myristate_1percent_JNL_10off_120on_50off,3,0.2,45039400,8.070051106861227
odr7p_Myristate_1percent_JNL_10off_120on_50off,4,0.3,44512300,6.805297936560856
odr7p_Myristate_1percent_JNL_10off_120on_50off,5,0.4,44005800,5.58997355644866
odr7p_Myristate_1percent_JNL_10off_120on_50off,6,0.5,43626300,4.679380067302405
odr7p_Myristate_1percent_JNL_10off_120on_50off,7,0.6,43714000.00000001,4.8898123439773284
odr7p_Myristate_1percent_JNL_10off_120on_50off,8,0.7,43124800,3.4760529663620967
odr7p_Myristate_1percent_JNL_10off_120on_50off,9,0.8,43233200,3.7361539788086167
odr7p_Myristate_1percent_JNL_10off_120on_50off,10,0.9,43229700,3.727755883388295
odr7p_Myristate_1percent_JNL_10off_120on_50off,11,1,42563600,2.1294783521094534
odr7p_Myristate_1percent_JNL_10off_120on_50off,12,1.1,42415200.00000001,1.7733991062878527
odr7p_Myristate_1percent_JNL_10off_120on_50off,13,1.2,42736500,2.5443442658733204
odr7p_Myristate_1percent_JNL_10off_120on_50off,14,1.3,42167300,1.1785740049456566
odr7p_Myristate_1percent_JNL_10off_120on_50off,15,1.4,42357800,1.6356703413945672
odr7p_Myristate_1percent_JNL_10off_120on_50off,16,1.5,42236399.99999999,1.344376403101123
odr7p_Myristate_1percent_JNL_10off_120on_50off,17,1.6,42169100.00000001,1.182893025447554
odr7p_Myristate_1percent_JNL_10off_120on_50off,18,1.7,42249900,1.3767690568652369
odr7p_Myristate_1percent_JNL_10off_120on_50off,19,1.8,41920700,0.5868681961881693
odr7p_Myristate_1percent_JNL_10off_120on_50off,20,1.9,41890000,0.5132049020727806
odr7p_Myristate_1percent_JNL_10off_120on_50off,21,2,41637000.00000001,-0.09385742402470484
odr7p_Myristate_1percent_JNL_10off_120on_50off,22,2.1,41871900,0.4697747514705481
odr7p_Myristate_1percent_JNL_10off_120on_50off,23,2.2,41508700,-0.40170760757535384
odr7p_Myristate_1percent_JNL_10off_120on_50off,24,2.3,41338500,-0.8100949905864016
odr7p_Myristate_1percent_JNL_10off_120on_50off,25,2.4,41333200,-0.8228121065086021
odr7p_Myristate_1percent_JNL_10off_120on_50off,26,2.5,41119199.99999999,-1.3362956550654015
