stim_jnl,frame,time_s,fluor,dff
odr7p_Myristate_1percent_JNL_10off_120on_50off,2,0.1,67137200,10.258259012979652
odr7p_Myristate_1percent_JNL_10off_120on_50off,3,0.2,66354800,8.973337064316985
odr7p_Myristate_1percent_JNL_10off_120on_50off,4,0.3,65015500,6.773827905518528
odr7p_Myristate_1percent_JNL_10off_120on_50off,5,0.4,64544300,5.999984318849498
odr7p_Myristate_1percent_JNL_10off_120on_50off,6,0.5,63877000,4.90408910368769
odr7p_Myristate_1percent_JNL_10off_120on_50off,7,0.6,63587000,4.427827133963542
odr7p_Myristate_1percent_JNL_10off_120on_50off,8,0.7,62619000,2.838097524677419
odr7p_Myristate_1percent_JNL_10off_120on_50off,9,0.8,62242000,2.218956964036026
odr7p_Myristate_1percent_JNL_10off_120on_50off,10,0.9,62207000,2.161477071138284
odr7p_Myristate_1percent_JNL_10off_120on_50off,11,1,61877500,1.6203449365723983
odr7p_Myristate_1percent_JNL_10off_120on_50off,12,1.1,61824199.99999999,1.532811271102396
odr7p_Myristate_1percent_JNL_10off_120on_50off,13,1.2,61618600,1.195157957394529
odr7p_Myristate_1percent_JNL_10off_120on_50off,14,1.3,61461900,0.937812265478067
odr7p_Myristate_1percent_JNL_10off_120on_50off,15,1.4,61486800,0.9787051035681749
odr7p_Myristate_1percent_JNL_10off_120on_50off,16,1.5,61349400,0.7530554668781817
odr7p_Myristate_1percent_JNL_10off_120on_50off,17,1.6,61111400,0.3621921951735358
odr7p_Myristate_1percent_JNL_10off_120on_50off,18,1.7,60604800,-0.46978819745492495
odr7p_Myristate_1percent_JNL_10off_120on_50off,19,1.8,60550200,-0.5594568303754026
odr7p_Myristate_1percent_JNL_10off_120on_50off,20,1.9,61033300,0.23392991987885992
odr7p_Myristate_1percent_JNL_10off_120on_50off,21,2,60535500.00000001,-0.5835983853924419
odr7p_Myristate_1percent_JNL_10off_120on_50off,22,2.1,60822000,-0.11308440495807998
odr7p_Myristate_1percent_JNL_10off_120on_50off,23,2.2,60916100,0.0414543928041351
odr7p_Myristate_1percent_JNL_10off_120on_50off,24,2.3,60772300,-0.19470585287287367
odr7p_Myristate_1percent_JNL_10off_120on_50off,25,2.4,60893400,0.0041745765533138255
odr7p_Myristate_1percent_JNL_10off_120on_50off,26,2.5,60755400,-0.222460429729212
odr7p_Myristate_1percent_JNL_10off_120on_50off,27,2.6,60672700,-0.35827720523330536
odr7p_Myristate_1percent_JNL_10off_120on_50off,28,2.7,60752700,-0.22689459289560923
odr7p_Myristate_1percent_JNL_10off_120on_50off,29,2.8,60742400,-0.24381010423408764
odr7p_Myristate_1percent_JNL_10off_120on_50off,30,2.9,60684300,-0.33922672644433943
odr7p_Myristate_1percent_JNL_10off_120on_50off,31,3,60619500.00000001,-0.44564664243786106
