stim_jnl,frame,time_s,fluor,dff
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,2,0.1,29035800,82.34385369541594
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,3,0.2,25988600,63.20753952529935
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,4,0.3,24760100,55.4926005787293
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,5,0.4,23649400,48.51744169557477
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,6,0.5,22009000,38.21578451368344
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,7,0.6,21902900,37.54948005928288
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,8,0.7,21207100,33.179879311197055
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,9,0.8,20681400,29.87850087879016
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,10,0.9,19944800,25.25267749413937
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,11,1,19714700,23.807657183511964
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,12,1.1,19372800,21.660536608963902
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,13,1.2,18868000,18.490409478130722
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,14,1.3,18786600,17.979220198317293
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,15,1.4,18244800,14.576734303932554
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,16,1.5,17797800,11.769589241566408
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,17,1.6,17839500,12.031463848055598
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,18,1.7,17632300,10.73025477216686
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,19,1.8,17220600,8.14479253016207
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,20,1.9,16786200,5.416775046735104
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,21,2,16909600,6.1917229230124695
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,22,2.1,16435600,3.2150187629195095
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,23,2.2,16273800,2.1989201698751195
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,24,2.3,16006900,0.5227970890126493
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,25,2.4,15786800,-0.8594235557900098
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,26,2.5,15302600,-3.9001833750242105
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,27,2.6,15129000,-4.990385573741801
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,28,2.7,15136200,-4.945169814347984
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,29,2.8,14806500,-7.015674796589859
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,30,2.9,14805299.999999998,-7.02321075648884
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,31,3,14583500,-8.416107344481693
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,32,3.1,14502300,-8.926040630978632
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,33,3.2,14359700,-9.82156386563951
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,34,3.3,14157700,-11.090117115299378
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,35,3.4,14064000.000000002,-11.678549984077238
odr7p_Myristate_1percent_JNL_10pulse_5delay_10pulse,36,3.5,14056000,-11.728789716737046
