stim_jnl,frame,time_s,fluor,dff
odr7p_NaAc_JNL_10off_20on_20off,2,0.1,108930000,17.397327704838307
odr7p_NaAc_JNL_10off_20on_20off,3,0.2,108432000,16.860617255953617
odr7p_NaAc_JNL_10off_20on_20off,4,0.3,107805000,16.184879401634937
odr7p_NaAc_JNL_10off_20on_20off,5,0.4,107065000.00000001,15.387357851083404
odr7p_NaAc_JNL_10off_20on_20off,6,0.5,106488999.99999999,14.766584319843249
odr7p_NaAc_JNL_10off_20on_20off,7,0.6,105622000,13.832190827507867
odr7p_NaAc_JNL_10off_20on_20off,8,0.7,105277000,13.460373347858834
odr7p_NaAc_JNL_10off_20on_20off,9,0.8,102630000,10.607617206899437
odr7p_NaAc_JNL_10off_20on_20off,10,0.9,101965000,9.89092554322811
odr7p_NaAc_JNL_10off_20on_20off,11,1,100921000,8.765773517855385
odr7p_NaAc_JNL_10off_20on_20off,12,1.1,101010000,8.861691650286584
odr7p_NaAc_JNL_10off_20on_20off,13,1.2,99390100,7.115873866856239
odr7p_NaAc_JNL_10off_20on_20off,14,1.3,98198100,5.8312175313732
odr7p_NaAc_JNL_10off_20on_20off,15,1.4,97615200.00000001,5.203007650540111
odr7p_NaAc_JNL_10off_20on_20off,16,1.5,97303500,4.8670786406658815
odr7p_NaAc_JNL_10off_20on_20off,17,1.6,97343100,4.9097568209386395
odr7p_NaAc_JNL_10off_20on_20off,18,1.7,96353800,3.843556726397223
odr7p_NaAc_JNL_10off_20on_20off,19,1.8,95870700,3.322904481706069
odr7p_NaAc_JNL_10off_20on_20off,20,1.9,95868300.00000001,3.320317925325918
odr7p_NaAc_JNL_10off_20on_20off,21,2,95471800.00000001,2.892997256685797
odr7p_NaAc_JNL_10off_20on_20off,22,2.1,94952500,2.333331119927105
odr7p_NaAc_JNL_10off_20on_20off,23,2.2,94171800,1.4919458840952198
odr7p_NaAc_JNL_10off_20on_20off,24,2.3,93792300,1.0829466564812829
odr7p_NaAc_JNL_10off_20on_20off,25,2.4,92843300,0.060179154490173435
odr7p_NaAc_JNL_10off_20on_20off,26,2.5,93021499.99999999,0.2522309657175712
odr7p_NaAc_JNL_10off_20on_20off,27,2.6,92544900,-0.26141602211061377
odr7p_NaAc_JNL_10off_20on_20off,28,2.7,91784199.99999999,-1.081246621441122
odr7p_NaAc_JNL_10off_20on_20off,29,2.8,91289700,-1.6141850089380536
odr7p_NaAc_JNL_10off_20on_20off,30,2.9,91044600,-1.8783370792626282
odr7p_NaAc_JNL_10off_20on_20off,31,3,90146100,-2.8466791240877196
