stim_jnl,frame,time_s,fluor,dff
odr7p_bluelightbasal_JNL_10off_120on_50off,2,0.1,413077000,10.490604009415009
odr7p_bluelightbasal_JNL_10off_120on_50off,3,0.2,411506000,10.070390008396334
odr7p_bluelightbasal_JNL_10off_120on_50off,4,0.3,409147000,9.439400302219978
odr7p_bluelightbasal_JNL_10off_120on_50off,5,0.4,408164000,9.176465634491553
odr7p_bluelightbasal_JNL_10off_120on_50off,6,0.5,404922000,8.30928944652049
odr7p_bluelightbasal_JNL_10off_120on_50off,7,0.6,403705000,7.9837640237071685
odr7p_bluelightbasal_JNL_10off_120on_50off,8,0.7,401499999.99999994,7.39396652386872
odr7p_bluelightbasal_JNL_10off_120on_50off,9,0.8,399880000,6.96064591174254
odr7p_bluelightbasal_JNL_10off_120on_50off,10,0.9,397878000,6.425147229349551
odr7p_bluelightbasal_JNL_10off_120on_50off,11,1,396176000,5.969893104757709
odr7p_bluelightbasal_JNL_10off_120on_50off,12,1.1,396709000,6.112460935784414
odr7p_bluelightbasal_JNL_10off_120on_50off,13,1.2,394013000,5.391329843011437
odr7p_bluelightbasal_JNL_10off_120on_50off,14,1.3,392841000,5.0778411038682885
odr7p_bluelightbasal_JNL_10off_120on_50off,15,1.4,390998000,4.584872037109907
odr7p_bluelightbasal_JNL_10off_120on_50off,16,1.5,390266000,4.389075316075108
odr7p_bluelightbasal_JNL_10off_120on_50off,17,1.6,387184000,3.564696225597989
odr7p_bluelightbasal_JNL_10off_120on_50off,18,1.7,386004000,3.249067631580143
odr7p_bluelightbasal_JNL_10off_120on_50off,19,1.8,383795000,2.6582002043043618
odr7p_bluelightbasal_JNL_10off_120on_50off,20,1.9,383352000,2.5397057406180013
odr7p_bluelightbasal_JNL_10off_120on_50off,21,2,381033000,1.919415308815133
odr7p_bluelightbasal_JNL_10off_120on_50off,22,2.1,378966000,1.3665303055652283
odr7p_bluelightbasal_JNL_10off_120on_50off,23,2.2,376782000,0.7823499247728763
odr7p_bluelightbasal_JNL_10off_120on_50off,24,2.3,375524000,0.4458577457267323
odr7p_bluelightbasal_JNL_10off_120on_50off,25,2.4,373585000,-0.07278957952801612
odr7p_bluelightbasal_JNL_10off_120on_50off,26,2.5,371879000,-0.5291136315572068
odr7p_bluelightbasal_JNL_10off_120on_50off,27,2.6,370529000,-0.8902141416623695
odr7p_bluelightbasal_JNL_10off_120on_50off,28,2.7,369435000,-1.1828392957772196
odr7p_bluelightbasal_JNL_10off_120on_50off,29,2.8,367906000,-1.5918190587037335
odr7p_bluelightbasal_JNL_10off_120on_50off,30,2.9,365112000,-2.3391633736917514
odr7p_bluelightbasal_JNL_10off_120on_50off,31,3,365214000,-2.3118802240393617
odr7p_bluelightbasal_JNL_10off_120on_50off,32,3.1,367138000,-1.7972451266746705
odr7p_bluelightbasal_JNL_10off_120on_50off,33,3.2,366918000,-1.8560911357288452
odr7p_bluelightbasal_JNL_10off_120on_50off,34,3.3,363201000,-2.8503212068850594
odr7p_bluelightbasal_JNL_10off_120on_50off,35,3.4,360455000,-3.5848263926248944
odr7p_bluelightbasal_JNL_10off_120on_50off,36,3.5,358486000,-4.111498173659757
odr7p_bluelightbasal_JNL_10off_120on_50off,37,3.6,357464000,-4.384864633902332
odr7p_bluelightbasal_JNL_10off_120on_50off,38,3.7,357224000,-4.44906028014325
odr7p_bluelightbasal_JNL_10off_120on_50off,39,3.8,355832000,-4.821395028340573
odr7p_bluelightbasal_JNL_10off_120on_50off,40,3.9,353379000,-5.4775280292946205
odr7p_bluelightbasal_JNL_10off_120on_50off,41,4,352171000,-5.800646115373906
odr7p_bluelightbasal_JNL_10off_120on_50off,42,4.1,349514000,-6.511345415632734
odr7p_bluelightbasal_JNL_10off_120on_50off,43,4.2,347592000,-7.025445549278751
