stim_jnl,frame,time_s,fluor,dff
rlh267_NaAc_2.5M_JNL_10off_20on_20off,2,0.1,22958400,1.3428550842555877
rlh267_NaAc_2.5M_JNL_10off_20on_20off,3,0.2,22854700,0.8851030600623816
rlh267_NaAc_2.5M_JNL_10off_20on_20off,4,0.3,22681700,0.12144732056937617
rlh267_NaAc_2.5M_JNL_10off_20on_20off,5,0.4,22389300,-1.1692633050245822
rlh267_NaAc_2.5M_JNL_10off_20on_20off,6,0.5,22604700.000000004,-0.2184456964303844
rlh267_NaAc_2.5M_JNL_10off_20on_20off,7,0.6,22489800,-0.7256367049144836
rlh267_NaAc_2.5M_JNL_10off_20on_20off,8,0.7,22512300,-0.6263173168301333
rlh267_NaAc_2.5M_JNL_10off_20on_20off,9,0.8,22466200,-0.8298117075274024
rlh267_NaAc_2.5M_JNL_10off_20on_20off,10,0.9,22385200,-1.1873615046310637
rlh267_NaAc_2.5M_JNL_10off_20on_20off,11,1,22290400,-1.605827193093127
rlh267_NaAc_2.5M_JNL_10off_20on_20off,12,1.1,22392500,-1.1551378809414747
rlh267_NaAc_2.5M_JNL_10off_20on_20off,13,1.2,22544700,-0.48329739798866866
rlh267_NaAc_2.5M_JNL_10off_20on_20off,14,1.3,22526600,-0.563194327958746
rlh267_NaAc_2.5M_JNL_10off_20on_20off,15,1.4,22325900,-1.4491232696711518
rlh267_NaAc_2.5M_JNL_10off_20on_20off,16,1.5,22635700,-0.0816056506252958
rlh267_NaAc_2.5M_JNL_10off_20on_20off,17,1.6,22526000,-0.5658428449743288
rlh267_NaAc_2.5M_JNL_10off_20on_20off,18,1.71,22647400.000000004,-0.02995956882141713
rlh267_NaAc_2.5M_JNL_10off_20on_20off,19,1.8,22445100,-0.9229512225753932
rlh267_NaAc_2.5M_JNL_10off_20on_20off,20,1.9,22555000,-0.437831189221166
rlh267_NaAc_2.5M_JNL_10off_20on_20off,21,2,22551100,-0.45504654982245335
rlh267_NaAc_2.5M_JNL_10off_20on_20off,22,2.1,22612000,-0.18622207274081157
rlh267_NaAc_2.5M_JNL_10off_20on_20off,23,2.2,22696900.000000004,0.18854308496415378
rlh267_NaAc_2.5M_JNL_10off_20on_20off,24,2.3,22667000,0.05655865368760057
rlh267_NaAc_2.5M_JNL_10off_20on_20off,25,2.4,22696500,0.1867774069537489
rlh267_NaAc_2.5M_JNL_10off_20on_20off,26,2.5,22640900,-0.058651836490245926
rlh267_NaAc_2.5M_JNL_10off_20on_20off,27,2.6,22828400.000000004,0.7690097308793574
rlh267_NaAc_2.5M_JNL_10off_20on_20off,28,2.7,22672700,0.08171956533563601
rlh267_NaAc_2.5M_JNL_10off_20on_20off,29,2.8,22598700,-0.24493086658622762
rlh267_NaAc_2.5M_JNL_10off_20on_20off,30,2.9,22582500,-0.31644082600695994
rlh267_NaAc_2.5M_JNL_10off_20on_20off,31,3.01,22728500,0.3280316477848251
rlh267_NaAc_2.5M_JNL_10off_20on_20off,32,3.1,22562700.000000004,-0.40384188752117184
rlh267_NaAc_2.5M_JNL_10off_20on_20off,33,3.2,22805000,0.6657175672716166
rlh267_NaAc_2.5M_JNL_10off_20on_20off,34,3.3,22758700,0.4613403375691532
rlh267_NaAc_2.5M_JNL_10off_20on_20off,35,3.4,22759400,0.464430274087333
rlh267_NaAc_2.5M_JNL_10off_20on_20off,36,3.5,22866900,0.9389562393792295
rlh267_NaAc_2.5M_JNL_10off_20on_20off,37,3.61,22795800,0.6251069730326821
rlh267_NaAc_2.5M_JNL_10off_20on_20off,38,3.7,22878000,0.9879538041675089
rlh267_NaAc_2.5M_JNL_10off_20on_20off,39,3.8,22896300,1.0687335731427807
rlh267_NaAc_2.5M_JNL_10off_20on_20off,40,3.9,22830900,0.7800452184442688
rlh267_NaAc_2.5M_JNL_10off_20on_20off,41,4,22961600,1.3569805083386954
rlh267_NaAc_2.5M_JNL_10off_20on_20off,42,4.1,22903500,1.1005157773297727
rlh267_NaAc_2.5M_JNL_10off_20on_20off,43,4.2,22944500,1.2814977733945891
