stim_jnl,frame,time_s,fluor,dff
rlh267_NaAc_2.5M_JNL_10off_20on_20off,2,0.1,42939800,10.754320024348514
rlh267_NaAc_2.5M_JNL_10off_20on_20off,3,0.2,41344700,6.640089965735332
rlh267_NaAc_2.5M_JNL_10off_20on_20off,4,0.3,40840100,5.338578783003083
rlh267_NaAc_2.5M_JNL_10off_20on_20off,5,0.4,40162300,3.5903340750048285
rlh267_NaAc_2.5M_JNL_10off_20on_20off,6,0.5,39922100,2.970787927378419
rlh267_NaAc_2.5M_JNL_10off_20on_20off,7,0.6,39566400,2.0533334531456378
rlh267_NaAc_2.5M_JNL_10off_20on_20off,8,0.7,39433200,1.7097716427216672
rlh267_NaAc_2.5M_JNL_10off_20on_20off,9,0.8,39539300,1.9834346163401604
rlh267_NaAc_2.5M_JNL_10off_20on_20off,10,0.9,39516700,1.9251425974544114
rlh267_NaAc_2.5M_JNL_10off_20on_20off,11,1,38920000,0.38607854129838004
rlh267_NaAc_2.5M_JNL_10off_20on_20off,12,1.1,39345900,1.4845993750789295
rlh267_NaAc_2.5M_JNL_10off_20on_20off,13,1.2,39409500,1.6486424016777623
rlh267_NaAc_2.5M_JNL_10off_20on_20off,14,1.3,38828000,0.14878359716170353
rlh267_NaAc_2.5M_JNL_10off_20on_20off,15,1.4,38992200,0.5723034865882501
rlh267_NaAc_2.5M_JNL_10off_20on_20off,16,1.5,38882100,0.28832334148555355
rlh267_NaAc_2.5M_JNL_10off_20on_20off,17,1.6,38541300,-0.5906996689685701
rlh267_NaAc_2.5M_JNL_10off_20on_20off,18,1.7,39120800,0.9040005498053871
rlh267_NaAc_2.5M_JNL_10off_20on_20off,19,1.8,39135400,0.9416582257227293
rlh267_NaAc_2.5M_JNL_10off_20on_20off,20,1.9,38666900,-0.2667404843645855
rlh267_NaAc_2.5M_JNL_10off_20on_20off,21,2,38792700,0.057734558813609164
rlh267_NaAc_2.5M_JNL_10off_20on_20off,22,2.1,39205700,1.1229825145576027
rlh267_NaAc_2.5M_JNL_10off_20on_20off,23,2.2,38946000,0.45314015594570173
rlh267_NaAc_2.5M_JNL_10off_20on_20off,24,2.3,38660100,-0.2842796758877312
rlh267_NaAc_2.5M_JNL_10off_20on_20off,25,2.4,38714900,-0.14293442655414557
rlh267_NaAc_2.5M_JNL_10off_20on_20off,26,2.5,38790900,0.053091831645717666
rlh267_NaAc_2.5M_JNL_10off_20on_20off,27,2.6,38743900,-0.06813493329367144
rlh267_NaAc_2.5M_JNL_10off_20on_20off,28,2.7,38439700,-0.8527558246673346
rlh267_NaAc_2.5M_JNL_10off_20on_20off,29,2.8,38770200,-2.9953078503455657e-4
rlh267_NaAc_2.5M_JNL_10off_20on_20off,30,2.901,38722000,-0.12462144716968465
rlh267_NaAc_2.5M_JNL_10off_20on_20off,31,3.001,38429000,-0.8803542583875784
rlh267_NaAc_2.5M_JNL_10off_20on_20off,32,3.101,38632000,-0.3567578055642595
rlh267_NaAc_2.5M_JNL_10off_20on_20off,33,3.201,38289700,-1.2396497553249592
rlh267_NaAc_2.5M_JNL_10off_20on_20off,34,3.301,38648800,-0.31342568533060555
rlh267_NaAc_2.5M_JNL_10off_20on_20off,35,3.401,38712300,-0.14964058801887772
rlh267_NaAc_2.5M_JNL_10off_20on_20off,36,3.501,38893900,0.31875899736395336
