stim_jnl,frame,time_s,fluor,dff
rlh267_NaAc_2.5M_JNL_10off_20on_20off,2,0.1,75620300,3.423576724824244
rlh267_NaAc_2.5M_JNL_10off_20on_20off,3,0.2,74424700,1.7883910890597752
rlh267_NaAc_2.5M_JNL_10off_20on_20off,4,0.3,74450200,1.8232666609165786
rlh267_NaAc_2.5M_JNL_10off_20on_20off,5,0.4,74029700,1.24816164265047
rlh267_NaAc_2.5M_JNL_10off_20on_20off,6,0.5,73837100,0.984748499920262
rlh267_NaAc_2.5M_JNL_10off_20on_20off,7,0.6,73730600,0.8390916998124368
rlh267_NaAc_2.5M_JNL_10off_20on_20off,8,0.7,73545900,0.5864831460104148
rlh267_NaAc_2.5M_JNL_10off_20on_20off,9,0.8,73610300,0.6745610608174002
rlh267_NaAc_2.5M_JNL_10off_20on_20off,10,0.9,73643900,0.7205147554993057
rlh267_NaAc_2.5M_JNL_10off_20on_20off,11,1,73349800,0.31828316008417495
rlh267_NaAc_2.5M_JNL_10off_20on_20off,12,1.1,73426200,0.4227731087061266
rlh267_NaAc_2.5M_JNL_10off_20on_20off,13,1.2,73154700,0.05145084364251564
rlh267_NaAc_2.5M_JNL_10off_20on_20off,14,1.3,73458600,0.4670856000065355
rlh267_NaAc_2.5M_JNL_10off_20on_20off,15,1.4,73252200,0.18479861838911626
rlh267_NaAc_2.5M_JNL_10off_20on_20off,16,1.5,73282400,0.22610223682344796
rlh267_NaAc_2.5M_JNL_10off_20on_20off,17,1.6,73435800,0.4359027357580997
rlh267_NaAc_2.5M_JNL_10off_20on_20off,18,1.7,73539600,0.5778668282575575
rlh267_NaAc_2.5M_JNL_10off_20on_20off,19,1.8,73143800,0.03654324626058799
rlh267_NaAc_2.5M_JNL_10off_20on_20off,20,1.9,73039000,-0.10678851572345045
rlh267_NaAc_2.5M_JNL_10off_20on_20off,21,2,73269600,0.20859606742081732
rlh267_NaAc_2.5M_JNL_10off_20on_20off,22,2.1,73176300,0.08099250450945486
rlh267_NaAc_2.5M_JNL_10off_20on_20off,23,2.2,73074300,-0.0585097829177581
rlh267_NaAc_2.5M_JNL_10off_20on_20off,24,2.3,72858800,-0.35324255684486006
rlh267_NaAc_2.5M_JNL_10off_20on_20off,25,2.4,73126400,0.012745797228886949
rlh267_NaAc_2.5M_JNL_10off_20on_20off,26,2.5,73075500,-0.05686857953626148
rlh267_NaAc_2.5M_JNL_10off_20on_20off,27,2.6,72919500,-0.27022501913082253
rlh267_NaAc_2.5M_JNL_10off_20on_20off,28,2.7,73077900,-0.053586172773268236
rlh267_NaAc_2.5M_JNL_10off_20on_20off,29,2.8,73141400,0.03326083949759474
rlh267_NaAc_2.5M_JNL_10off_20on_20off,30,2.9,73044100,-0.09981340135208978
rlh267_NaAc_2.5M_JNL_10off_20on_20off,31,3,72812600,-0.41642888703248004
rlh267_NaAc_2.5M_JNL_10off_20on_20off,32,3.1,73075200,-0.057278880381635644
rlh267_NaAc_2.5M_JNL_10off_20on_20off,33,3.2,72977900,-0.19035312123132017
rlh267_NaAc_2.5M_JNL_10off_20on_20off,34,3.3,72997500,-0.163546799333542
rlh267_NaAc_2.5M_JNL_10off_20on_20off,35,3.4,73116300,-0.0010676645653762951
rlh267_NaAc_2.5M_JNL_10off_20on_20off,36,3.5,73071900,-0.061792189680751355
rlh267_NaAc_2.5M_JNL_10off_20on_20off,37,3.598,72892500,-0.30715209521449655
rlh267_NaAc_2.5M_JNL_10off_20on_20off,38,3.698,73130300,0.018079708218750976
rlh267_NaAc_2.5M_JNL_10off_20on_20off,39,3.798,72929800,-0.25613802343964315
rlh267_NaAc_2.5M_JNL_10off_20on_20off,40,3.898,72797300,-0.43735423014656194
rlh267_NaAc_2.5M_JNL_10off_20on_20off,41,3.998,72982300,-0.1843353754991659
rlh267_NaAc_2.5M_JNL_10off_20on_20off,42,4.098,72726900,-0.5336381618610305
rlh267_NaAc_2.5M_JNL_10off_20on_20off,43,4.198,72592000,-0.7181367753309426
rlh267_NaAc_2.5M_JNL_10off_20on_20off,44,4.298,72826000,-0.39810211593910105
rlh267_NaAc_2.5M_JNL_10off_20on_20off,45,4.398,72552500,-0.772159719971873
rlh267_NaAc_2.5M_JNL_10off_20on_20off,46,4.498,72654000,-0.6333412672869504
rlh267_NaAc_2.5M_JNL_10off_20on_20off,47,4.598,72876700,-0.3287612730708687
rlh267_NaAc_2.5M_JNL_10off_20on_20off,48,4.698,72773600,-0.4697679969311202
rlh267_NaAc_2.5M_JNL_10off_20on_20off,49,4.798,72741600,-0.5135334204376969
rlh267_NaAc_2.5M_JNL_10off_20on_20off,50,4.898,72738400,-0.5179099627883545
rlh267_NaAc_2.5M_JNL_10off_20on_20off,51,4.998,72901900,-0.2942960020594397
rlh267_NaAc_2.5M_JNL_10off_20on_20off,52,5.098,72696700,-0.5749417802953621
rlh267_NaAc_2.5M_JNL_10off_20on_20off,53,5.198,72542400,-0.7859731817661364
rlh267_NaAc_2.5M_JNL_10off_20on_20off,54,5.298,72746600,-0.5066950730147943
rlh267_NaAc_2.5M_JNL_10off_20on_20off,55,5.398,72581800,-0.7320870040736639
rlh267_NaAc_2.5M_JNL_10off_20on_20off,56,5.498,72502100,-0.8410902619947311
rlh267_NaAc_2.5M_JNL_10off_20on_20off,57,5.598,72806200,-0.42518197173379535
rlh267_NaAc_2.5M_JNL_10off_20on_20off,58,5.698,72689900,-0.5842419327905097
rlh267_NaAc_2.5M_JNL_10off_20on_20off,59,5.798,72674000,-0.60598787759534
rlh267_NaAc_2.5M_JNL_10off_20on_20off,60,5.898,72737400,-0.5192776322729351
rlh267_NaAc_2.5M_JNL_10off_20on_20off,61,5.998,72838400,-0.38114301433030257
rlh267_NaAc_2.5M_JNL_10off_20on_20off,62,6.098,72350200,-1.0488392567025122
rlh267_NaAc_2.5M_JNL_10off_20on_20off,63,6.198,72790500,-0.44665438264170954
rlh267_NaAc_2.5M_JNL_10off_20on_20off,64,6.298,72516000,-0.822079656159062
rlh267_NaAc_2.5M_JNL_10off_20on_20off,65,6.398,72574700,-0.7417974574141856
rlh267_NaAc_2.5M_JNL_10off_20on_20off,66,6.498,72193900,-1.2626059971424473
rlh267_NaAc_2.5M_JNL_10off_20on_20off,67,6.598,72435400,-0.9323138166162519
rlh267_NaAc_2.5M_JNL_10off_20on_20off,68,6.698,72569100,-0.7494564065278365
rlh267_NaAc_2.5M_JNL_10off_20on_20off,69,6.798,72578000,-0.7372841481150698
rlh267_NaAc_2.5M_JNL_10off_20on_20off,70,6.898,72673300,-0.6069452462345464
rlh267_NaAc_2.5M_JNL_10off_20on_20off,71,6.998,72775000,-0.4678532596527075
rlh267_NaAc_2.5M_JNL_10off_20on_20off,72,7.098,72517600,-0.8198913849837333
rlh267_NaAc_2.5M_JNL_10off_20on_20off,73,7.198,72524700,-0.8101809316432115
rlh267_NaAc_2.5M_JNL_10off_20on_20off,74,7.298,72581800,-0.7320870040736639
rlh267_NaAc_2.5M_JNL_10off_20on_20off,75,7.398,72312300,-1.1006739301681139
rlh267_NaAc_2.5M_JNL_10off_20on_20off,76,7.498,72187400,-1.2714958487922206
rlh267_NaAc_2.5M_JNL_10off_20on_20off,77,7.598,72336300,-1.0678498625381814
rlh267_NaAc_2.5M_JNL_10off_20on_20off,78,7.708,72190600,-1.267119306441563
rlh267_NaAc_2.5M_JNL_10off_20on_20off,79,7.808,72327000,-1.0805691887447801
rlh267_NaAc_2.5M_JNL_10off_20on_20off,80,7.898,72595100,-0.713896999928743
rlh267_NaAc_2.5M_JNL_10off_20on_20off,81,7.998,72361600,-1.0332478245782941
rlh267_NaAc_2.5M_JNL_10off_20on_20off,82,8.098,72085700,-1.4105878353740595
rlh267_NaAc_2.5M_JNL_10off_20on_20off,83,8.198,72405500,-0.9732071342052093
rlh267_NaAc_2.5M_JNL_10off_20on_20off,84,8.298,72369900,-1.021896167856276
rlh267_NaAc_2.5M_JNL_10off_20on_20off,85,8.398,72355400,-1.0417273753826934
rlh267_NaAc_2.5M_JNL_10off_20on_20off,87,8.608,72177000,-1.285719611431858
rlh267_NaAc_2.5M_JNL_10off_20on_20off,88,8.708,72155200,-1.3155348061957135
rlh267_NaAc_2.5M_JNL_10off_20on_20off,89,8.808,71911100,-1.6493829273818181
rlh267_NaAc_2.5M_JNL_10off_20on_20off,90,8.898,71885000,-1.6850791009293697
rlh267_NaAc_2.5M_JNL_10off_20on_20off,91,8.998,71662300,-1.9896590951454514
rlh267_NaAc_2.5M_JNL_10off_20on_20off,92,9.098,72245500,-1.1920342517380924
rlh267_NaAc_2.5M_JNL_10off_20on_20off,93,9.198,71981000,-1.55378283040964
rlh267_NaAc_2.5M_JNL_10off_20on_20off,94,9.298,72158900,-1.3104744291027655
rlh267_NaAc_2.5M_JNL_10off_20on_20off,95,9.398,71998600,-1.5297118474810227
rlh267_NaAc_2.5M_JNL_10off_20on_20off,96,9.498,72049900,-1.459550402922042
rlh267_NaAc_2.5M_JNL_10off_20on_20off,97,9.608,71925300,-1.6299620207007748
rlh267_NaAc_2.5M_JNL_10off_20on_20off,98,9.708,72074400,-1.4260425005498194
rlh267_NaAc_2.5M_JNL_10off_20on_20off,99,9.808,71775200,-1.8352492103363107
rlh267_NaAc_2.5M_JNL_10off_20on_20off,100,9.908,71312300,-2.468343414748633
rlh267_NaAc_2.5M_JNL_10off_20on_20off,101,10.008,70365700,-3.7629793488525527
rlh267_NaAc_2.5M_JNL_10off_20on_20off,102,10.108,69956400,-4.322766468891359
rlh267_NaAc_2.5M_JNL_10off_20on_20off,103,10.208,70039500,-4.209113134722718
rlh267_NaAc_2.5M_JNL_10off_20on_20off,104,10.308,69569800,-4.851507491630188
rlh267_NaAc_2.5M_JNL_10off_20on_20off,105,10.408,69728500,-4.63445834442726
rlh267_NaAc_2.5M_JNL_10off_20on_20off,106,10.508,69508900,-4.9347985632411415
rlh267_NaAc_2.5M_JNL_10off_20on_20off,107,10.608,69287700,-5.237327053230353
rlh267_NaAc_2.5M_JNL_10off_20on_20off,108,10.708,69127900,-5.455880636866319
rlh267_NaAc_2.5M_JNL_10off_20on_20off,109,10.808,68995600,-5.636823309676322
rlh267_NaAc_2.5M_JNL_10off_20on_20off,110,10.908,68969400,-5.672656250172332
rlh267_NaAc_2.5M_JNL_10off_20on_20off,111,11.008,69103600,-5.489115005341627
rlh267_NaAc_2.5M_JNL_10off_20on_20off,112,11.108,68881700,-5.792600863970043
rlh267_NaAc_2.5M_JNL_10off_20on_20off,113,11.208,68632900,-6.132877031733677
rlh267_NaAc_2.5M_JNL_10off_20on_20off,114,11.308,68453400,-6.37837370421588
rlh267_NaAc_2.5M_JNL_10off_20on_20off,115,11.408,68794200,-5.912271943870839
rlh267_NaAc_2.5M_JNL_10off_20on_20off,116,11.508,68485100,-6.335018581554677
rlh267_NaAc_2.5M_JNL_10off_20on_20off,117,11.608,68564000,-6.227109459221274
rlh267_NaAc_2.5M_JNL_10off_20on_20off,118,11.708,68645800,-6.115234095382588
rlh267_NaAc_2.5M_JNL_10off_20on_20off,119,11.808,68537400,-6.263489467511116
rlh267_NaAc_2.5M_JNL_10off_20on_20off,120,11.908,68093000,-6.8712817864587
rlh267_NaAc_2.5M_JNL_10off_20on_20off,121,12.008,68303600,-6.583250593006042
rlh267_NaAc_2.5M_JNL_10off_20on_20off,122,12.108,68445300,-6.389451827040982
rlh267_NaAc_2.5M_JNL_10off_20on_20off,123,12.208,68349200,-6.520884864509171
rlh267_NaAc_2.5M_JNL_10off_20on_20off,124,12.308,68520800,-6.286192780955152
rlh267_NaAc_2.5M_JNL_10off_20on_20off,125,12.408,68150600,-6.7925040241468615
rlh267_NaAc_2.5M_JNL_10off_20on_20off,126,12.508,68448900,-6.384528216896491
rlh267_NaAc_2.5M_JNL_10off_20on_20off,127,12.608,68181400,-6.75037980402178
rlh267_NaAc_2.5M_JNL_10off_20on_20off,128,12.708,68433800,-6.4051800261136576
rlh267_NaAc_2.5M_JNL_10off_20on_20off,129,12.808,68351900,-6.517192156900803
rlh267_NaAc_2.5M_JNL_10off_20on_20off,130,12.908,68117900,-6.8372268162926435
rlh267_NaAc_2.5M_JNL_10off_20on_20off,131,13.008,68146000,-6.798795303775932
rlh267_NaAc_2.5M_JNL_10off_20on_20off,132,13.108,68063300,-6.91190157015074
rlh267_NaAc_2.5M_JNL_10off_20on_20off,133,13.208,68267000,-6.633307296141688
rlh267_NaAc_2.5M_JNL_10off_20on_20off,134,13.308,67891300,-7.147140721498589
rlh267_NaAc_2.5M_JNL_10off_20on_20off,135,13.408,68085600,-6.8814025406445944
rlh267_NaAc_2.5M_JNL_10off_20on_20off,136,13.508,67975200,-7.032393251742285
rlh267_NaAc_2.5M_JNL_10off_20on_20off,137,13.599,67695300,-7.415203940476371
rlh267_NaAc_2.5M_JNL_10off_20on_20off,138,13.699,68081400,-6.8871467524798335
rlh267_NaAc_2.5M_JNL_10off_20on_20off,139,13.799,67957000,-7.057284836361649
rlh267_NaAc_2.5M_JNL_10off_20on_20off,140,13.899,67833300,-7.226465551604259
rlh267_NaAc_2.5M_JNL_10off_20on_20off,141,13.999,67913400,-7.11691522588936
rlh267_NaAc_2.5M_JNL_10off_20on_20off,142,14.099,68109800,-6.848304939117746
rlh267_NaAc_2.5M_JNL_10off_20on_20off,143,14.199,68007100,-6.988764595184166
rlh267_NaAc_2.5M_JNL_10off_20on_20off,144,14.299,67773500,-7.308252186782174
rlh267_NaAc_2.5M_JNL_10off_20on_20off,145,14.399,67680300,-7.43571898274508
rlh267_NaAc_2.5M_JNL_10off_20on_20off,146,14.499,67961900,-7.050583255887205
rlh267_NaAc_2.5M_JNL_10off_20on_20off,147,14.599,67769300,-7.313996398617413
rlh267_NaAc_2.5M_JNL_10off_20on_20off,148,14.699,67802100,-7.2691368395231715
rlh267_NaAc_2.5M_JNL_10off_20on_20off,149,14.799,67561100,-7.598745185307078
rlh267_NaAc_2.5M_JNL_10off_20on_20off,150,14.899,67513100,-7.664393320566942
rlh267_NaAc_2.5M_JNL_10off_20on_20off,151,14.999,67935500,-7.086689730280131
rlh267_NaAc_2.5M_JNL_10off_20on_20off,152,15.099,67527900,-7.64415181219515
rlh267_NaAc_2.5M_JNL_10off_20on_20off,153,15.199,67476500,-7.714450023702589
rlh267_NaAc_2.5M_JNL_10off_20on_20off,154,15.299,67559400,-7.601070223430864
rlh267_NaAc_2.5M_JNL_10off_20on_20off,155,15.399,67604200,-7.539798630521657
rlh267_NaAc_2.5M_JNL_10off_20on_20off,156,15.499,67226900,-8.055820327053887
rlh267_NaAc_2.5M_JNL_10off_20on_20off,157,15.599,67331200,-7.913172399812139
rlh267_NaAc_2.5M_JNL_10off_20on_20off,158,15.699,67322300,-7.925344658224905
rlh267_NaAc_2.5M_JNL_10off_20on_20off,159,15.809,67466700,-7.727853184651479
rlh267_NaAc_2.5M_JNL_10off_20on_20off,160,15.899,67482700,-7.70597047289819
rlh267_NaAc_2.5M_JNL_10off_20on_20off,161,16.009,67206100,-8.084267852333161
rlh267_NaAc_2.5M_JNL_10off_20on_20off,162,16.109,67378100,-7.849028700985312
rlh267_NaAc_2.5M_JNL_10off_20on_20off,163,16.209,67326300,-7.919873980286583
rlh267_NaAc_2.5M_JNL_10off_20on_20off,164,16.309,67452100,-7.747821159126354
rlh267_NaAc_2.5M_JNL_10off_20on_20off,165,16.409,66890700,-8.515630807769856
rlh267_NaAc_2.5M_JNL_10off_20on_20off,166,16.509,67127200,-8.192176974666566
rlh267_NaAc_2.5M_JNL_10off_20on_20off,167,16.609,67453500,-7.745906421847941
rlh267_NaAc_2.5M_JNL_10off_20on_20off,168,16.709,67242400,-8.03462145004289
rlh267_NaAc_2.5M_JNL_10off_20on_20off,169,16.809,67494800,-7.689421672134765
rlh267_NaAc_2.5M_JNL_10off_20on_20off,170,16.909,67467900,-7.726211981269982
rlh267_NaAc_2.5M_JNL_10off_20on_20off,171,17.009,66982200,-8.39048904993074
rlh267_NaAc_2.5M_JNL_10off_20on_20off,172,17.109,67279300,-7.984154446061867
rlh267_NaAc_2.5M_JNL_10off_20on_20off,173,17.209,67181200,-8.118322822499216
rlh267_NaAc_2.5M_JNL_10off_20on_20off,174,17.309,67344800,-7.894572094821843
rlh267_NaAc_2.5M_JNL_10off_20on_20off,175,17.409,67474400,-7.717322129620207
rlh267_NaAc_2.5M_JNL_10off_20on_20off,176,17.509,67126300,-8.193407877202686
rlh267_NaAc_2.5M_JNL_10off_20on_20off,177,17.609,67309000,-7.943534662369826
rlh267_NaAc_2.5M_JNL_10off_20on_20off,178,17.709,67147300,-8.164686818026496
rlh267_NaAc_2.5M_JNL_10off_20on_20off,179,17.809,67267300,-8.000566479876833
rlh267_NaAc_2.5M_JNL_10off_20on_20off,180,17.909,67241700,-8.035578818682094
rlh267_NaAc_2.5M_JNL_10off_20on_20off,181,18.009,67001400,-8.364229795826795
rlh267_NaAc_2.5M_JNL_10off_20on_20off,182,18.109,67120600,-8.201203593264795
rlh267_NaAc_2.5M_JNL_10off_20on_20off,183,18.209,66992500,-8.376402054239561
rlh267_NaAc_2.5M_JNL_10off_20on_20off,184,18.309,67316300,-7.933550675132388
rlh267_NaAc_2.5M_JNL_10off_20on_20off,185,18.409,66951800,-8.432066202261987
rlh267_NaAc_2.5M_JNL_10off_20on_20off,186,18.509,66969600,-8.407721685436455
rlh267_NaAc_2.5M_JNL_10off_20on_20off,187,18.609,67316800,-7.932866840390098
rlh267_NaAc_2.5M_JNL_10off_20on_20off,188,18.709,67174800,-8.127075907200531
rlh267_NaAc_2.5M_JNL_10off_20on_20off,189,18.809,66720700,-8.748134620148546
rlh267_NaAc_2.5M_JNL_10off_20on_20off,190,18.909,66867800,-8.546950438966752
rlh267_NaAc_2.5M_JNL_10off_20on_20off,191,19.009,66933200,-8.457504854675186
rlh267_NaAc_2.5M_JNL_10off_20on_20off,192,19.109,66879799.99999999,-8.530538405151795
rlh267_NaAc_2.5M_JNL_10off_20on_20off,193,19.209,66946300,-8.43958838442718
rlh267_NaAc_2.5M_JNL_10off_20on_20off,194,19.309,66649100,-8.84605975524451
rlh267_NaAc_2.5M_JNL_10off_20on_20off,195,19.409,66940400,-8.447657634386205
rlh267_NaAc_2.5M_JNL_10off_20on_20off,196,19.509,66851000,-8.569927286307703
rlh267_NaAc_2.5M_JNL_10off_20on_20off,197,19.609,67055900,-8.289691808917157
rlh267_NaAc_2.5M_JNL_10off_20on_20off,198,19.709,66837300,-8.588664358246458
rlh267_NaAc_2.5M_JNL_10off_20on_20off,199,19.809,66726100,-8.740749204931811
rlh267_NaAc_2.5M_JNL_10off_20on_20off,200,19.909,66600100,-8.913075559988956
rlh267_NaAc_2.5M_JNL_10off_20on_20off,201,20.009,66639400,-8.859326149244943
rlh267_NaAc_2.5M_JNL_10off_20on_20off,202,20.109,66517300,-9.026318593312222
rlh267_NaAc_2.5M_JNL_10off_20on_20off,203,20.209,66808900,-8.627506171608545
rlh267_NaAc_2.5M_JNL_10off_20on_20off,204,20.309,66589700,-8.927299322628594
rlh267_NaAc_2.5M_JNL_10off_20on_20off,205,20.409,66609400,-8.900356233782357
rlh267_NaAc_2.5M_JNL_10off_20on_20off,206,20.509,66522500.00000001,-9.019206711992394
rlh267_NaAc_2.5M_JNL_10off_20on_20off,207,20.609,66926600,-8.466531473273417
rlh267_NaAc_2.5M_JNL_10off_20on_20off,208,20.709,66733300,-8.73090198464283
rlh267_NaAc_2.5M_JNL_10off_20on_20off,209,20.809,66908300,-8.49155982484124
rlh267_NaAc_2.5M_JNL_10off_20on_20off,210,20.909,67110200,-8.215427355904433
rlh267_NaAc_2.5M_JNL_10off_20on_20off,211,21.009,66685299.99999999,-8.796550119902706
rlh267_NaAc_2.5M_JNL_10off_20on_20off,212,21.109,66449299.99999999,-9.119320118263708
rlh267_NaAc_2.5M_JNL_10off_20on_20off,213,21.209,66927100,-8.465847638531127
rlh267_NaAc_2.5M_JNL_10off_20on_20off,214,21.309,66877500,-8.533684044966321
rlh267_NaAc_2.5M_JNL_10off_20on_20off,215,21.409,66549100,-8.982826703702562
rlh267_NaAc_2.5M_JNL_10off_20on_20off,216,21.509,66702500,-8.77302620476791
rlh267_NaAc_2.5M_JNL_10off_20on_20off,217,21.609,66841300,-8.583193680308135
rlh267_NaAc_2.5M_JNL_10off_20on_20off,218,21.709,66598300,-8.915537365061201
rlh267_NaAc_2.5M_JNL_10off_20on_20off,219,21.809,66535300,-9.001700542589774
rlh267_NaAc_2.5M_JNL_10off_20on_20off,220,21.909,66846300,-8.576355332885232
rlh267_NaAc_2.5M_JNL_10off_20on_20off,221,22.009,66964200,-8.41510710065319
rlh267_NaAc_2.5M_JNL_10off_20on_20off,222,22.109,66694300,-8.784241094541471
rlh267_NaAc_2.5M_JNL_10off_20on_20off,223,22.209,66810200,-8.625728201278589
rlh267_NaAc_2.5M_JNL_10off_20on_20off,224,22.309,66891800,-8.51412637133682
rlh267_NaAc_2.5M_JNL_10off_20on_20off,225,22.409,66538500,-8.997324000239116
rlh267_NaAc_2.5M_JNL_10off_20on_20off,226,22.509,66666500,-8.82226230621281
rlh267_NaAc_2.5M_JNL_10off_20on_20off,227,22.609,66538900,-8.996776932445284
rlh267_NaAc_2.5M_JNL_10off_20on_20off,228,22.709,66836500,-8.589758493834122
rlh267_NaAc_2.5M_JNL_10off_20on_20off,229,22.809,66673200,-8.813098920666121
rlh267_NaAc_2.5M_JNL_10off_20on_20off,230,22.909,67035100,-8.31813933419643
rlh267_NaAc_2.5M_JNL_10off_20on_20off,231,23.009,66564000,-8.962448428382313
rlh267_NaAc_2.5M_JNL_10off_20on_20off,232,23.109,67161000,-8.145949746087743
rlh267_NaAc_2.5M_JNL_10off_20on_20off,233,23.209,67226500,-8.056367394847719
rlh267_NaAc_2.5M_JNL_10off_20on_20off,234,23.309,66877100,-8.534231112760152
rlh267_NaAc_2.5M_JNL_10off_20on_20off,235,23.409,67032100,-8.32224234265017
rlh267_NaAc_2.5M_JNL_10off_20on_20off,236,23.509,66784100.00000001,-8.661424374826131
