stim_jnl,frame,time_s,fluor,dff
rlh267_bluelightbasal_JNL_10off_20on_20off,2,0.1,63305300.00000001,-1.1390599501127148
rlh267_bluelightbasal_JNL_10off_20on_20off,3,0.2,62688499.99999999,-2.1022877971140237
rlh267_bluelightbasal_JNL_10off_20on_20off,4,0.3,62842399.99999999,-1.8619493313982358
rlh267_bluelightbasal_JNL_10off_20on_20off,5,0.4,62736500,-2.0273284315886198
rlh267_bluelightbasal_JNL_10off_20on_20off,6,0.5,62714200,-2.0621533034889583
rlh267_bluelightbasal_JNL_10off_20on_20off,7,0.6,62401799.99999999,-2.550013840783395
rlh267_bluelightbasal_JNL_10off_20on_20off,8,0.7,62780900,-1.9579910184776326
rlh267_bluelightbasal_JNL_10off_20on_20off,9,0.8,62688200,-2.1027562931485453
rlh267_bluelightbasal_JNL_10off_20on_20off,10,0.9,63085800,-1.4818428820465497
rlh267_bluelightbasal_JNL_10off_20on_20off,11,1,62833800,-1.875379551054857
rlh267_bluelightbasal_JNL_10off_20on_20off,12,1.1,63165100,-1.3580037635848086
rlh267_bluelightbasal_JNL_10off_20on_20off,13,1.2,62677600,-2.1193098197020697
rlh267_bluelightbasal_JNL_10off_20on_20off,14,1.3,62961000,-1.6767372324125684
rlh267_bluelightbasal_JNL_10off_20on_20off,15,1.4,63072300,-1.5029252036005663
rlh267_bluelightbasal_JNL_10off_20on_20off,16,1.5,63511900,-0.8164223476638524
rlh267_bluelightbasal_JNL_10off_20on_20off,17,1.6,63549500,-0.7577041780022954
rlh267_bluelightbasal_JNL_10off_20on_20off,18,1.7,63473700,-0.8760775093944767
rlh267_bluelightbasal_JNL_10off_20on_20off,19,1.8,63484500,-0.8592116521512636
rlh267_bluelightbasal_JNL_10off_20on_20off,20,1.9,63462800,-0.8930995319825343
rlh267_bluelightbasal_JNL_10off_20on_20off,21,2,63560100.00000001,-0.7411506514487598
rlh267_bluelightbasal_JNL_10off_20on_20off,22,2.1,63581000,-0.7085120943762571
rlh267_bluelightbasal_JNL_10off_20on_20off,23,2.2,63863800,-0.26687649915582334
rlh267_bluelightbasal_JNL_10off_20on_20off,24,2.3,63663700,-0.5793633541898006
rlh267_bluelightbasal_JNL_10off_20on_20off,25,2.4,63798100,-0.3694771307187034
rlh267_bluelightbasal_JNL_10off_20on_20off,26,2.5,63880000,-0.24157771329100355
rlh267_bluelightbasal_JNL_10off_20on_20off,27,2.6,64011500,-0.03622028482039878
rlh267_bluelightbasal_JNL_10off_20on_20off,28,2.7,63903299.99999999,-0.20519118794223123
