stim_jnl,frame,time_s,fluor,dff
rlh267_bluelightbasal_JNL_10off_20on_20off,2,0.1,46362000,-1.8864585929578386
rlh267_bluelightbasal_JNL_10off_20on_20off,3,0.2,46344800,-1.9228580777126187
rlh267_bluelightbasal_JNL_10off_20on_20off,4,0.3,46776200,-1.009908210084001
rlh267_bluelightbasal_JNL_10off_20on_20off,5,0.4,46290400,-2.03798202949518
rlh267_bluelightbasal_JNL_10off_20on_20off,6,0.5,45787400,-3.102455333661139
rlh267_bluelightbasal_JNL_10off_20on_20off,7,0.6,46174799.99999999,-2.282620427033138
rlh267_bluelightbasal_JNL_10off_20on_20off,8,0.7,46200000,-2.2292909493691417
rlh267_bluelightbasal_JNL_10off_20on_20off,9,0.8,46081899.99999999,-2.4792199696912243
rlh267_bluelightbasal_JNL_10off_20on_20off,10,0.9,45917800,-2.826496449241177
rlh267_bluelightbasal_JNL_10off_20on_20off,11,1,46932000,-0.680196598177328
rlh267_bluelightbasal_JNL_10off_20on_20off,12,1.1,46875900,-0.7989181734530941
rlh267_bluelightbasal_JNL_10off_20on_20off,13,1.2,46868700,-0.8141551670713741
rlh267_bluelightbasal_JNL_10off_20on_20off,14,1.3,46918200,-0.7094008359456982
rlh267_bluelightbasal_JNL_10off_20on_20off,15,1.4,46658700,-1.2585674809378782
rlh267_bluelightbasal_JNL_10off_20on_20off,16,1.5,46731000,-1.1055626700209817
rlh267_bluelightbasal_JNL_10off_20on_20off,17,1.6,46549699.99999999,-1.489238634325746
rlh267_bluelightbasal_JNL_10off_20on_20off,18,1.7,46787500,-0.9859945950997557
rlh267_bluelightbasal_JNL_10off_20on_20off,19,1.8,46966599.99999999,-0.6069743788450531
rlh267_bluelightbasal_JNL_10off_20on_20off,20,1.9,46531500,-1.5277543681941606
rlh267_bluelightbasal_JNL_10off_20on_20off,21,2,47149700,-0.21948916613571895
rlh267_bluelightbasal_JNL_10off_20on_20off,22,2.1,46723600,-1.1212229134619918
rlh267_bluelightbasal_JNL_10off_20on_20off,23,2.2,46548800,-1.491143258528015
rlh267_bluelightbasal_JNL_10off_20on_20off,24,2.3,46291900,-2.034807655824705
rlh267_bluelightbasal_JNL_10off_20on_20off,25,2.4,46716500,-1.1362482821689068
rlh267_bluelightbasal_JNL_10off_20on_20off,26,2.5,47352500,0.20968615411250482
rlh267_bluelightbasal_JNL_10off_20on_20off,27,2.6,47574000,0.6784353327859839
rlh267_bluelightbasal_JNL_10off_20on_20off,28,2.7,47662300,0.8653001295212805
rlh267_bluelightbasal_JNL_10off_20on_20off,29,2.8,47435200,0.38469995581136135
rlh267_bluelightbasal_JNL_10off_20on_20off,30,2.9,47803500,1.1641145043686634
rlh267_bluelightbasal_JNL_10off_20on_20off,31,3,47597600,0.7283788118681244
rlh267_bluelightbasal_JNL_10off_20on_20off,32,3.1,47547800,0.6229896060083535
rlh267_bluelightbasal_JNL_10off_20on_20off,33,3.2,47776700,1.1073990281228427
rlh267_bluelightbasal_JNL_10off_20on_20off,34,3.3,47607600,0.7495413030046245
rlh267_bluelightbasal_JNL_10off_20on_20off,35,3.4,47915599.99999999,1.4013460300088145
