stim_jnl,frame,time_s,fluor,dff
rlh267_bluelightbasal_JNL_10off_20on_20off,2,0.1,28708200,1.238241540028927
rlh267_bluelightbasal_JNL_10off_20on_20off,3,0.2,28426700,0.24554380929282588
rlh267_bluelightbasal_JNL_10off_20on_20off,4,0.3,28426500,0.2448385178322674
rlh267_bluelightbasal_JNL_10off_20on_20off,5,0.4,28304299.999999996,-0.18609456456899473
rlh267_bluelightbasal_JNL_10off_20on_20off,6,0.5,28171300,-0.65511338584039
rlh267_bluelightbasal_JNL_10off_20on_20off,7,0.6,28347699.999999996,-0.03304631762779828
rlh267_bluelightbasal_JNL_10off_20on_20off,8,0.7,27991300,-1.289875700343048
rlh267_bluelightbasal_JNL_10off_20on_20off,9,0.8,28155900,-0.7094208283033951
rlh267_bluelightbasal_JNL_10off_20on_20off,10,0.9,27893600,-1.6344105788258796
rlh267_bluelightbasal_JNL_10off_20on_20off,11,1,28020600,-1.1865505013712263
rlh267_bluelightbasal_JNL_10off_20on_20off,12,1.101,27996500.000000004,-1.2715381223685136
rlh267_bluelightbasal_JNL_10off_20on_20off,13,1.2,27973100,-1.3540572232538723
rlh267_bluelightbasal_JNL_10off_20on_20off,14,1.3,27940100,-1.4704303142460262
rlh267_bluelightbasal_JNL_10off_20on_20off,15,1.401,28282700,-0.2622660423093005
rlh267_bluelightbasal_JNL_10off_20on_20off,16,1.501,28037899.999999996,-1.1255427900329285
rlh267_bluelightbasal_JNL_10off_20on_20off,17,1.601,28171000,-0.6561713230312277
rlh267_bluelightbasal_JNL_10off_20on_20off,18,1.7,28269200,-0.3098732158969999
rlh267_bluelightbasal_JNL_10off_20on_20off,19,1.8,28526400,0.5971316023812426
rlh267_bluelightbasal_JNL_10off_20on_20off,20,1.901,28327900,-0.10287017222307751
rlh267_bluelightbasal_JNL_10off_20on_20off,21,2,28346500,-0.03727806639113619
rlh267_bluelightbasal_JNL_10off_20on_20off,22,2.1,28467699.999999996,0.39012855870730706
rlh267_bluelightbasal_JNL_10off_20on_20off,23,2.2,28586900,0.8104822692001915
rlh267_bluelightbasal_JNL_10off_20on_20off,24,2.3,28674900,1.1208105118459355
rlh267_bluelightbasal_JNL_10off_20on_20off,25,2.4,28701500.000000004,1.2146142761002303
rlh267_bluelightbasal_JNL_10off_20on_20off,26,2.5,28692200,1.1818182231842465
rlh267_bluelightbasal_JNL_10off_20on_20off,27,2.6,28864700,1.7901321079159604
rlh267_bluelightbasal_JNL_10off_20on_20off,28,2.7,27794300,-1.9845877889931793
rlh267_bluelightbasal_JNL_10off_20on_20off,29,2.8,27580400,-2.7388970060605047
rlh267_bluelightbasal_JNL_10off_20on_20off,30,2.91,27839299.999999996,-1.825897210367528
rlh267_bluelightbasal_JNL_10off_20on_20off,31,3,28548600,0.6754189545032371
rlh267_bluelightbasal_JNL_10off_20on_20off,32,3.1,28671600,1.10917320274672
rlh267_bluelightbasal_JNL_10off_20on_20off,33,3.21,28491700,0.4747635339743413
rlh267_bluelightbasal_JNL_10off_20on_20off,34,3.3,28313400,-0.15400380311356943
rlh267_bluelightbasal_JNL_10off_20on_20off,35,3.4,28663400,1.080256252863821
rlh267_bluelightbasal_JNL_10off_20on_20off,36,3.5,28389100,0.1129490147078262
rlh267_bluelightbasal_JNL_10off_20on_20off,37,3.6,28821300,1.637083860974764
rlh267_bluelightbasal_JNL_10off_20on_20off,38,3.7,28372600,0.05476246921174922
rlh267_bluelightbasal_JNL_10off_20on_20off,39,3.8,28486600.000000004,0.4567786017301124
rlh267_bluelightbasal_JNL_10off_20on_20off,40,3.9,28545400,0.6641342911343009
rlh267_bluelightbasal_JNL_10off_20on_20off,41,4.01,28671700.000000004,1.1095258484770123
rlh267_bluelightbasal_JNL_10off_20on_20off,42,4.101,28458800.000000004,0.3587430887124797
rlh267_bluelightbasal_JNL_10off_20on_20off,43,4.2,28285999.999999996,-0.25062873321009826
rlh267_bluelightbasal_JNL_10off_20on_20off,44,4.3,28244400,-0.39732935700625505
rlh267_bluelightbasal_JNL_10off_20on_20off,45,4.4,28628500,0.9571828929963614
rlh267_bluelightbasal_JNL_10off_20on_20off,46,4.501,28560500.000000004,0.7173837964064814
rlh267_bluelightbasal_JNL_10off_20on_20off,47,4.601,28752399.999999996,1.3941109528123445
rlh267_bluelightbasal_JNL_10off_20on_20off,48,4.701,28793000.000000004,1.5372851193057482
rlh267_bluelightbasal_JNL_10off_20on_20off,49,4.8,28711700.000000004,1.2505841405887141
rlh267_bluelightbasal_JNL_10off_20on_20off,50,4.9,28068200,-1.0186911337583013
rlh267_bluelightbasal_JNL_10off_20on_20off,51,5.01,28511900,0.5459979714907507
rlh267_bluelightbasal_JNL_10off_20on_20off,52,5.1,28447900,0.3203047041120278
rlh267_bluelightbasal_JNL_10off_20on_20off,53,5.2,28242400,-0.40438227161184004
rlh267_bluelightbasal_JNL_10off_20on_20off,54,5.3,28385200,0.09919583122693527
rlh267_bluelightbasal_JNL_10off_20on_20off,55,5.4,28462400,0.3714383350025197
rlh267_bluelightbasal_JNL_10off_20on_20off,56,5.5,28389800,0.115417534819781
rlh267_bluelightbasal_JNL_10off_20on_20off,57,5.6,28702200.000000004,1.217082796212185
rlh267_bluelightbasal_JNL_10off_20on_20off,58,5.7,28425100,0.2399014776083578
rlh267_bluelightbasal_JNL_10off_20on_20off,59,5.8,28794300,1.5418695137993652
rlh267_bluelightbasal_JNL_10off_20on_20off,60,5.9,28671500,1.1088205570164407
rlh267_bluelightbasal_JNL_10off_20on_20off,61,6,28568100,0.7441848719076917
rlh267_bluelightbasal_JNL_10off_20on_20off,62,6.1,28431900,0.2638813872673471
rlh267_bluelightbasal_JNL_10off_20on_20off,63,6.2,28808900,1.5933557904201363
rlh267_bluelightbasal_JNL_10off_20on_20off,64,6.3,28978100.000000004,2.190032366052648
rlh267_bluelightbasal_JNL_10off_20on_20off,65,6.4,28904200.000000004,1.929427171376279
rlh267_bluelightbasal_JNL_10off_20on_20off,66,6.501,28085000,-0.9594466510713866
rlh267_bluelightbasal_JNL_10off_20on_20off,67,6.601,27783100,-2.024084110784456
rlh267_bluelightbasal_JNL_10off_20on_20off,68,6.701,28452700.000000004,0.3372316991654452
rlh267_bluelightbasal_JNL_10off_20on_20off,69,6.801,28632200,0.9702307850166937
rlh267_bluelightbasal_JNL_10off_20on_20off,70,6.901,28479300,0.4310354634197137
rlh267_bluelightbasal_JNL_10off_20on_20off,71,7.001,28433900,0.27093430187293216
rlh267_bluelightbasal_JNL_10off_20on_20off,72,7.101,29148299.999999996,2.790235398987913
rlh267_bluelightbasal_JNL_10off_20on_20off,73,7.201,28754900,1.402927096069339
rlh267_bluelightbasal_JNL_10off_20on_20off,74,7.301,28932699.999999996,2.02993120450584
rlh267_bluelightbasal_JNL_10off_20on_20off,75,7.401,28910500,1.9516438523838588
rlh267_bluelightbasal_JNL_10off_20on_20off,76,7.501,29208000,3.000764899964641
rlh267_bluelightbasal_JNL_10off_20on_20off,77,7.601,29072100,2.5215193525151345
rlh267_bluelightbasal_JNL_10off_20on_20off,78,7.701,29115200,2.673509662265493
rlh267_bluelightbasal_JNL_10off_20on_20off,79,7.801,28981900,2.2034329038032463
rlh267_bluelightbasal_JNL_10off_20on_20off,80,7.901,29093400,2.5966328930646156
rlh267_bluelightbasal_JNL_10off_20on_20off,81,8.001,29183500.000000004,2.914366696046237
rlh267_bluelightbasal_JNL_10off_20on_20off,82,8.101,29046300,2.4305367541030862
rlh267_bluelightbasal_JNL_10off_20on_20off,83,8.201,28896200,1.9012155129539257
rlh267_bluelightbasal_JNL_10off_20on_20off,84,8.301,29035000.000000004,2.390687786581544
rlh267_bluelightbasal_JNL_10off_20on_20off,85,8.401,29239799.999999996,3.1129062421934304
rlh267_bluelightbasal_JNL_10off_20on_20off,86,8.501,29039000,2.404793615792701
rlh267_bluelightbasal_JNL_10off_20on_20off,87,8.601,29164500.000000004,2.8473640072931783
rlh267_bluelightbasal_JNL_10off_20on_20off,88,8.701,29459800,3.8887268488078037
rlh267_bluelightbasal_JNL_10off_20on_20off,89,8.801,29336500,3.453914663373483
rlh267_bluelightbasal_JNL_10off_20on_20off,90,8.901,29173300.000000004,2.878396831557753
rlh267_bluelightbasal_JNL_10off_20on_20off,91,9.001,29022900,2.348017653217741
rlh267_bluelightbasal_JNL_10off_20on_20off,92,9.101,29192600,2.946457457501636
rlh267_bluelightbasal_JNL_10off_20on_20off,93,9.201,29112600,2.664340873278232
rlh267_bluelightbasal_JNL_10off_20on_20off,94,9.301,29378000.000000004,3.600262641439387
rlh267_bluelightbasal_JNL_10off_20on_20off,95,9.401,29480900,3.9631350978967266
rlh267_bluelightbasal_JNL_10off_20on_20off,96,9.501,29668700,4.625403779361166
rlh267_bluelightbasal_JNL_10off_20on_20off,97,9.601,28627600.000000004,0.9540090814238612
rlh267_bluelightbasal_JNL_10off_20on_20off,98,9.701,28347100,-0.03516219200946066
rlh267_bluelightbasal_JNL_10off_20on_20off,99,9.801,28633099.999999996,0.973404596589194
rlh267_bluelightbasal_JNL_10off_20on_20off,100,9.901,29149300,2.7937618562907187
rlh267_bluelightbasal_JNL_10off_20on_20off,101,10.001,29283700,3.2677177177860366
rlh267_bluelightbasal_JNL_10off_20on_20off,102,10.101,29420400,3.7497844310777775
rlh267_bluelightbasal_JNL_10off_20on_20off,103,10.201,29526100,4.122530967982949
