stim_jnl,frame,time_s,fluor,dff
csuEx72_1oct_10percent_JNL_10off_120on_50off,2,0.1,170554000,10.571334044100773
csuEx72_1oct_10percent_JNL_10off_120on_50off,3,0.2,170053000,10.246532290075102
csuEx72_1oct_10percent_JNL_10off_120on_50off,4,0.3,169082000,9.617026295745903
csuEx72_1oct_10percent_JNL_10off_120on_50off,5,0.4,168297000,9.108105383749592
csuEx72_1oct_10percent_JNL_10off_120on_50off,6,0.5,167136000,8.355421079510458
csuEx72_1oct_10percent_JNL_10off_120on_50off,7,0.6,166276000,7.797877150444435
csuEx72_1oct_10percent_JNL_10off_120on_50off,8,0.7,165530000,7.314240207324373
csuEx72_1oct_10percent_JNL_10off_120on_50off,9,0.8,163909000,6.263334731724343
csuEx72_1oct_10percent_JNL_10off_120on_50off,10,0.9,163746000,6.157660707959503
csuEx72_1oct_10percent_JNL_10off_120on_50off,11,1,163158000,5.776456254132966
csuEx72_1oct_10percent_JNL_10off_120on_50off,12,1.1,161983000,5.0146956533741545
csuEx72_1oct_10percent_JNL_10off_120on_50off,13,1.2,161869000,4.940788667428193
csuEx72_1oct_10percent_JNL_10off_120on_50off,14,1.3,160806000,4.251638438826817
csuEx72_1oct_10percent_JNL_10off_120on_50off,15,1.4,159857000,3.636395196171402
csuEx72_1oct_10percent_JNL_10off_120on_50off,16,1.5,160170000,3.839315254075664
csuEx72_1oct_10percent_JNL_10off_120on_50off,17,1.6,159043000,3.1086733842414676
csuEx72_1oct_10percent_JNL_10off_120on_50off,18,1.7,158191000,2.556315910329546
csuEx72_1oct_10percent_JNL_10off_120on_50off,19,1.8,158135000,2.5200107242508283
csuEx72_1oct_10percent_JNL_10off_120on_50off,20,1.9,156593000,1.5203214932975617
csuEx72_1oct_10percent_JNL_10off_120on_50off,21,2,156697000,1.5877454103008952
csuEx72_1oct_10percent_JNL_10off_120on_50off,22,2.1,155959000,1.1092949223349349
csuEx72_1oct_10percent_JNL_10off_120on_50off,23,2.2,156317000,1.341388790481024
csuEx72_1oct_10percent_JNL_10off_120on_50off,24,2.3,155143000,0.5802764966164748
csuEx72_1oct_10percent_JNL_10off_120on_50off,25,2.4,153890000,-0.232052041894837
csuEx72_1oct_10percent_JNL_10off_120on_50off,26,2.5,153803000,-0.2884547416957022
csuEx72_1oct_10percent_JNL_10off_120on_50off,27,2.6,153524000,-0.4693323651950286
csuEx72_1oct_10percent_JNL_10off_120on_50off,28,2.7,152574000,-1.0852239147447063
csuEx72_1oct_10percent_JNL_10off_120on_50off,29,2.8,152792000,-0.9438930117954119
csuEx72_1oct_10percent_JNL_10off_120on_50off,30,2.9,151692000,-1.6570305954845124
csuEx72_1oct_10percent_JNL_10off_120on_50off,31,3,151779000,-1.600627895683647
csuEx72_1oct_10percent_JNL_10off_120on_50off,32,3.1,151090000,-2.047311345830729
csuEx72_1oct_10percent_JNL_10off_120on_50off,33,3.2,150860000,-2.1964219315111775
csuEx72_1oct_10percent_JNL_10off_120on_50off,34,3.3,149344000,-3.1792551832136104
csuEx72_1oct_10percent_JNL_10off_120on_50off,35,3.4,149361000,-3.168233966011143
csuEx72_1oct_10percent_JNL_10off_120on_50off,36,3.5,148997000,-3.404217675522809
csuEx72_1oct_10percent_JNL_10off_120on_50off,37,3.6,148933000,-3.4457093167556287
csuEx72_1oct_10percent_JNL_10off_120on_50off,38,3.7,148209000,-3.9150835082019095
csuEx72_1oct_10percent_JNL_10off_120on_50off,39,3.8,147773000,-4.197745314100499
csuEx72_1oct_10percent_JNL_10off_120on_50off,40,3.9,146786000,-4.837624218737901
csuEx72_1oct_10percent_JNL_10off_120on_50off,41,4,146358000,-5.115099569482387
csuEx72_1oct_10percent_JNL_10off_120on_50off,42,4.1,146683000,-4.904399828846971
csuEx72_1oct_10percent_JNL_10off_120on_50off,43,4.2,146001000,-5.346545130734214
csuEx72_1oct_10percent_JNL_10off_120on_50off,44,4.3,144932000,-6.0395852007011666
csuEx72_1oct_10percent_JNL_10off_120on_50off,45,4.4,144456000,-6.3481792823702685
csuEx72_1oct_10percent_JNL_10off_120on_50off,46,4.5,144377000,-6.399395527017031
csuEx72_1oct_10percent_JNL_10off_120on_50off,47,4.6,144452000,-6.350772509947319
csuEx72_1oct_10percent_JNL_10off_120on_50off,48,4.7,144322000,-6.4350524062014856
csuEx72_1oct_10percent_JNL_10off_120on_50off,49,4.8,143297000,-7.099566972820876
csuEx72_1oct_10percent_JNL_10off_120on_50off,50,4.9,142734000,-7.464563754290841
csuEx72_1oct_10percent_JNL_10off_120on_50off,51,5,142244000,-7.782234132479624
csuEx72_1oct_10percent_JNL_10off_120on_50off,52,5.1,142280000,-7.758895084286162
csuEx72_1oct_10percent_JNL_10off_120on_50off,53,5.2,141924000,-7.989692338643725
csuEx72_1oct_10percent_JNL_10off_120on_50off,54,5.3,141303000,-8.392290919980935
csuEx72_1oct_10percent_JNL_10off_120on_50off,55,5.4,140822000,-8.70412653612135
csuEx72_1oct_10percent_JNL_10off_120on_50off,56,5.5,141103000,-8.521952298833499
csuEx72_1oct_10percent_JNL_10off_120on_50off,57,5.6,140084000,-9.182577024087312
csuEx72_1oct_10percent_JNL_10off_120on_50off,58,5.7,140251000,-9.074309772745421
csuEx72_1oct_10percent_JNL_10off_120on_50off,59,5.8,140151000,-9.139140462171703
csuEx72_1oct_10percent_JNL_10off_120on_50off,60,5.9,139659000,-9.458107454149008
csuEx72_1oct_10percent_JNL_10off_120on_50off,61,6,139341000,-9.664269046524586
csuEx72_1oct_10percent_JNL_10off_120on_50off,62,6.1,139184000,-9.766053228923848
csuEx72_1oct_10percent_JNL_10off_120on_50off,63,6.2,138165000,-10.42667795417766
csuEx72_1oct_10percent_JNL_10off_120on_50off,64,6.3,137552000,-10.824090080360769
csuEx72_1oct_10percent_JNL_10off_120on_50off,65,6.4,137044000,-11.15342998264628
csuEx72_1oct_10percent_JNL_10off_120on_50off,66,6.5,136296000,-11.638363539554868
csuEx72_1oct_10percent_JNL_10off_120on_50off,67,6.6,136411000,-11.563808246714643
csuEx72_1oct_10percent_JNL_10off_120on_50off,68,6.7,135877000,-11.91000412825099
csuEx72_1oct_10percent_JNL_10off_120on_50off,69,6.8,136324000,-11.62021094651551
csuEx72_1oct_10percent_JNL_10off_120on_50off,70,6.9,135928000,-11.876940476643586
csuEx72_1oct_10percent_JNL_10off_120on_50off,71,7,135161000,-12.374191864543167
csuEx72_1oct_10percent_JNL_10off_120on_50off,72,7.1,135092000,-12.418925040247302
csuEx72_1oct_10percent_JNL_10off_120on_50off,73,7.2,135037000,-12.454581919431757
csuEx72_1oct_10percent_JNL_10off_120on_50off,74,7.3,134684000,-12.683434253106531
csuEx72_1oct_10percent_JNL_10off_120on_50off,75,7.4,134396000,-12.870146638654223
csuEx72_1oct_10percent_JNL_10off_120on_50off,76,7.5,134013000,-13.118448179156882
csuEx72_1oct_10percent_JNL_10off_120on_50off,77,7.6,133417000.00000001,-13.504839088137514
csuEx72_1oct_10percent_JNL_10off_120on_50off,78,7.7,132878000,-13.854276504145183
csuEx72_1oct_10percent_JNL_10off_120on_50off,79,7.8,133800000.00000001,-13.256537547634853
csuEx72_1oct_10percent_JNL_10off_120on_50off,80,7.9,133318000,-13.569021470669544
csuEx72_1oct_10percent_JNL_10off_120on_50off,81,8,132621000.00000001,-14.020891375970718
csuEx72_1oct_10percent_JNL_10off_120on_50off,82,8.1,132339999.99999999,-14.20306561325859
csuEx72_1oct_10percent_JNL_10off_120on_50off,83,8.2,132521000,-14.085722065397007
csuEx72_1oct_10percent_JNL_10off_120on_50off,84,8.3,133400000.00000001,-13.515860305339983
csuEx72_1oct_10percent_JNL_10off_120on_50off,85,8.4,133044000,-13.746657559697557
csuEx72_1oct_10percent_JNL_10off_120on_50off,86,8.5,132902000.00000001,-13.838717138682865
csuEx72_1oct_10percent_JNL_10off_120on_50off,87,8.6,132405000,-14.160925665131497
csuEx72_1oct_10percent_JNL_10off_120on_50off,88,8.7,131527000,-14.73013911829425
csuEx72_1oct_10percent_JNL_10off_120on_50off,89,8.81,131917000,-14.477299429531751
csuEx72_1oct_10percent_JNL_10off_120on_50off,90,8.91,131390999.99999999,-14.818308855914003
csuEx72_1oct_10percent_JNL_10off_120on_50off,91,9.01,131361000,-14.83775806274188
csuEx72_1oct_10percent_JNL_10off_120on_50off,92,9.11,130812000,-15.193678547692166
csuEx72_1oct_10percent_JNL_10off_120on_50off,93,9.21,130507000,-15.391412150442326
csuEx72_1oct_10percent_JNL_10off_120on_50off,94,9.31,131136000.00000001,-14.983627113951004
csuEx72_1oct_10percent_JNL_10off_120on_50off,95,9.41,130359000,-15.487361570793222
csuEx72_1oct_10percent_JNL_10off_120on_50off,96,9.51,130165000,-15.61313310828021
csuEx72_1oct_10percent_JNL_10off_120on_50off,97,9.61,129316000.00000001,-16.163545661509332
csuEx72_1oct_10percent_JNL_10off_120on_50off,98,9.71,128136999.99999999,-16.927899489845217
csuEx72_1oct_10percent_JNL_10off_120on_50off,99,9.81,128362000,-16.782030438636074
csuEx72_1oct_10percent_JNL_10off_120on_50off,100,9.91,124183000,-19.49130494976039
csuEx72_1oct_10percent_JNL_10off_120on_50off,101,10.01,119992000.00000001,-22.208359143615855
csuEx72_1oct_10percent_JNL_10off_120on_50off,102,10.11,118561000,-23.136086309305956
csuEx72_1oct_10percent_JNL_10off_120on_50off,103,10.21,118127000,-23.41745150141602
