stim_jnl,frame,time_s,fluor,dff
csuEx72_Myristate_1percent_JNL_10off_120on_50off,2,0.1,72231100,12.368913378398048
csuEx72_Myristate_1percent_JNL_10off_120on_50off,3,0.2,71497700,11.227973242200246
csuEx72_Myristate_1percent_JNL_10off_120on_50off,4,0.3,70567500,9.780874094816559
csuEx72_Myristate_1percent_JNL_10off_120on_50off,5,0.4,70029800,8.944381715168946
csuEx72_Myristate_1percent_JNL_10off_120on_50off,6,0.5,69360700,7.903472190857588
csuEx72_Myristate_1percent_JNL_10off_120on_50off,7,0.6,68836600,7.088137141251277
csuEx72_Myristate_1percent_JNL_10off_120on_50off,8,0.7,68490600,6.549869774024061
csuEx72_Myristate_1percent_JNL_10off_120on_50off,9,0.8,68181200,6.068540515584465
csuEx72_Myristate_1percent_JNL_10off_120on_50off,10,0.9,67659000,5.256161269439807
csuEx72_Myristate_1percent_JNL_10off_120on_50off,11,1,67796000,5.469290255885265
csuEx72_Myristate_1percent_JNL_10off_120on_50off,12,1.1,67089900,4.370820348373308
csuEx72_Myristate_1percent_JNL_10off_120on_50off,13,1.2,67173800,4.501342406495746
csuEx72_Myristate_1percent_JNL_10off_120on_50off,14,1.3,66582600,3.581620824112134
csuEx72_Myristate_1percent_JNL_10off_120on_50off,15,1.4,66197800.00000001,2.982992838825924
csuEx72_Myristate_1percent_JNL_10off_120on_50off,16,1.5,65965000,2.6208291304718787
csuEx72_Myristate_1percent_JNL_10off_120on_50off,17,1.6,65534200,1.9506395876930218
csuEx72_Myristate_1percent_JNL_10off_120on_50off,18,1.7,65398200,1.7390662872800122
csuEx72_Myristate_1percent_JNL_10off_120on_50off,19,1.8,65405700,1.7507339325233766
csuEx72_Myristate_1percent_JNL_10off_120on_50off,20,1.9,65268200,1.5368271030616942
csuEx72_Myristate_1percent_JNL_10off_120on_50off,21,2,64617500,0.5245422017473905
csuEx72_Myristate_1percent_JNL_10off_120on_50off,22,2.1,64819800,0.8392574861117422
csuEx72_Myristate_1percent_JNL_10off_120on_50off,23,2.2,64567400,0.4466023315217156
csuEx72_Myristate_1percent_JNL_10off_120on_50off,24,2.3,64409700,0.20127064420457141
csuEx72_Myristate_1percent_JNL_10off_120on_50off,25,2.4,64125000,-0.2416331692335449
csuEx72_Myristate_1percent_JNL_10off_120on_50off,26,2.5,64120600,-0.24847818777631875
csuEx72_Myristate_1percent_JNL_10off_120on_50off,27,2.6,63592000.00000001,-1.070813824528637
csuEx72_Myristate_1percent_JNL_10off_120on_50off,28,2.7,63854800,-0.6619795352011565
csuEx72_Myristate_1percent_JNL_10off_120on_50off,29,2.8,63646800,-0.9855622299504654
csuEx72_Myristate_1percent_JNL_10off_120on_50off,30,2.9,63321500.00000001,-1.491626896305983
csuEx72_Myristate_1percent_JNL_10off_120on_50off,31,3,63404000,-1.3632827986289853
csuEx72_Myristate_1percent_JNL_10off_120on_50off,32,3.1,63069000,-1.884437619499266
csuEx72_Myristate_1percent_JNL_10off_120on_50off,33,3.2,62976800,-2.027871871691027
csuEx72_Myristate_1percent_JNL_10off_120on_50off,34,3.3,62939000,-2.086676803717584
csuEx72_Myristate_1percent_JNL_10off_120on_50off,35,3.4,62682800,-2.4852435652309155
csuEx72_Myristate_1percent_JNL_10off_120on_50off,36,3.5,62474900,-2.808670691376979
csuEx72_Myristate_1percent_JNL_10off_120on_50off,37,3.6,62551300,-2.689816278497906
csuEx72_Myristate_1percent_JNL_10off_120on_50off,38,3.7,62339500,-3.0193105801705196
csuEx72_Myristate_1percent_JNL_10off_120on_50off,39,3.8,62594700,-2.622299504689637
csuEx72_Myristate_1percent_JNL_10off_120on_50off,40,3.9,62320399.99999999,-3.0490241833902996
csuEx72_Myristate_1percent_JNL_10off_120on_50off,41,4,61851100,-3.7791076384184157
