stim_jnl,frame,time_s,fluor,dff
csuEx72_Myristate_1percent_JNL_10off_120on_50off,2,0.1,119063999.99999999,37.177343348351044
csuEx72_Myristate_1percent_JNL_10off_120on_50off,3,0.2,115842000,33.46517678021639
csuEx72_Myristate_1percent_JNL_10off_120on_50off,4,0.3,112240999.99999999,29.31635250589825
csuEx72_Myristate_1percent_JNL_10off_120on_50off,5,0.4,110105000.00000001,26.85540036761906
csuEx72_Myristate_1percent_JNL_10off_120on_50off,6,0.5,107823000,24.226237081311368
csuEx72_Myristate_1percent_JNL_10off_120on_50off,7,0.6,105905999.99999999,22.017601665074796
csuEx72_Myristate_1percent_JNL_10off_120on_50off,8,0.7,104437000,20.325121004432408
csuEx72_Myristate_1percent_JNL_10off_120on_50off,9,0.8,102153000,17.693653455822968
csuEx72_Myristate_1percent_JNL_10off_120on_50off,10,0.9,100852000.00000001,16.194730828528385
csuEx72_Myristate_1percent_JNL_10off_120on_50off,11,1,99944100,15.148710956644607
csuEx72_Myristate_1percent_JNL_10off_120on_50off,12,1.1,98786900,13.815464788846516
csuEx72_Myristate_1percent_JNL_10off_120on_50off,13,1.2,96720900,11.435161831128875
csuEx72_Myristate_1percent_JNL_10off_120on_50off,14,1.3,95646000,10.19673605704819
csuEx72_Myristate_1percent_JNL_10off_120on_50off,15,1.4,95664500,10.218050483339466
csuEx72_Myristate_1percent_JNL_10off_120on_50off,16,1.5,93894800,8.179123985627506
csuEx72_Myristate_1percent_JNL_10off_120on_50off,17,1.6,92253200,6.287785488343246
csuEx72_Myristate_1percent_JNL_10off_120on_50off,18,1.7,92177000,6.1999930946462065
csuEx72_Myristate_1percent_JNL_10off_120on_50off,19,1.8,91687500,5.63602489629055
csuEx72_Myristate_1percent_JNL_10off_120on_50off,20,1.9,89864599.99999999,3.535805021351767
csuEx72_Myristate_1percent_JNL_10off_120on_50off,21,2,89658600,3.2984660042705483
csuEx72_Myristate_1percent_JNL_10off_120on_50off,22,2.1,89041200,2.5871402317173673
csuEx72_Myristate_1percent_JNL_10off_120on_50off,23,2.2,88555700,2.02778055796523
csuEx72_Myristate_1percent_JNL_10off_120on_50off,24,2.3,87335200,0.6216044883164491
csuEx72_Myristate_1percent_JNL_10off_120on_50off,25,2.4,86833500.00000001,0.04358028992007669
csuEx72_Myristate_1percent_JNL_10off_120on_50off,26,2.5,86103500,-0.7974754502221857
csuEx72_Myristate_1percent_JNL_10off_120on_50off,27,2.6,84880200,-2.20687748709343
csuEx72_Myristate_1percent_JNL_10off_120on_50off,28,2.7,84364800,-2.8006858822568725
csuEx72_Myristate_1percent_JNL_10off_120on_50off,29,2.8,84012000,-3.207157752287262
csuEx72_Myristate_1percent_JNL_10off_120on_50off,30,2.9,83222900,-4.116304443446502
csuEx72_Myristate_1percent_JNL_10off_120on_50off,31,3,82728300.00000001,-4.686148510671629
csuEx72_Myristate_1percent_JNL_10off_120on_50off,32,3.1,82328499.99999999,-5.146770544793402
csuEx72_Myristate_1percent_JNL_10off_120on_50off,33,3.2,80906400,-6.785216254459531
csuEx72_Myristate_1percent_JNL_10off_120on_50off,34,3.3,80347700,-7.428911928456068
csuEx72_Myristate_1percent_JNL_10off_120on_50off,35,3.4,80258100,-7.532142879574898
csuEx72_Myristate_1percent_JNL_10off_120on_50off,36,3.5,80202400,-7.596316584678902
csuEx72_Myristate_1percent_JNL_10off_120on_50off,37,3.6,79419600,-8.4982048495876
csuEx72_Myristate_1percent_JNL_10off_120on_50off,38,3.7,79157300,-8.800408850463368
csuEx72_Myristate_1percent_JNL_10off_120on_50off,39,3.8,78686700,-9.342601770067397
csuEx72_Myristate_1percent_JNL_10off_120on_50off,40,3.9,78078800,-10.042982296687219
csuEx72_Myristate_1percent_JNL_10off_120on_50off,41,4,77905000,-10.243222690710127
csuEx72_Myristate_1percent_JNL_10off_120on_50off,42,4.1,77481000,-10.731726298683157
csuEx72_Myristate_1percent_JNL_10off_120on_50off,43,4.2,76861400,-11.445586759768272
csuEx72_Myristate_1percent_JNL_10off_120on_50off,44,4.3,75954700,-12.490224074270976
csuEx72_Myristate_1percent_JNL_10off_120on_50off,45,4.4,76086600,-12.338257975469933
csuEx72_Myristate_1percent_JNL_10off_120on_50off,46,4.5,76228900,-12.17430971269974
csuEx72_Myristate_1percent_JNL_10off_120on_50off,47,4.6,75854200,-12.606013254934394
csuEx72_Myristate_1percent_JNL_10off_120on_50off,48,4.7,76027300,-12.406579352717104
csuEx72_Myristate_1percent_JNL_10off_120on_50off,49,4.8,75352200,-13.18438309267605
csuEx72_Myristate_1percent_JNL_10off_120on_50off,50,4.9,75586000,-12.915014829600354
