stim_jnl,frame,time_s,fluor,dff
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,2,0.1,53656000,23.65361501135628
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,3,0.2,51329800,18.292741311501334
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,4,0.3,50438300,16.238223684719166
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,5,0.4,49430100,13.914763593500115
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,6,0.5,49125100,13.211871976934145
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,7,0.6,48160000,10.987738537105235
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,8,0.7,47554600,9.592556292288718
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,9,0.8,46807100,7.8698956910327755
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,10,0.9,46497300,7.155942173615931
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,11,1,46286900,6.671062186319275
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,12,1.1,45996300,6.001356272305928
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,13,1.2,45321800,4.446928746490367
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,14,1.3,45622999.99999999,5.14106302488271
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,15,1.4,44841700,3.3405082051352126
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,16,1.5,45134800.00000001,4.01597552584174
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,17,1.6,44661400,2.9249955544242474
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,18,1.7,44650000,2.898723539903421
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,19,1.8,44241200,1.956618317437295
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,20,1.9,44022600,1.4528409161870626
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,21,2,43977200,1.3482137706392099
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,22,2.1,43595700,0.46902310926243157
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,23,2.2,43568600,0.4065694607085372
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,24,2.3,43724600,0.7660812383619512
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,25,2.4,43246800,-0.3350388088354923
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,26,2.5,43603300,0.4865377856096492
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,27,2.6,42666300,-1.6728374429880999
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,28,2.7,42830100,-1.2953500764520154
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,29,2.8,42370900,-2.353605257852321
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,30,2.9,42450400,-2.1703925250097162
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,31,3,42544200,-1.9542245458822143
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,32,3.1,42241700,-2.6513547557550203
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,33,3.2,42291900,-2.5356657093562935
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,34,3.3,42550500,-1.939705801015442
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,35,3.4,42186600,-2.778336159272348
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,36,3.5,42328900,-2.450396890297471
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,37,3.6,42093900,-2.991969119454857
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,38,3.7,41293300.00000001,-4.837001998873578
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,39,3.8,41810400,-3.645312638459619
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,40,3.9,41636000,-4.047228369374718
csuEx72_Myristate_1percent_JNL_10pulse_5delay_10pulse,41,4,41366600,-4.668077554630036
