stim_jnl,frame,time_s,fluor,dff
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,2,0.1,256996000,12.927933648880652
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,3,0.2,252869000,11.11446736081029
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,4,0.301,249897000,9.808525560920513
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,5,0.4,247145000,8.59925509211275
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,6,0.5,245217999.99999997,7.752502114862534
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,7,0.6,243073000,6.8099566368128945
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,8,0.7,241648000,6.1837900604862
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,9,0.8,242057000,6.363510853270493
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,10,0.9,239344000,5.171377574972725
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,11,1,238323000.00000003,4.722734715723929
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,12,1.1,237354999.99999997,4.297380858963033
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,13,1.2,236073000.00000003,3.7340506478396756
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,14,1.3,235200000,3.3504412295005723
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,15,1.4,233985999.99999997,2.8169912479843444
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,16,1.5,233771000,2.7225169926087514
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,17,1.6,232507000.00000003,2.167096254028455
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,18,1.7,232334000,2.0910774345866754
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,19,1.8,231070999.99999997,1.5360961111476346
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,20,1.9,230471000,1.2724470263785137
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,21,2,230130000,1.122606463201389
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,22,2.1,229496000,0.8440172636286707
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,23,2.2,228777000,0.5280777770469917
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,24,2.3,227717000,0.06229772728818802
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,25,2.4,227469000,-0.04667722774972074
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,26,2.501,226779000.00000003,-0.34987367523421187
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,27,2.6,226135000.00000003,-0.6328570262197492
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,28,2.7,225476000,-0.9224316043245279
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,29,2.8,224876000,-1.186080689093662
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,30,2.9,224617999.99999997,-1.2994497955444029
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,31,3,224622000,-1.297692134979262
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,32,3.1,223686000,-1.7089847072191113
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,33,3.2,223016000,-2.0033928518779778
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,34,3.3,222883000,-2.061835065668469
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,35,3.4,222332000.00000003,-2.3039528085147776
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,36,3.5,222362000,-2.290770354276334
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,37,3.6,221817999.99999997,-2.5298121911336953
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,38,3.701,221074000,-2.856737056247409
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,39,3.801,220353999.99999997,-3.1731159579703827
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,40,3.9,220188000,-3.246058871423163
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,41,4,219932999.99999997,-3.358109732450058
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,42,4.1,219569000,-3.518056843876653
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,43,4.2,219137000,-3.7078841849104296
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,44,4.3,218735000,-3.8845290717057495
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,45,4.4,218573000,-3.9557143245934157
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,46,4.501,218204999.99999997,-4.117419096585165
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,47,4.6,217353000,-4.491800796957322
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,48,4.7,217031999.99999997,-4.632853057308822
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,49,4.801,216913000,-4.685143459121353
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,50,4.9,216236000,-4.982627509769193
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,51,5,216350000,-4.932534183663058
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,52,5.1,215864000,-5.146089942326056
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,53,5.2,215126000.00000003,-5.470378316592078
csuEx72_NH4Br_2.5M_JNL_10off_120on_50off,54,5.301,215501000,-5.305597638611383
