stim_jnl,frame,time_s,fluor,dff
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,2,0.1,53898300,-2.8874530107553675
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,3,0.2,54408200.00000001,-1.9687285294671528
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,4,0.3,54042400,-2.627817400334442
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,5,0.4,54338000,-2.095213053072641
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,6,0.5,54435600,-1.9193599262365393
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,7,0.6,55009000,-0.88622280607444
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,8,0.7,54587400,-1.6458506572435034
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,9,0.8,54629300,-1.570356333325136
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,10,0.9,54752900,-1.3476570866351545
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,11,1,54549700,-1.713777531031629
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,12,1.1,54588599.99999999,-1.6436885286348766
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,13,1.2,54684500,-1.4708984173276687
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,14,1.3,54718700,-1.4092777519814115
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,15,1.4,54825400,-1.2170284831964517
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,16,1.5,54803100,-1.2572080398403562
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,17,1.6,55269199.99999999,-0.4174012527675504
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,18,1.7,54989900,-0.9206366864286362
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,19,1.8,55323800,-0.3190244010743898
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,20,1.9,55226900,-0.49361628622211806
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,21,2,55110800,-0.702802229108096
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,22,2.1,55408400,-0.1665943341652276
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,23,2.2,55315800,-0.3334385917986604
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,24,2.3,55486000.00000001,-0.02677668413978881
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,25,2.4,55279500,-0.3988429822100385
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,26,2.5,55680300,0.3233079730759213
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,27,2.6,55958800,0.8251019876645935
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,28,2.7,55784200.00000001,0.5105122751073998
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,29,2.8,55753300,0.454837463434891
