stim_jnl,frame,time_s,fluor,dff
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,2,0.1,115764000,0.5723234448591449
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,3,0.2,115962000.00000001,0.7443399615835463
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,4,0.3,116165000,0.920700329740356
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,5,0.4,116039000,0.8112352736430178
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,6,0.5,115651000,0.4741524024861353
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,7,0.6,116074000.00000001,0.8416422336700692
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,8,0.7,115643000,0.4672022401942408
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,9,0.8,115308000.00000001,0.1761641942211722
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,10,0.9,115801000,0.6044679454591569
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,11,1,115801000,0.6044679454591569
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,12,1.1,115832000,0.631399824340248
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,13,1.2,115772000.00000001,0.57927360715105225
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,14,1.3,115042000,-0.05492870198433239
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,15,1.4,115113000,0.006753988356231162
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,16,1.5,115504999.99999999,0.34731194065904797
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,17,1.6,115636000,0.4611208481888331
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,18,1.7,114863000,-0.2104385832654715
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,19,1.8,114875000,-0.20001333982762975
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,21,2,115172999.99999999,0.05888020554542685
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,22,2.1,115123000,0.01544169122109927
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,23,2.2,115387000,0.24479704685361728
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,24,2.3,115215000,0.09536855757788584
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,25,2.4,114689000,-0.3616046131141765
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,26,2.5,115655000,0.4776274836320826
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,27,2.6,115264000.00000001,0.13793830161575252
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,28,2.7,115304999.99999999,0.17355788336168584
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,29,2.8,115140000,0.030210786091375046
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,30,2.9,114816999.99999999,-0.2504020164438777
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,31,3,115089000,-0.014096498519452293
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,32,3.1,115035000,-0.06101009398974007
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,33,3.2,115350000,0.21265254625360527
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,34,3.3,115602000,0.43158265844828153
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,35,3.4,114955999.99999999,-0.12964294662221107
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,36,3.5,114870000,-0.20435719126006385
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,37,3.6,114735000.00000001,-0.3216411799357703
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,38,3.7,114967000,-0.1200864734708432
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,39,3.8,114487999.99999999,-0.5362274406980384
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,40,3.9,114058000,-0.909798663887354
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,41,4,114422000,-0.5935662796061549
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,42,4.1,114483000,-0.5405712921304595
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,43,4.2,114487999.99999999,-0.5362274406980384
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,44,4.3,114113000,-0.8620162981305795
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,45,4.4,114412000,-0.6022539824710231
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,46,4.5,113823000.00000001,-1.1139596812117416
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,47,4.6,114348000,-0.6578552808061789
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,48,4.7,114452000,-0.5675031710115507
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,49,4.8,114036000,-0.9289116101900639
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,50,4.9,114203000.00000001,-0.7838269723467536
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,51,5,114533000,-0.49713277780611903
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,52,5.1,113813000.00000001,-1.1226473840766096
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,53,5.2,114297000,-0.7021625654170063
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,54,5.3,114828000,-0.2408455432925099
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,55,5.4,114074000.00000001,-0.8958983393035521
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,56,5.5,114168000,-0.8142339323738048
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,57,5.6,114134000,-0.8437721221143564
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,58,5.7,114168000,-0.8142339323738048
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,59,5.8,114016999.99999999,-0.9454182456333263
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,60,5.9,113821000,-1.115697221784728
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,61,6,114028000,-0.9358617724819585
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,62,6.1,113772999.99999999,-1.1573981955361081
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,63,6.2,114296000,-0.7030313357034931
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,64,6.3,113826000,-1.1113533703522942
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,65,6.4,113891000.00000001,-1.0548833017306385
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,66,6.5,114428000,-0.5883536578872341
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,67,6.6,113706000,-1.2156058047307114
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,68,6.7,114382000,-0.6283170910656274
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,69,6.8,114067000,-0.9019797313089727
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,70,6.9,114187000,-0.7977272969305554
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,71,7,114467999.99999999,-0.5536028464277747
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,72,7.1,113473000,-1.4180292814821382
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,73,7.2,113988000,-0.9706125839414308
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,74,7.3,113718999.99999999,-1.2043117910063956
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,75,7.4,114250000,-0.7429947688818864
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,76,7.5,113875000,-1.0687836263144406
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,77,7.6,114202000,-0.7846957426332534
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,78,7.7,114253000,-0.7403884580224259
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,79,7.8,113603000.00000001,-1.30508914423884
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,80,7.9,114087000,-0.8846043255792366
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,81,8,113826000,-1.1113533703522942
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,82,8.1,113660000,-1.2555692379091048
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,83,8.207,113928999.99999999,-1.0218700308441655
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,84,8.307,113750000,-1.1773799121252917
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,85,8.407,113894000,-1.0522769908711909
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,86,8.507,114008000,-0.9532371782116945
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,87,8.607,113852000,-1.088765342903637
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,88,8.707,113426000,-1.4588614849470183
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,89,8.807,113667000,-1.249487845903697
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,90,8.907,113995000,-0.9645311919360231
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,91,9.007,113904000,-1.043589288006323
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,92,9.107,113981000,-0.9766939759468385
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,93,9.207,113730000,-1.194755317855028
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,94,9.307,113769000.00000001,-1.1608732766820293
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,95,9.407,113605000,-1.3033516036658792
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,96,9.507,113696000,-1.2242935075955796
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,97,9.607,113562999.99999999,-1.3398399556983382
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,98,9.707,113201000,-1.6543347994065507
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,99,9.807,113187000,-1.6664975834173659
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,100,9.907,113632000,-1.2798948059307353
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,101,10.007,112877999.99999999,-1.9349476019418035
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,102,10.107,111230999.99999999,-3.365812263785581
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,103,10.207,111155000,-3.431838805558565
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,104,10.307,111074999.99999999,-3.5013404284775227
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,105,10.407,110629000,-3.888811976250628
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,106,10.507,110003999.99999999,-4.431793405304897
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,107,10.607,110307000,-4.1685560084993805
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,108,10.707,110503000,-3.998277032347966
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,109,10.807,110313000,-4.1633433867804595
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,110,10.907,110378000,-4.106873318158817
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,111,11.007,111044000.00000001,-3.528272307358588
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,112,11.107,110525999.99999999,-3.978295315758782
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,113,11.207,110684000,-3.8410296104938535
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,114,11.307,110493000,-4.006964735212834
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,115,11.407,110586999.99999999,-3.9253003282830865
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,116,11.507,110569000,-3.9409381934398366
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,117,11.607,110144000,-4.310165565196731
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,118,11.707,110196000,-4.264989510299417
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,119,11.807,110537000,-3.9687388426074146
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,120,11.907,109861000.00000001,-4.556027556272485
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,121,12.007,110390000.00000001,-4.096448074720962
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,122,12.107,110196000,-4.264989510299417
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,123,12.207,110653000,-3.8679614893749443
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,124,12.307,110551000,-3.9565760585965988
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,125,12.407,110376000,-4.10861085873179
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,126,12.507,110637000.00000001,-3.88186181395872
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,127,12.607,110799000,-3.7411210275478695
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,128,12.707,110837999.99999999,-3.707238986374897
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,129,12.807,110666000,-3.8566674756506156
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,130,12.907,110930000,-3.6273121200180976
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,131,13.007,110403999.99999999,-4.084285290710174
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,132,13.107,110915999.99999999,-3.6394749040289263
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,133,13.207,110737000,-3.7949847853100525
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,134,13.307,111193000.00000001,-3.3988255346720537
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,135,13.407,111087000,-3.4909151850396682
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,136,13.507,110842000,-3.703763905228937
