stim_jnl,frame,time_s,fluor,dff
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,2,0.1,36349400,0.2657662812100627
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,3,0.2,36022100,-0.6370542688909033
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,4,0.3,36560600,0.8483379285712727
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,5,0.4,36573800,0.8847486565313484
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,6,0.5,36837800,1.6129632157328606
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,7,0.6,36655600,1.1103848343445442
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,8,0.7,36123700,-0.3568019991375939
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,9,0.8,36100100,-0.4218999673086382
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,10,0.9,35945000,-0.8497260208395268
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,11,1,36417200,0.4527850202777238
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,12,1.1,36401300,0.4089266434167237
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,13,1.2,36249800,-0.00896921157959879
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,14,1.3,36549400,0.8174439775748449
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,15,1.4,36032100,-0.6094703840726642
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,16,1.5,35415700,-2.3097410442689226
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,17,1.6,36100200,-0.4216241284604559
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,18,1.7,36355800,0.28341996749373577
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,19,1.8,36333000,0.2205287101081506
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,20,1.9,36243000,-0.027726253256001386
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,21,2,36126200,-0.34990602793303416
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,22,2.1,36314900,0.1706018785871378
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,23,2.2,36382600,0.3573447788066166
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,24,2.3,36503600,0.6911097851073098
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,25,2.4,36609100,0.9821197699397324
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,26,2.5,36377800,0.3441045140938618
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,27,2.6,36658100,1.117280805549104
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,28,2.7,36318000,0.17915288288079192
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,29,2.8,36491500,0.6577332844772404
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,30,2.9,36550600,0.8207540437530336
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,31,3,37038800,2.1673993005794667
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,32,3.1,36579900,0.90157482627047425
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,33,3.2,36728200,1.31064383812496
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,34,3.3,36031500,-0.6111254171617585
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,35,3.4,36030300,-0.6144354833399472
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,36,3.5,35841800,-1.1343917121637543
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,37,3.6,35750800,-1.3854050640097304
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,38,3.7,36191200,-0.17061077661447996
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,39,3.8,35828700,-1.1705266012756477
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,40,3.9,35632300,-1.7122740991058636
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,41,4,35761200,-1.3567178237987616
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,42,4.1,35981400,-0.7493206801011365
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,43,4.2,35924200,-0.9071005012614642
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,44,4.3,35598700,-1.8049559520951473
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,45,4.4,35777900,-1.3106527361523024
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,46,4.5,36013500,-0.660776409834589
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,47,4.6,35395200,-2.366288008146313
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,48,4.7,35937900,-0.8693105790604765
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,49,4.8,35458300,-2.192233694943224
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,50,4.9,35432500,-2.2634001177742813
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,51,5,35783700,-1.2946540829577236
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,52,5.1,35777400,-1.3120319303932142
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,53,5.2,35812100,-1.2163158500739246
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,54,5.3,35527600,-2.0010773731528273
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,55,5.4,35562000,-1.9061888093780848
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,56,5.5,35643100,-1.6824835035021655
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,57,5.6,35621100,-1.7431680501022915
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,58,5.7,35668200,-1.6132479526083852
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,59,5.8,35340400,-2.517447696950263
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,60,5.9,36005900,-0.6817401622964506
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,61,6,35800100,-1.2494165118558114
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,62,6.1,36215500,-0.10358193650615893
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,63,6.2,35982200,-0.7471139693156773
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,64,6.3,35526800,-2.003284083938286
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,65,6.4,35473300,-2.1508578677158656
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,66,6.5,36266700,0.0376475537632253
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,67,6.6,35898900,-0.9768877298516091
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,68,6.7,36037400,-0.5948509251189974
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,69,6.8,36200400,-0.14523360258169998
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,70,6.9,35822800,-1.1868010933184088
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,71,7,36269500,0.045371041512332254
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,72,7.1,35254300,-2.754944945235302
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,73,7.2,35255100,-2.752738234449843
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,74,7.3,35622600,-1.7390304673795556
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,75,7.4,36450000,0.5432601624815482
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,76,7.5,36243200,-0.0271745755596366
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,77,7.6,36007600,-0.6770509018773501
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,78,7.7,35604800,-1.7881297823560214
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,79,7.8,35303800,-2.6184047153850183
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,80,7.9,35649300,-1.665381494914857
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,81,8,35291200,-2.6531604102559996
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,82,8.1,35403300,-2.3439450614435393
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,83,8.207,35366000,-2.446832951815571
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,84,8.307,35238200,-2.799354999792667
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,85,8.407,35089400,-3.209803205888065
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,86,8.507,35016000,-3.41226892045394
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,87,8.607,35382500,-2.4013195418654765
csuEx72_NaAc_0.25M_JNL_10off_20on_20off,88,8.707,35429000,-2.273054477460665
