stim_jnl,frame,time_s,fluor,dff
csuEx72_bluelightbasal_JNL_10off_20on_20off,2,0.1,22238200,0.501615730977214
csuEx72_bluelightbasal_JNL_10off_20on_20off,3,0.2,22588800,2.0860904850166873
csuEx72_bluelightbasal_JNL_10off_20on_20off,4,0.3,22482800,1.607042213687012
csuEx72_bluelightbasal_JNL_10off_20on_20off,5,0.4,22324900,0.8934410623383731
csuEx72_bluelightbasal_JNL_10off_20on_20off,6,0.5,22158600,0.14187759514851447
csuEx72_bluelightbasal_JNL_10off_20on_20off,7,0.6,22366400,1.0809929798872553
csuEx72_bluelightbasal_JNL_10off_20on_20off,8,0.71,22226200,0.4473838512040433
csuEx72_bluelightbasal_JNL_10off_20on_20off,9,0.8,22358800,1.0466461226975805
csuEx72_bluelightbasal_JNL_10off_20on_20off,10,0.9,22266000,0.6272529191183931
csuEx72_bluelightbasal_JNL_10off_20on_20off,11,1,22128600,0.00629789571558751
csuEx72_bluelightbasal_JNL_10off_20on_20off,12,1.1,22189199.999999996,0.28016888857008315
csuEx72_bluelightbasal_JNL_10off_20on_20off,13,1.2,22087000,-0.1817059541647379
csuEx72_bluelightbasal_JNL_10off_20on_20off,14,1.3,22136900,0.04380827922536397
csuEx72_bluelightbasal_JNL_10off_20on_20off,15,1.4,22055900,-0.32225690924353884
csuEx72_bluelightbasal_JNL_10off_20on_20off,16,1.51,22093000,-0.1545900142781525
csuEx72_bluelightbasal_JNL_10off_20on_20off,17,1.6,21896000,-1.0448967072210396
csuEx72_bluelightbasal_JNL_10off_20on_20off,18,1.7,21939900,-0.8464984137175231
csuEx72_bluelightbasal_JNL_10off_20on_20off,19,1.8,22069000,-0.2630537738244941
csuEx72_bluelightbasal_JNL_10off_20on_20off,20,1.9,22012600,-0.5179436087583967
csuEx72_bluelightbasal_JNL_10off_20on_20off,21,2,21829800,-1.3440759106363651
csuEx72_bluelightbasal_JNL_10off_20on_20off,22,2.1,22054100,-0.33039169120951445
csuEx72_bluelightbasal_JNL_10off_20on_20off,23,2.2,21990500,-0.6178206540073197
csuEx72_bluelightbasal_JNL_10off_20on_20off,24,2.3,21997800,-0.5848295938119741
csuEx72_bluelightbasal_JNL_10off_20on_20off,25,2.4,21869500,-1.1646587750534585
csuEx72_bluelightbasal_JNL_10off_20on_20off,26,2.5,22168100,0.184811166635608
csuEx72_bluelightbasal_JNL_10off_20on_20off,27,2.6,22041900,-0.3855274356455714
csuEx72_bluelightbasal_JNL_10off_20on_20off,28,2.7,21939000,-0.8505658047005109
csuEx72_bluelightbasal_JNL_10off_20on_20off,29,2.8,22012700,-0.5174916764269536
csuEx72_bluelightbasal_JNL_10off_20on_20off,30,2.9,22028200,-0.4474421650532748
csuEx72_bluelightbasal_JNL_10off_20on_20off,31,3,22115600,-0.052453307372014174
csuEx72_bluelightbasal_JNL_10off_20on_20off,32,3.1,22091400,-0.16182093158124192
csuEx72_bluelightbasal_JNL_10off_20on_20off,33,3.2,22335500,0.9413458894713406
csuEx72_bluelightbasal_JNL_10off_20on_20off,34,3.3,22205300,0.35292999393243746
csuEx72_bluelightbasal_JNL_10off_20on_20off,35,3.4,22228500.000000004,0.4577782948272512
csuEx72_bluelightbasal_JNL_10off_20on_20off,36,3.5,22235800,0.49076935502257985
csuEx72_bluelightbasal_JNL_10off_20on_20off,37,3.6,22326100.000000004,0.8988642503157068
csuEx72_bluelightbasal_JNL_10off_20on_20off,38,3.7,22382600,1.1542060175810358
csuEx72_bluelightbasal_JNL_10off_20on_20off,39,3.8,22416400,1.3069591456088003
csuEx72_bluelightbasal_JNL_10off_20on_20off,40,3.9,22475000,1.5717914918344507
csuEx72_bluelightbasal_JNL_10off_20on_20off,41,4,22591500,2.0982926579656507
csuEx72_bluelightbasal_JNL_10off_20on_20off,42,4.1,22575800,2.0273392819290854
csuEx72_bluelightbasal_JNL_10off_20on_20off,43,4.2,22630499.999999996,2.274546267228439
csuEx72_bluelightbasal_JNL_10off_20on_20off,44,4.3,22654800,2.3843658237691265
csuEx72_bluelightbasal_JNL_10off_20on_20off,45,4.4,22782500,2.9614834110219523
csuEx72_bluelightbasal_JNL_10off_20on_20off,46,4.5,22836100,3.2037191406754486
csuEx72_bluelightbasal_JNL_10off_20on_20off,47,4.6,22878200,3.3939826522129892
csuEx72_bluelightbasal_JNL_10off_20on_20off,48,4.7,22746800,2.800143568696769
csuEx72_bluelightbasal_JNL_10off_20on_20off,49,4.8,22882500,3.4134157424650424
csuEx72_bluelightbasal_JNL_10off_20on_20off,50,4.9,22768900,2.900020613945692
csuEx72_bluelightbasal_JNL_10off_20on_20off,51,5,22794700,3.016619155458009
csuEx72_bluelightbasal_JNL_10off_20on_20off,52,5.1,22829600,3.1743435391316472
csuEx72_bluelightbasal_JNL_10off_20on_20off,53,5.2,22900299.999999996,3.493859697461895
