stim_jnl,frame,time_s,fluor,dff
csuEx72_bluelightbasal_JNL_10off_20on_20off,2,0.1,67379600,0.30849374193126355
csuEx72_bluelightbasal_JNL_10off_20on_20off,3,0.2,66367500,-1.198226786481025
csuEx72_bluelightbasal_JNL_10off_20on_20off,4,0.3,66349800,-1.2245769034189733
csuEx72_bluelightbasal_JNL_10off_20on_20off,5,0.4,66038900,-1.68741596308045
csuEx72_bluelightbasal_JNL_10off_20on_20off,6,0.5,65806200,-2.0338381219200303
csuEx72_bluelightbasal_JNL_10off_20on_20off,7,0.6,65417400,-2.6126474702519125
csuEx72_bluelightbasal_JNL_10off_20on_20off,8,0.7,65618000,-2.314012811621831
csuEx72_bluelightbasal_JNL_10off_20on_20off,9,0.8,65886500,-1.9142949360376997
csuEx72_bluelightbasal_JNL_10off_20on_20off,10,0.9,65639700,-2.281707865997341
csuEx72_bluelightbasal_JNL_10off_20on_20off,11,1,65857100,-1.9580629268837837
csuEx72_bluelightbasal_JNL_10off_20on_20off,12,1.1,65754500,-2.1108042826935858
csuEx72_bluelightbasal_JNL_10off_20on_20off,13,1.2,66306900.00000001,-1.2884424410821251
csuEx72_bluelightbasal_JNL_10off_20on_20off,14,1.3,66340199.99999999,-1.238868492266685
csuEx72_bluelightbasal_JNL_10off_20on_20off,15,1.4,66185300,-1.4694692331530128
csuEx72_bluelightbasal_JNL_10off_20on_20off,16,1.5,66222200.00000001,-1.4145359385196519
csuEx72_bluelightbasal_JNL_10off_20on_20off,17,1.6,66179200,-1.4785503468999892
csuEx72_bluelightbasal_JNL_10off_20on_20off,18,1.7,66308500,-1.2860605096075193
csuEx72_bluelightbasal_JNL_10off_20on_20off,19,1.8,66723900,-0.667651550510133
csuEx72_bluelightbasal_JNL_10off_20on_20off,20,1.9,66744300,-0.637281924208769
csuEx72_bluelightbasal_JNL_10off_20on_20off,21,2,66995100,-0.2639141655625858
csuEx72_bluelightbasal_JNL_10off_20on_20off,22,2.1,66825700,-0.5161011604376393
csuEx72_bluelightbasal_JNL_10off_20on_20off,23,2.2,66649300,-0.7787091055141413
csuEx72_bluelightbasal_JNL_10off_20on_20off,24,2.3,67430000,0.3835245833816927
csuEx72_bluelightbasal_JNL_10off_20on_20off,25,2.4,66815600,-0.5311371028711578
csuEx72_bluelightbasal_JNL_10off_20on_20off,26,2.5,67116300,-0.0834828563603633
csuEx72_bluelightbasal_JNL_10off_20on_20off,27,2.6,67700500,0.7862198733090952
csuEx72_bluelightbasal_JNL_10off_20on_20off,28,2.7,67475000,0.45051640610529015
csuEx72_bluelightbasal_JNL_10off_20on_20off,29,2.8,67390900,0.32531613297074474
csuEx72_bluelightbasal_JNL_10off_20on_20off,30,2.9,67975600,1.195763216226021
csuEx72_bluelightbasal_JNL_10off_20on_20off,31,3,67479800,0.4576622005291406
csuEx72_bluelightbasal_JNL_10off_20on_20off,32,3.1,67633500,0.6864764928095167
csuEx72_bluelightbasal_JNL_10off_20on_20off,33,3.2,67879200,1.0522518448803588
csuEx72_bluelightbasal_JNL_10off_20on_20off,34,3.3,67633500,0.6864764928095167
csuEx72_bluelightbasal_JNL_10off_20on_20off,35,3.4,67876600,1.0483812062341065
