stim_jnl,frame,time_s,fluor,dff
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,2,0.5,16110100,54.5133005112047
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,3,1,15831700,51.84314310297512
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,4,1.5,15519000,48.84401156003909
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,5,2,15462700,48.30403360715358
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,6,2.5,15647500,50.0764656798577
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,7,3.001,15646100,50.063038164155394
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,8,3.5,15299799.999999998,46.741646244364055
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,9,4,15131500,45.12746703529425
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,10,4.5,15197300,45.758560273302535
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,11,5,15428200,47.973141255918236
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,12,5.5,15364800,47.365066616256755
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,13,6,15304899.999999998,46.79056076585102
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,14,6.5,14920700,43.10566681383306
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,15,7,14993000,43.79910208903061
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,16,7.5,14465800,38.742683318848734
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,17,8,14302000,37.171663981679174
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,18,8.5,14269000,36.85515825441058
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,19,9,14201600,36.20871928417109
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,20,9.5,13637100,30.794553131349257
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,21,10,13861200,32.943914751982334
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,22,10.5,14448000,38.57196204777658
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,23,11,13747000,31.84861311398011
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,24,11.5,12645599.999999998,21.2849946893247
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,25,12,11759000,12.781540816708528
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,26,12.5,10965800.000000002,5.173894063088919
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,27,13,10004400,-4.0469727913361
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,28,13.5,9411500,-9.733525691261816
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,29,14,8771940,-15.867598507380032
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,30,14.5,7955920,-23.694113766947215
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,31,15,7231410,-30.642949053715945
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,32,15.5,6848730,-34.31326456011428
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,33,16,6508860,-37.57298581850145
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,34,16.5,6026170,-42.20250550017651
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,35,17,5796450,-44.405769005271694
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,36,17.5,5305780,-49.111825526449884
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,37,18,5290130,-49.261925969836355
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,38,18.5,5054940,-51.517652696996976
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,39,19,5077680,-51.29955147766098
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,40,19.5,4821870,-53.753046328951235
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,41,20,4797420,-53.98754829960934
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,42,20.5,4908730,-52.91996489044972
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,43,21,4838150,-53.59690350349874
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,44,21.5,4937960,-52.639617544750905
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,45,22,4954020,-52.4855847574802
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,46,22.5,5188770,-50.23407810668316
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,47,23,5125760,-50.838412224113284
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,48,23.5,5405740,-48.153100905305386
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,49,24,5316810,-49.00603588488102
