stim_jnl,frame,time_s,fluor,dff
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,2,0.5,13476100,142.96716260549576
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,3,1,12754800,129.96249401537366
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,4,1.5,12567299.999999998,126.58196530242772
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,5,2,12330600,122.31438585520485
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,6,2.5,12126300.000000002,118.63096176957899
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,7,3,11610600,109.33315559749252
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,8,3.5,11261100,103.03185007656133
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,9,4,10985700,98.06652950298637
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,10,4.5,10703200,92.97319957548119
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,11,5,8870300,59.92695382636882
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,12,5.5,6518840,17.531337573868544
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,13,6,6499470,17.182106420963144
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,14,6.5,6616610,19.294080465947065
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,15,7,6445550,16.209956510552246
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,16,7.501,6415260,15.663843365404876
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,17,8.001,6443160,16.16686603789123
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,18,8.501,6401610,15.417740875102412
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,19,9.001,6352130,14.525641884614071
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,20,9.501,6328630,14.101948952591517
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,21,10.001,6067510,9.394089445794517
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,22,10.501,5936970,7.0405202821253985
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,23,11.001,6019620,8.530657338791958
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,24,11.501,6682600,20.483846278039334
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,25,12.001,6989640,26.019619803494876
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,26,12.501,6779310,22.227477914460664
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,27,13.001,6451050,16.309118686131992
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,28,13.501,6207270,11.91389047470823
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,29,14.001,5722940,3.1816692931557222
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,30,14.501,5559020,0.22627587114988496
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,31,15.001,4994730,-9.947583048467452
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,32,15.501,4413790,-20.421632917794387
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,33,16.001,4214590,-24.013106622428126
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,34,16.501,4171000.0000000005,-24.799011937613784
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,35,17.001,3827810,-30.986551398925304
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,36,17.501,3691660,-33.44126598168577
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,37,18.001,3619110,-34.74930522501498
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,38,18.501,3616090,-34.80375427415149
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,39,19.001,3360570,-39.41064865672183
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,40,19.501,3351520,-39.573815509266694
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,41,20.001,3372200,-39.200965729086846
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,42,20.501,3257740,-41.26462075033373
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,43,21.001,3336060,-39.852551370078125
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,44,21.501,3372310,-39.19898248557525
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,45,22.001,3363880,-39.3509710565093
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,46,22.501,3460230,-37.61383003521683
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,47,23.001,3685760,-33.54763995185313
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,48,23.501,3721920,-32.89569372113247
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,49,24.001,3914640,-29.42105108881814
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,50,24.501,3910610,-29.493709919288392
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,51,25.001,4079640.0000000005,-26.44618582142573
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,52,25.501,3725520,-32.830787569843906
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,53,26.001,3712580,-33.06408912475335
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,54,26.501,3941260,-28.941106159012165
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,55,27.001,3719930,-32.93157239920587
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,56,27.501,3714690,-33.02604690830366
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,57,28.001,3420740,-38.32581445587941
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,58,28.501,3544760,-36.08979754398846
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,59,29.001,3552270,-35.95439610060593
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,60,29.501,3809720,-31.312704809150326
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,61,30.001,3829920,-30.948509182475618
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,62,30.501,3603530,-35.030204624202696
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,63,31.001,4078810,-26.46115029519504
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,64,31.501,4793470,-13.576197495227424
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,65,32.001,5360930,-3.3451851035032156
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,66,32.501,5903790,6.44230192108249
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,67,33.001,6026500,8.654700205698987
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,68,33.501,6054390,9.15754258332065
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,69,34.001,5892410,6.237126365064759
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,70,34.502,5773410,4.091617475248417
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,71,35.002,6150810,10.895945668665956
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,72,35.502,6194740,11.687981009251098
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,73,36.002,5908400,6.525417853704786
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,74,36.502,5801400,4.596262801516984
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,75,37.002,5571810,0.456873003088969
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,76,37.502,5581590,0.633201380756228
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,77,38.002,5594120,0.8591108462133604
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,78,38.502,5197510,-6.291563782274531
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,79,39.002,5020640,-9.480439054054498
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,80,39.502,4701760,-15.229681699303532
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,81,40.002,5155590,-7.047359855056892
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,82,40.502,4900630,-11.644157725204575
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,83,41.002,4286070,-22.7243589296208
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,84,41.502,4029950.0000000005,-27.342071004072565
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,85,42.002,3958670,-28.627212799586093
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,86,42.502,3673990,-33.75984700759379
