stim_jnl,frame,time_s,fluor,dff
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,2,0.5,6532710,-3.9952333731010454
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,3,1,6268830,-7.873216295579787
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,4,1.5,6322310,-7.087273720567799
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,5,2,6175400,-9.2462644403698
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,6,2.5,6217390,-8.62917901170949
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,7,3,6271490,-7.834124910958772
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,8,3.5,6288460,-7.5847336338841
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,9,4,6569460,-3.455155032942285
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,10,4.5,6307820,-7.300218894687539
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,11,5,6147660,-9.653931737131813
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,12,5.5,6156030,-9.530926139658922
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,13,6,5940300,-12.701296216460264
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,14,6.501,5995150,-11.89522010876753
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,15,7.001,5929930,-12.8536938324452
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,16,7.501,5909730,-13.15055321941682
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,17,8.001,5852530,-13.9911649488612
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,18,8.501,5890110,-13.438888921019945
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,19,9.001,5798480,-14.78548424914912
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,20,9.501,5443400,-20.003743215776947
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,21,10.001,5319800,-21.820169959821108
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,22,10.501,5160120,-24.16682871782249
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,23,11.001,5190300,-23.723303158475787
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,24,11.501,5997040,-11.867444651273651
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,25,12.001,6888290,1.2303735981547934
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,26,12.501,7467150,9.737305516094933
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,27,13.001,7582020,11.42543609933403
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,28,13.501,7848370,15.339718164675142
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,29,14.001,7817970,14.892959483292111
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,30,14.501,7927880,16.508197860621348
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,31,15.001,7882350,15.839088559194725
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,32,15.501,7886430,15.89904827695929
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,33,16.001,7841060,15.232290337013632
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,34,16.501,7672410,12.75380837598574
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,35,17.001,7764090,14.101138504577717
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,36,17.501,7584600,11.463351803214564
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,37,18.001,7809020,14.761430200450729
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,38,18.501,7659800,12.56849169926732
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,39,19.001,7508690,10.347777740590033
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,40,19.501,7527360,10.62215223339994
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,41,20.001,7543550,10.860080623254914
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,42,20.501,7738240,13.721246665309582
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,43,21.001,7752950,13.937424961465647
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,44,21.501,7789640,14.476621541069045
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,45,22.001,7545490,10.888590881211595
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,46,22.501,7826280,15.015083320209646
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,47,23.001,7836170,15.16042685175169
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,48,23.501,7820100,14.924261983007437
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,49,24.001,7918930,16.376668577779963
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,50,24.501,8004670.000000001,17.63670441139119
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,51,25.001,8024260,17.924599232716623
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,52,25.501,8269950,21.535261746828347
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,53,26.001,8137100,19.582896917166
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,54,26.501,8373270,23.053653423160405
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,55,27.001,8452880,24.22360272003221
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,56,27.501,8395360,23.3782882676259
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,57,28.001,8182060,20.24362949331669
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,58,28.501,8268509.999999999,21.514099493499664
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,59,29.001,8194789.999999999,20.430709691145818
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,60,29.501,8263280,21.437239365090687
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,61,30.001,8224349.999999999,20.86512372475379
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,62,30.501,8208710,20.63527813998964
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,63,31.001,8356840,22.812197991083984
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,64,31.501,8160670,19.929281855330405
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,65,32.001,8253620,21.29527591567753
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,66,32.501,8082160,18.77549816864022
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,67,33.001,8152620.000000001,19.810978980819453
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,68,33.501,7829720,15.065637592050358
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,69,34.001,7811500,14.79787630340566
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,70,34.501,7874820,15.72842760949689
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,71,35.001,7496610,10.170249948777304
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,72,35.501,7565080,11.17648570253704
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,73,36.001,7392060,8.633782181060338
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,74,36.502,7251920,6.5742834439215985
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,75,37.002,6849370,0.658404917910468
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,76,37.502,6752790,-0.7609356560360108
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,77,38.002,6610050,-2.8586440172404046
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,78,38.502,6475710,-4.832905900694225
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,79,39.002,6366550,-6.437122271081444
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,80,39.502,6303920,-7.35753333078602
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,81,40.002,6222520,-8.553788484226105
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,82,40.502,5902640,-13.254747925042004
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,83,41.002,6001460,-11.80248829036204
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,84,41.502,5760110,-15.349370124302633
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,85,42.002,5659810,-16.823379852681512
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,86,42.502,5631340,-17.241775236200418
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,87,43.002,5529560,-18.73753505827821
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,88,43.502,5395070,-20.71400134312043
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,89,44.002,5067140,-25.533263658447297
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,90,44.502,4904450,-27.9241574043093
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,91,45.002,4939950,-27.40244907572057
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,92,45.502,4847070,-28.76741441541977
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,93,46.002,4679480,-31.230318606636274
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,94,46.502,4406630,-35.240124732141524
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,95,47.002,4478320,-34.1865678285774
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,96,47.502,4275180,-37.17191514884545
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,97,48.002,4448500,-34.62480282459194
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,98,48.502,4174380,-38.65327288185233
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,99,49.002,4122670.0000000005,-39.413203520481154
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,100,49.502,4013750,-41.01389284864694
