stim_jnl,frame,time_s,fluor,dff
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,2,0.5,38441300,53.42799496281271
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,3,1,38214700,52.52358268594971
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,4,1.5,37682600,50.399850238823504
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,5,2,37138400,48.22782393225316
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,6,2.5,36833100,47.00930200760059
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,7,3,36201900,44.490038860398826
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,8,3.5,36165300,44.34395991365043
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,9,4,35922800,43.376087110741004
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,10,4.5,35842900,43.05718798928755
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,11,5,35870600,43.16774500636215
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,12,5.5,35269300,40.7678195779521
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,13,6,34870600,39.17651695312741
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,14,6.5,34694200,38.4724643245368
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,15,7,34205600,36.522350297726305
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,16,7.5,33856800,35.13020995275803
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,17,8,33514000,33.76201697610916
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,18,8.5,33317000,32.975745049621914
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,19,9,33283000,32.84004329581193
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,20,9.5,33124800,32.208631017790196
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,21,10,32575000,30.014253834121735
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,22,10.5,32798500,30.906293304019698
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,23,11,31988900,27.67499507212085
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,24,11.5,30912000,23.37684158159236
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,25,12,28636700,14.295600392067348
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,26,12.5,26583000,6.098815339139159
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,27,13,24106000,-3.787456548723299
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,28,13.5,22087100,-11.84534686539892
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,29,14,20261300.000000004,-19.1325310449949
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,30,14.5,18675300,-25.462618737425213
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,31,15,17946400,-28.371824865428017
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,32,15.5,17145200,-31.569596781679692
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,33,16,16134200,-35.60472834350002
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,34,16.5,15664600,-37.47900903729906
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,35,17,15037200,-39.98310551789853
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,36,17.5,14522400,-42.03778971970378
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,37,18,14303200,-42.91266690897283
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,38,18.5,14160100,-43.48381164339072
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,39,19,13711400,-45.27467567087715
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,40,19.5,13864900,-44.66202216470562
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,41,20,13584000,-45.783158124859256
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,42,20.491,13104400,-47.69735109919064
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,43,20.991,12684000,-49.375263372770526
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,44,21.491,12688700,-49.356504600920324
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,45,21.991,12439900,-50.34952214056513
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,46,22.491,12071600,-51.81949143257148
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,47,22.991,11507500,-54.0709431774012
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,48,23.491,11113700,-55.642688784765035
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,49,23.991,11016300.000000002,-56.03143439715011
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,50,24.491,10817400,-56.825289656938494
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,51,24.991,10978200,-56.18350018597835
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,52,25.491,10888300,-56.54231158796416
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,53,25.991,10678200,-57.38086860194878
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,54,26.491,10582000,-57.76482474066995
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,55,26.991,10739700,-57.135408076674835
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,56,27.491,10841700,-56.72830281524489
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,57,27.991,10647800,-57.50220193476711
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,58,28.501,10334400,-58.75305280665087
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,59,28.991,10478200,-58.17911421259572
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,60,29.491,10347800,-58.69957035073753
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,61,29.991,10178300,-59.376083505760825
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,62,30.5,10298799.999999998,-58.895140525346044
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,63,31,10366800,-58.62373701772607
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,64,31.5,11025500,-55.99471509906034
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,65,32,11342100,-54.73109229740623
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,66,32.5,12003100,-52.092890554218066
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,67,33,12195400,-51.325377399581015
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,68,33.5,12601700,-49.70374144155175
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,69,34,18491000,-26.198202067636377
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,70,34.501,24931899.999999996,-0.4911012995567396
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,71,35.001,27071400,8.048131120339006
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,72,35.501,27574300,10.055319708310758
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,73,36.001,27207700,8.592135503994902
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,74,36.501,26905400,7.38558726350204
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,75,37.001,26162800,4.42170131116992
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,76,37.501,25898700,3.3676179823106245
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,77,38.001,24181600,-3.4857197078987516
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,78,38.501,22982900,-8.270004775311238
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,79,39.001,22029000,-12.07723721529186
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,80,39.501,22313900.000000004,-10.940136342925266
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,81,40.001,22917100,-8.532627581214083
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,82,40.492,22994200,-8.224903898309686
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,83,40.992,22996100,-8.217320565008539
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,84,41.492,22873700,-8.705846878724472
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,85,41.992,22691900,-9.431452138802548
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,86,42.492,22243300,-11.221917043483653
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,87,42.992,21918200,-12.519465283590266
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,88,43.492,21784200,-13.054289842723724
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,89,43.992,21484700,-14.249662644667529
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,90,44.492,21185100,-15.445434569416658
csuEx93_NH4Cl_2.5M_500ms_JNL_10off_20on_20off,91,44.992,20871900,-16.69548719568978
