stim_jnl,frame,time_s,fluor,dff
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,2,0.5,9589180,-46.73238519658343
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,3,1,9561150,-46.888091027836964
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,4,1.5,9281690,-48.440483164908414
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,5,2,9467790,-47.406703100824124
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,6,2.5,9644920,-46.422751124729274
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,7,3,9758600,-45.79126204528219
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,8,3.5,10069800,-44.062555135325006
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,9,4,10094399.999999998,-43.925902853882384
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,10,4.5,9744920,-45.86725404569419
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,11,5,9876240,-45.13777528150531
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,12,5.5,9945200,-44.75470449580272
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,13,6,9822180,-45.43807700243168
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,14,6.5,9708110,-46.071732520487004
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,15,7,9816380,-45.47029583301572
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,16,7.5,9804880,-45.53417799710475
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,17,8,10030500,-44.280865487385796
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,18,8.5,9926270,-44.85986009286406
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,19,9,9884120,-45.09400211167735
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,20,9.5,9844600,-45.31353455731202
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,21,10,9958760,-44.679379091885565
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,22,10.5,11512700,-36.047287781927764
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,23,11,17278200,-4.020103690159934
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,24,11.5,21315200,18.405313390486448
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,25,12,23276000,29.2975001162064
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,26,12.5,23910300.000000004,32.82101808852596
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,27,13,23839300,32.42661516241103
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,28,13.5,24247800,34.695820730269354
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,29,14,24049299.999999996,33.59315902838469
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,30,14.5,24068600,33.70036996463848
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,31,15.001,23843600,32.45050153680954
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,32,15.5,23731900,31.83001129952735
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,33,16,23925200.000000004,32.90378715330219
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,34,16.5,23401100,29.99242696207929
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,35,17,22749200,26.37114150384957
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,36,17.5,22855700,26.962745893021932
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,37,18,23092300,28.277051982018946
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,38,18.5,23283100,29.336940408817892
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,39,19,23159000,28.647568533735345
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,40,19.5,22987000.000000004,27.69211355779502
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,41,20,22916000,27.29771063168009
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,42,20.5,22710700,26.15727512842106
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,43,21,22845399.999999996,26.905529693881302
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,44,21.5,22428700,24.59077336554212
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,45,22,22062600,22.557098559194674
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,46,22.5,22000200,22.210468381876783
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,47,23,21825000,21.237237499407314
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,48,23.5,22081900,22.664309495448446
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,49,24,22294000,23.842518800081862
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,50,24.5,22284900,23.791968565889672
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,51,25,22000600,22.212690370192924
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,52,25.5,22039600,22.429334231016608
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,53,26,22110900,22.82540364836862
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,54,26.5,21999900,22.208801890639677
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,55,27,21888100,21.587756156278452
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,56,27.5,21865100,21.45999182810038
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,57,28,21680300,20.433433226043547
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,58,28.5,21564400,19.789612111441883
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,59,29,21342500.000000004,18.55696409306305
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,60,29.501,21206700,17.80259905973338
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,61,30,21046200,16.91102624788207
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,62,30.501,20734400,15.178986355450675
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,63,31,20022300,11.223291655641834
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,64,31.501,19537800,8.531908307716849
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,65,32.001,18842700,4.670648111343971
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,66,32.5,18249400,1.374883941428812
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,67,33,17625100,-2.0930843229872242
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,68,33.5,17129600,-4.845572349606071
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,69,34,16216200,-9.919482669512538
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,70,34.5,15682200,-12.885837071559891
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,71,35,15360900,-14.67064918649962
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,72,35.501,14646500,-18.639120319126267
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,73,36.001,14362200,-20.218398514823015
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,74,36.501,13766000,-23.530272100030192
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,75,37.001,13588200,-24.517945906554573
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,76,37.501,13203400,-26.65549866668158
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,77,38.001,13275900,-26.252763284381142
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,78,38.501,12751700,-29.16467897268306
