stim_jnl,frame,time_s,fluor,dff
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,2,0.5,4747340,4.437885989136348
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,3,1,4851360,6.726247239982077
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,4,1.506,4759870,4.713536503201882
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,5,2.006,4620270,1.6424421884733327
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,6,2.506,4625540,1.7583781987786298
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,7,3.006,4418980,-2.785785423358399
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,8,3.506,4301040,-5.380376135959295
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,9,4.006,4228140,-6.984120946444334
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,10,4.506,4248400,-6.538416284435734
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,11,5.006,4313740,-5.10098575059359
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,12,5.506,4283330,-5.769982728465331
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,13,6.006,4204250,-7.509682860333052
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,14,6.506,4174480,-8.164600322721798
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,15,7.006,4276570,-5.91869761075448
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,16,7.506,4177019.9999999995,-8.108722245648666
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,17,8.006,4339750,-4.528785441667447
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,18,8.506,4275490,-5.942456793132036
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,19,9.006,4214170,-7.291450370346611
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,20,9.506,4133930.0000000005,-9.05666962402725
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,21,10.006,4155900,-8.57334625658753
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,22,10.506,4585110,0.8689488066262281
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,23,11.006,5120020,12.636563848828583
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,24,11.507,5477350,20.49755332935833
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,25,12.007,5545920,22.00604141790372
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,26,12.507,5553200,22.166195906522805
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,27,13.007,5567120,22.47242536827797
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,28,13.507,5177690,13.905260189304194
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,29,14.007,4936610,8.601682700803057
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,30,14.507,4620030,1.6371623701672091
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,31,15.007,4558310,0.27936909577576147
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,32,15.507,4470130,-1.6605241468658112
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,33,16.007,4382100,-3.5971175030660567
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,34,16.507,4384470,-3.5449792972930863
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,35,17.007,4286120,-5.708604840656646
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,36,17.507,4409100,-3.0031379436271535
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,37,18.007,4401780,-3.1641724019639232
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,38,18.507,4325500,-4.842274653593534
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,39,19.007,4113430,-9.507654104341984
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,40,19.507,4207950,-7.4282856614469805
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,41,20.007,4243370,-6.649072476434909
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,42,20.507,4115540,-9.46123570173398
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,43,21.007,3927460,-13.598853314299495
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,44,21.506,4134660,-9.040610176679468
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,45,22.006,4235530,-6.821546541101613
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,46,22.506,4090980,-10.001537108393961
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,47,23.006,3868620,-14.89328876901746
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,48,23.506,3785030,-16.73220548655442
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,49,24.006,3911120,-13.958320943974742
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,50,24.506,3958310,-12.920176669533193
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,51,25.006,3773260,-16.991136575983894
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,52,25.506,3582150,-21.19541189466422
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,53,26.006,3662950,-19.417873064935947
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,54,26.506,3812470,-16.128546260220954
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,55,27.006,3676430,-19.121323270075337
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,56,27.506,3654880,-19.59540695547935
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,57,28.006,3548650,-21.9323865332273
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,58,28.506,3456470,-23.9602767476376
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,59,29.006,3456900,-23.950817073172463
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,60,29.506,3500980,-22.9810904442811
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,61,30.006,3612670,-20.523995000068837
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,62,30.506,3485150,-23.329338460055833
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,63,31.006,3691560,-18.788474724360132
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,64,31.506,3676160,-19.127263065669727
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,65,32.006,3608270,-20.620791669014434
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,66,32.506,3365800,-25.954948105205204
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,67,33.006,3130520,-31.130929984641693
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,68,33.506,2776320,-38.92306183476241
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,69,34.006,2657520,-41.53657189629358
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,70,34.506,2399660,-47.20929668136453
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,71,35.006,2323670,-48.88101915254091
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,72,35.506,1953970,-57.01413926826544
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,73,36.006,1822200,-59.912979510756706
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,74,36.506,1751510,-61.46810599433953
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,75,37.006,1608550,-64.6131177653538
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,76,37.506,1592530,-64.96554563728756
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,77,38.006,1516820,-66.63110832044012
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,78,38.506,1426880,-68.60972023065993
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,79,39.006,1595490,-64.90042787817869
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,80,39.506,1591450,-64.98930481966511
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,81,40.006,1656380,-63.56089397542925
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,82,40.506,1554170,-65.80943659654965
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,83,41.006,1451070,-68.07755854388856
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,84,41.508,1341830,-70.48075584289248
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,85,42.008,1293310,-71.54815911044713
csuEx93_NH4I_0.25M_500ms_JNL_10off_20on_20off,86,42.508,1193260,-73.7491833668124
