stim_jnl,frame,time_s,fluor,dff
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,2,0.5,11982600.000000002,29.57189648496775
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,3,1,11846900,28.104526602554046
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,4,1.501,11828300,27.90339852729322
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,5,2.001,11690799.999999998,26.416564637596217
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,6,2.501,11595600,25.387134919056948
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,7,3.001,11607300,25.513650966398437
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,8,3.501,11516800,24.535043933543328
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,9,4.001,11429700,23.593202247778912
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,10,4.501,11223300,21.3613294126265
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,11,5.001,11026500,19.233264616318383
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,12,5.501,11092100,19.942619548421085
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,13,6.001,11151500,20.584931788770184
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,14,6.501,10901900,17.885922778818426
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,15,7.001,10789700,16.672666324825684
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,16,7.501,10662600,15.298291143876694
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,17,8.001,10482400,13.349727748070176
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,18,8.501,10517600,13.730357223832604
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,19,9.001,10671800,15.397773847769148
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,20,9.501,10322499.999999998,11.62067510106981
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,21,10.001,10510500,13.653582528437342
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,22,10.501,10344199.999999998,11.855324522207443
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,23,11.001,10517500,13.729275890094641
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,24,11.5,11520000,24.569646613158096
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,25,12,11822700,27.84284383796738
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,26,12.5,11832100.000000002,27.944489209335778
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,27,13,11337200,22.59296854016458
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,28,13.5,10608300,14.711126924163631
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,29,14,9866990,6.6950917912816665
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,30,14.5,9344840,1.0489076785159988
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,31,15,8725340,-5.649954828155133
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,32,15.5,8210879.999999999,-11.212984376471576
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,33,16,7513200,-18.757233599480955
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,34,16.5,7289810,-21.172825036713018
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,35,17,6601660,-28.61402315449468
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,36,17.5,6241620,-32.50725714465106
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,37,18,5917820,-36.008615788170204
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,38,18.5,5611200,-39.32420129550758
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,39,19,5253070,-43.196781811268885
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,40,19.5,5096630,-44.888420310935764
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,41,20,4898840,-47.027190311249704
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,42,20.5,4766860,-48.45433457861121
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,43,21.001,4284550,-53.66971533017304
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,44,21.5,4524900,-51.070729690982716
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,45,22.001,4803970,-48.05305162845372
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,46,22.501,5133050,-44.49459856357021
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,47,23.001,5445290,-41.11824210015941
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,48,23.501,5944360,-35.72162981411523
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,49,24.001,6196350,-32.9967769278262
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,50,24.501,6269260,-32.20837649947851
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,51,25.001,6283480,-32.054610841940395
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,52,25.501,6106330,-33.97019355873909
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,53,26.001,5982170,-35.312777527792015
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,54,26.501,5763140,-37.681222814048965
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,55,27.001,5293530,-42.75927418088969
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,56,27.501,5184330,-43.94009062274358
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,57,28.001,4870450,-47.33418095945696
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,58,28.501,4517000,-51.15615505628167
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,59,29.001,4339470,-53.07584684128462
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,60,29.501,4032000,-56.40062368539467
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,61,30.001,4055320,-56.14845665770206
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,62,30.501,3971750,-57.052127262516436
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,63,31.001,4026360.0000000005,-56.46161090821569
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,64,31.501,3840800,-58.46813379237694
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,65,32.001,3519670,-61.940620825092516
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,66,32.501,3396200,-63.27574359135352
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,67,33.001,3129760,-66.15684920277798
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,68,33.501,3082850,-66.66410285925569
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,69,34.001,3004820,-67.507867574987
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,70,34.501,3001540,-67.54333532159214
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,71,35.001,2812770,-69.584569018741945
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,72,35.501,2627320,-71.58990243579144
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,73,36.001,2581400,-72.08645088826334
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,74,36.501,2408010,-73.96137545651469
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,75,37.001,2407830,-73.96332185724302
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,76,37.502,2349690,-74.5920092924938
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,77,38.001,2254900,-75.61700554270745
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,79,39.001,2084779.9999999998,-77.45657049772745
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,80,39.502,1973330,-78.66171694868548
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,81,40.001,2164200,-76.59777524303848
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,82,40.501,2117360,-77.10427196589961
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,83,41.001,2096260,-77.33243338460947
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,84,41.501,1991670,-78.46340034114336
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,85,42.001,1920950,-79.22811956062968
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,86,42.501,1927850,-79.15350753271035
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,87,43.001,1800860,-80.52669324654758
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,88,43.501,1933910,-79.08797870818988
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,89,44.001,1863470,-79.84967019320992
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,90,44.501,1796320,-80.57578579825103
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,91,45.002,1630430,-82.36961033615526
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,92,45.501,1613730,-82.55019307039483
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,93,46.001,1679560,-81.8383510706948
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,94,46.502,1544870,-83.29479948235507
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,95,47.001,1574560,-82.97375149555432
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,96,47.501,1548440,-83.25619586790985
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,97,48.001,1423050,-84.61208024193971
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,98,48.501,1481580,-83.97917560511087
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,99,49.002,1583730,-82.87459319178325
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,100,49.501,1591410,-82.79154676070782
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,101,50.002,1502070,-83.75761032220257
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,102,50.501,1413170,-84.71891601525029
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,103,51.001,1478130,-84.01648161907053
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,104,51.503,1559850,-83.13281568840844
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,105,52.003,1606730,-82.62588643205213
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,106,52.503,1738100,-81.20533830049219
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,107,53.003,1749400,-81.08314758810253
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,108,53.503,1733560,-81.25443085219563
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,109,54.003,1609130,-82.59993442234105
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,110,54.503,1615220,-82.53408119769921
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,111,55.003,1617200,-82.51267078968756
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,112,55.503,1564690,-83.08047913549112
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,113,56.003,1528930,-83.46716408018612
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,114,56.503,1461580,-84.19544235270315
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,115,57.003,1423390,-84.60840370723062
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,116,57.503,1376950,-85.11057509513992
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,117,58.003,1316980,-85.7590509377954
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,118,58.503,1338460,-85.52678045088129
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,119,59.003,1300660,-85.93552460383071
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,120,59.503,1376420,-85.11630616395112
