stim_jnl,frame,time_s,fluor,dff
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,2,0.5,3315160,-11.034627774087594
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,3,1,3434820,-7.823441454105246
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,4,1.5,3472800,-6.804213170360223
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,5,2,3394970,-8.892852910325342
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,6,2.5,3170800,-14.908661345478633
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,7,3,3376390,-9.391464324542891
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,8,3.5,3206860,-13.940958030264161
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,9,4,3412660,-8.418125465895391
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,10,4.5,4269050,14.563889013209424
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,11,5,4309480,15.648865303673126
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,12,5.5,4611330,23.749288090625083
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,13,6,4796570,28.72037411697917
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,14,6.5,5031210,35.01715464615064
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,15,7,4678030,25.539244028639647
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,16,7.5,4467430,19.887599042944494
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,17,8,4306770,15.576139957465937
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,18,8.5,4391370,17.846458883343477
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,19,9,4452580,19.48908561446599
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,20,9.5,4247120,13.975377263274503
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,21,10,4067550,9.156450909612209
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,22,10.5,3847250,3.2444974891533156
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,23,11,3846050,3.2122943838217193
