stim_jnl,frame,time_s,fluor,dff
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,2,0.5,12570700,51.31685550741988
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,3,1,11993799.999999998,44.37255694471209
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,4,1.5,11724100,41.12610639459548
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,5,2,11409100,37.33436770980965
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,6,2.5,11184600,34.63200156779562
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,7,3,11318600,36.24499516703784
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,8,3.5,11050400,33.016600515420194
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,9,4,11200900,34.8282089981512
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,10,4.5,11055100,33.07317566405033
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,11,5,10653999.999999998,28.24502840542301
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,12,5.5,10551700,27.013616127792588
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,13,6,10597600,27.566126621861383
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,14,6.504,10329000,24.332917063977337
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,15,7.004,10011900,20.515900121292933
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,16,7.504,9973540,20.05415061034568
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,17,8.004,9874850,18.866192861769445
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,18,8.504,9526670,14.675057702186173
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,19,9.004,9229070,11.09276743998851
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,20,9.504,9181540,10.520636202884157
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,21,10.004,8973420,8.015440472478993
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,22,10.504,8638300,3.9815120024935062
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,23,11.004,8617330,3.7290905414777633
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,24,11.504,8903830,7.1777671547829724
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,25,12.004,9013770,8.501144142101557
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,26,12.504,8991070,8.227898211483659
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,27,13.004,8870820,6.78041701514875
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,28,13.504,8465770,1.9047225571408088
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,29,14.004,8237980,-0.8372461889143171
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,30,14.504,7839660,-5.6319298489901675
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,31,15.004,7155420,-13.868308508284954
csuEx93_NaAc_2.5M_500ms_JNL_10off_20on_20off,32,15.504,7090900,-14.64495288905442
