stim_jnl,frame,time_s,fluor,dff
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,2,0.5,3455990,51.309414355058976
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,3,1,3366730,47.40145214297718
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,4,1.5,3424330,49.923283012525815
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,5,2,3315250,45.14756580331809
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,6,2.5,3276540,43.4527728699808
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,7,3,3329420,45.76795370994142
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,8,3.5,3328750,45.738619913368545
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,9,4,3213910,40.710719617205946
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,10,4.5,3054880,33.74810220081151
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,11,5,3032120,32.75162875305236
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,12,5.5,2916650,27.696145931754074
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,13,6,2946980,29.024047499000776
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,14,6.5,2837780,24.243076475481484
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,15,7,2861820,25.295590609230604
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,16,7.5,2873240,25.795578604547366
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,17,8,2678010,17.24806053749909
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,18,8.501,2602090,13.924147349719012
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,19,9.001,2592720,13.513912015558063
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,20,9.501,2398610,5.015429548751012
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,21,10.001,2314270,1.3228737234431625
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,22,10.501,2229770,-2.3766871876134332
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,23,11.001,2275810,-0.3609737634117093
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,24,11.501,2381880,4.282960270147735
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,25,12.001,2435030,6.60996219230937
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,26,12.501,2357890,3.2326352256950996
