stim_jnl,frame,time_s,fluor,dff
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,2,0.5,6101730,55.66092492004169
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,3,1,5709130,45.645326208920686
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,4,1.5,5401160,37.78871914049497
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,5,2,5207110,32.838319420950825
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,6,2.5,5123000,30.692593471912648
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,7,3,5053930,28.930552200957155
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,8,3.5,4910840,25.280190459810175
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,9,3.998,4813620,22.800015964916685
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,10,4.498,4652390,18.686885602731152
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,11,4.998,4790410,22.20790683072127
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,12,5.498,4654800,18.74836699064201
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,13,5.998,4556040,16.228905633763986
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,14,6.498,4544950,15.945989205576694
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,15,6.998,4416700,12.674209952644272
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,16,7.498,4484210,14.396454142628427
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,17,7.998,4506530,14.9658585319107
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,18,8.498,4363770,11.323915404046119
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,19,8.998,4362740,11.297639126225297
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,20,9.498,4356930,11.14942051055639
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,21,9.998,4284300,9.296560259948345
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,22,10.498,4064820,3.6974170986726485
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,23,10.998,3943710,0.6077860240321368
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,24,11.498,4020159.9999999995,2.5580981011212764
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,25,11.998,4057400.0000000005,3.5081258545653813
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,26,12.498,3946740,0.685084200534166
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,27,12.998,3911310,-0.21876873460342242
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,28,13.498,3613270,-7.822052076076943
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,29,13.998,3720140,-5.0956969200466284
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,30,14.498,3639910,-7.142440385643262
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,31,14.998,3525000,-10.07390357437203
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,32,15.498,3544580,-9.57439918628301
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,33,15.998,3665270,-6.495482710365552
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,34,16.498,3384500,-13.658191956726847
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,35,16.998,3341480,-14.755672997359618
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,36,17.498,3262530,-16.769762447800275
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,37,17.998,3421750,-12.707909093789361
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,38,18.498,3393470,-13.42935874114163
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,39,18.998,3433320,-12.412747409918575
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,40,19.498,3216530,-17.943266117468045
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,41,19.998,3089180,-21.192085515993924
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,42,20.498,3343720,-14.698528470836663
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,43,20.998,3399640,-13.271956183710106
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,44,21.498,3327410,-15.114612054581912
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,45,21.998,3266770,-16.661596022596118
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,46,22.498,3176280,-18.970081828427347
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,47,22.998,3088650,-21.205606319144447
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,48,23.498,3001250,-23.435263291513206
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,49,23.998,3172580,-19.064472340987578
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,50,24.498,3018170,-23.003618028670193
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,51,24.998,2889250,-26.29248961766082
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,52,25.498,2907420,-25.82895566814205
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,53,25.998,2827110,-27.87774000968593
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,54,26.498,2819530,-28.07111300568771
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,55,26.998,2795750,-28.677763381007264
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,56,27.498,2690840,-31.354117076329995
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,57,27.998,2601760,-33.62663244359097
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,58,28.498,2463710,-37.14841900006131
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,59,28.998,2453470,-37.40965112130909
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,60,29.498,2560250,-34.68559195071943
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,61,29.998,2536980,-35.27923174187528
csuEx93_greenlightbasal500ms_JNL_10off_20on_20off,62,30.498,2586680,-34.011337559647274
