stim_jnl,frame,time_s,fluor,dff
csuEx93_greenlightbasal_JNL_10off_20on_20off,2,0.1,4223850,9.041858407602893
csuEx93_greenlightbasal_JNL_10off_20on_20off,3,0.2,4098490,5.805595905388777
csuEx93_greenlightbasal_JNL_10off_20on_20off,4,0.301,4153590.0000000005,7.2280437665247
csuEx93_greenlightbasal_JNL_10off_20on_20off,5,0.401,4130800,6.639702809078456
csuEx93_greenlightbasal_JNL_10off_20on_20off,6,0.501,4128430,6.578519480024152
csuEx93_greenlightbasal_JNL_10off_20on_20off,7,0.601,4075610,5.214931530383519
csuEx93_greenlightbasal_JNL_10off_20on_20off,8,0.701,4108770,6.070981822130649
csuEx93_greenlightbasal_JNL_10off_20on_20off,9,0.801,4097130,5.770486484496855
csuEx93_greenlightbasal_JNL_10off_20on_20off,10,0.901,4080510.0000000005,5.34142870859707
csuEx93_greenlightbasal_JNL_10off_20on_20off,11,1.001,4098190,5.797851180192029
csuEx93_greenlightbasal_JNL_10off_20on_20off,12,1.101,4044840,4.42058088270381
csuEx93_greenlightbasal_JNL_10off_20on_20off,13,1.201,4070630.0000000005,5.086369092117527
csuEx93_greenlightbasal_JNL_10off_20on_20off,14,1.301,4036730.0000000005,4.211215144885088
csuEx93_greenlightbasal_JNL_10off_20on_20off,15,1.401,3986920,2.9253326047184744
csuEx93_greenlightbasal_JNL_10off_20on_20off,16,1.501,3965200,2.364614500473974
csuEx93_greenlightbasal_JNL_10off_20on_20off,17,1.601,3983370,2.8336866898902984
csuEx93_greenlightbasal_JNL_10off_20on_20off,18,1.701,3944030,1.8180950590901759
csuEx93_greenlightbasal_JNL_10off_20on_20off,19,1.801,3940970,1.739098862083354
csuEx93_greenlightbasal_JNL_10off_20on_20off,20,1.901,3903930,0.7828834577916272
csuEx93_greenlightbasal_JNL_10off_20on_20off,21,2.001,3900340,0.6902049129372183
csuEx93_greenlightbasal_JNL_10off_20on_20off,22,2.101,3904910,0.8081828934343348
csuEx93_greenlightbasal_JNL_10off_20on_20off,23,2.201,3890260,0.42998214632651083
csuEx93_greenlightbasal_JNL_10off_20on_20off,24,2.301,3930440,1.4672590076775258
csuEx93_greenlightbasal_JNL_10off_20on_20off,25,2.401,3890410,0.4338545089248845
csuEx93_greenlightbasal_JNL_10off_20on_20off,26,2.501,3898490,0.6424457742239437
csuEx93_greenlightbasal_JNL_10off_20on_20off,27,2.601,3822720,-1.3136136529678533
csuEx93_greenlightbasal_JNL_10off_20on_20off,28,2.701,3874560,0.02467486103007143
csuEx93_greenlightbasal_JNL_10off_20on_20off,29,2.801,3838140,-0.9155347778550446
csuEx93_greenlightbasal_JNL_10off_20on_20off,30,2.901,3818430,-1.424363223281339
csuEx93_greenlightbasal_JNL_10off_20on_20off,31,3.001,3833430,-1.0371269634439764
csuEx93_greenlightbasal_JNL_10off_20on_20off,32,3.101,3825320,-1.2464927012627103
csuEx93_greenlightbasal_JNL_10off_20on_20off,33,3.201,3777200,-2.488746622820969
csuEx93_greenlightbasal_JNL_10off_20on_20off,34,3.301,3730210,-3.7018287461381463
csuEx93_greenlightbasal_JNL_10off_20on_20off,35,3.401,3790120,-2.155207124347721
csuEx93_greenlightbasal_JNL_10off_20on_20off,36,3.501,3740010,-3.4488343897110694
csuEx93_greenlightbasal_JNL_10off_20on_20off,37,3.601,3760670,-2.9154809811617426
csuEx93_greenlightbasal_JNL_10off_20on_20off,38,3.701,3762260,-2.8744339376189822
csuEx93_greenlightbasal_JNL_10off_20on_20off,39,3.801,3713770,-4.126239686919895
csuEx93_greenlightbasal_JNL_10off_20on_20off,40,3.901,3691910,-4.690571996256212
csuEx93_greenlightbasal_JNL_10off_20on_20off,41,4.001,3713320,-4.137856774715017
csuEx93_greenlightbasal_JNL_10off_20on_20off,42,4.101,3738290,-3.493237480839087
csuEx93_greenlightbasal_JNL_10off_20on_20off,43,4.201,3726990,-3.7849554632499007
csuEx93_greenlightbasal_JNL_10off_20on_20off,44,4.301,3689060,-4.764146885625311
csuEx93_greenlightbasal_JNL_10off_20on_20off,45,4.401,3736180,-3.547708714722876
csuEx93_greenlightbasal_JNL_10off_20on_20off,46,4.501,3712140,-4.168319360488889
csuEx93_greenlightbasal_JNL_10off_20on_20off,47,4.601,3716930,-4.044661914847492
csuEx93_greenlightbasal_JNL_10off_20on_20off,48,4.701,3711220,-4.192069851092247
csuEx93_greenlightbasal_JNL_10off_20on_20off,49,4.801,3698300,-4.525609349565496
csuEx93_greenlightbasal_JNL_10off_20on_20off,50,4.901,3740560,-3.4346357268503667
csuEx93_greenlightbasal_JNL_10off_20on_20off,51,5.001,3637770,-6.088236736762533
csuEx93_greenlightbasal_JNL_10off_20on_20off,52,5.101,3621640,-6.504644794840976
csuEx93_greenlightbasal_JNL_10off_20on_20off,53,5.201,3670180,-5.251548258007271
csuEx93_greenlightbasal_JNL_10off_20on_20off,54,5.301,3656910,-5.5941232692100575
csuEx93_greenlightbasal_JNL_10off_20on_20off,55,5.401,3630450,-6.277208031563165
csuEx93_greenlightbasal_JNL_10off_20on_20off,56,5.501,3642860,-5.956834565924387
csuEx93_greenlightbasal_JNL_10off_20on_20off,57,5.601,3648380,-5.814331622304238
csuEx93_greenlightbasal_JNL_10off_20on_20off,58,5.701,3614850,-6.679933741794023
csuEx93_greenlightbasal_JNL_10off_20on_20off,59,5.801,3579680,-7.5878736923593575
csuEx93_greenlightbasal_JNL_10off_20on_20off,60,5.901,3571390,-7.80188626529614
csuEx93_greenlightbasal_JNL_10off_20on_20off,61,6.001,3572940,-7.761871851779613
