stim_jnl,frame,time_s,fluor,dff
csuEx93_greenlightbasal_JNL_10off_20on_20off,2,0.1,2047159.9999999998,6.982472678673411
csuEx93_greenlightbasal_JNL_10off_20on_20off,3,0.2,2035289.9999999998,6.362158706782668
csuEx93_greenlightbasal_JNL_10off_20on_20off,4,0.3,2051219.9999999998,7.194644096186168
csuEx93_greenlightbasal_JNL_10off_20on_20off,5,0.4,1966800,2.7829418630761094
csuEx93_greenlightbasal_JNL_10off_20on_20off,6,0.5,2002260.0000000002,4.636044933273741
csuEx93_greenlightbasal_JNL_10off_20on_20off,7,0.6,2015820.0000000002,5.344676564178416
csuEx93_greenlightbasal_JNL_10off_20on_20off,8,0.7,1986280,3.8009465953786936
csuEx93_greenlightbasal_JNL_10off_20on_20off,9,0.8,2003330,4.691962030992609
csuEx93_greenlightbasal_JNL_10off_20on_20off,10,0.9,1951320,1.9739730100964377
csuEx93_greenlightbasal_JNL_10off_20on_20off,11,1,1934260,1.0824349847842156
csuEx93_greenlightbasal_JNL_10off_20on_20off,12,1.1,1946760,1.7356721076683175
csuEx93_greenlightbasal_JNL_10off_20on_20off,13,1.2,1977960,3.3661519663870356
csuEx93_greenlightbasal_JNL_10off_20on_20off,14,1.3,1933210,1.027563066461951
csuEx93_greenlightbasal_JNL_10off_20on_20off,15,1.4,1978680,3.4037784246651595
csuEx93_greenlightbasal_JNL_10off_20on_20off,16,1.5,1949920,1.9008104523334184
csuEx93_greenlightbasal_JNL_10off_20on_20off,17,1.6,1963070,2.5880159056074934
csuEx93_greenlightbasal_JNL_10off_20on_20off,18,1.7,1952900,2.0565421824289882
csuEx93_greenlightbasal_JNL_10off_20on_20off,19,1.8,1950620,1.937391731214928
csuEx93_greenlightbasal_JNL_10off_20on_20off,20,1.9,1975680,3.247001515172975
csuEx93_greenlightbasal_JNL_10off_20on_20off,21,2,1923300,0.5096766754394353
csuEx93_greenlightbasal_JNL_10off_20on_20off,22,2.1,1930670,0.8948252830919016
csuEx93_greenlightbasal_JNL_10off_20on_20off,23,2.2,1938220,1.2893805053138991
csuEx93_greenlightbasal_JNL_10off_20on_20off,24,2.3,1949470,1.8772939159095905
csuEx93_greenlightbasal_JNL_10off_20on_20off,25,2.4,1911340,-0.11534060373607335
csuEx93_greenlightbasal_JNL_10off_20on_20off,26,2.5,1906200,-0.38395170866601597
csuEx93_greenlightbasal_JNL_10off_20on_20off,27,2.6,1890080,-1.2263663023373537
csuEx93_greenlightbasal_JNL_10off_20on_20off,28,2.7,1893660,-1.039279190343347
csuEx93_greenlightbasal_JNL_10off_20on_20off,29,2.8,1930600,0.8911671552037507
csuEx93_greenlightbasal_JNL_10off_20on_20off,30,2.9,1897760,-0.8250174140373614
csuEx93_greenlightbasal_JNL_10off_20on_20off,31,3,1870800,-2.233919240673792
csuEx93_greenlightbasal_JNL_10off_20on_20off,32,3.1,1856670,-2.972338484381981
csuEx93_greenlightbasal_JNL_10off_20on_20off,33,3.2,1859880,-2.8045871912253437
csuEx93_greenlightbasal_JNL_10off_20on_20off,34,3.3,1865270,-2.522911343837719
csuEx93_greenlightbasal_JNL_10off_20on_20off,35,3.4,1868010,-2.3797217665015236
csuEx93_greenlightbasal_JNL_10off_20on_20off,36,3.5,1871580,-2.1931572442058243
csuEx93_greenlightbasal_JNL_10off_20on_20off,37,3.6,1909850,-0.19320646878385825
csuEx93_greenlightbasal_JNL_10off_20on_20off,38,3.703,1892580,-1.0957188777605331
csuEx93_greenlightbasal_JNL_10off_20on_20off,39,3.803,1854940,-3.0627465021891407
csuEx93_greenlightbasal_JNL_10off_20on_20off,40,3.903,1859780,-2.8098130882084162
csuEx93_greenlightbasal_JNL_10off_20on_20off,41,4.003,1876240,-1.949630444794631
csuEx93_greenlightbasal_JNL_10off_20on_20off,42,4.103,1857270,-2.940983102483544
csuEx93_greenlightbasal_JNL_10off_20on_20off,43,4.203,1839950,-3.8461084599517554
csuEx93_greenlightbasal_JNL_10off_20on_20off,44,4.303,1817750,-5.00625759019392
csuEx93_greenlightbasal_JNL_10off_20on_20off,45,4.403,1788020,-6.5599167632614686
