stim_jnl,frame,time_s,fluor,dff
rlh267_NaAc_2.5M_JNL_10off_20on_20off,2,0.1,57015000,0.0072255590373101475
rlh267_NaAc_2.5M_JNL_10off_20on_20off,3,0.2,56623500,-0.679485460981336
rlh267_NaAc_2.5M_JNL_10off_20on_20off,4,0.3,56201100.00000001,-1.420396661124046
rlh267_NaAc_2.5M_JNL_10off_20on_20off,5,0.4,56167800,-1.4788065639762198
rlh267_NaAc_2.5M_JNL_10off_20on_20off,6,0.5,56155099.99999999,-1.501083013412342
rlh267_NaAc_2.5M_JNL_10off_20on_20off,7,0.6,55735300,-2.237433680599628
rlh267_NaAc_2.5M_JNL_10off_20on_20off,8,0.7,56123500,-1.5565110293320972
rlh267_NaAc_2.5M_JNL_10off_20on_20off,9,0.8,56355300,-1.1499219758446844
rlh267_NaAc_2.5M_JNL_10off_20on_20off,10,0.9,56133499.99999999,-1.538970517965095
rlh267_NaAc_2.5M_JNL_10off_20on_20off,11,1,55961400,-1.840842718591414
rlh267_NaAc_2.5M_JNL_10off_20on_20off,12,1.1,55967100,-1.8308446271122154
rlh267_NaAc_2.5M_JNL_10off_20on_20off,13,1.2,55680400,-2.3337310880045417
rlh267_NaAc_2.5M_JNL_10off_20on_20off,14,1.3,55905800,-1.9383679617920189
rlh267_NaAc_2.5M_JNL_10off_20on_20off,15,1.4,55995400,-1.781204979943562
rlh267_NaAc_2.5M_JNL_10off_20on_20off,16,1.5,56336000.00000001,-1.1837751627830106
rlh267_NaAc_2.5M_JNL_10off_20on_20off,17,1.6,56414500,-1.0460821485519542
rlh267_NaAc_2.5M_JNL_10off_20on_20off,18,1.7,56637300,-0.6552795552948549
rlh267_NaAc_2.5M_JNL_10off_20on_20off,19,1.8,56479500,-0.9320688246663551
rlh267_NaAc_2.5M_JNL_10off_20on_20off,20,1.9,56577500,-0.760171813269606
rlh267_NaAc_2.5M_JNL_10off_20on_20off,21,2,56857200,-0.26956371033419013
rlh267_NaAc_2.5M_JNL_10off_20on_20off,22,2.1,56806100,-0.3591957234196379
rlh267_NaAc_2.5M_JNL_10off_20on_20off,23,2.2,56845600,-0.28991070351992776
rlh267_NaAc_2.5M_JNL_10off_20on_20off,24,2.3,57143800,0.23314734544446625
rlh267_NaAc_2.5M_JNL_10off_20on_20off,25,2.4,56395600,-1.0792337150356128
rlh267_NaAc_2.5M_JNL_10off_20on_20off,26,2.5,56792700,-0.38270000865143833
rlh267_NaAc_2.5M_JNL_10off_20on_20off,27,2.6,56862700.00000001,-0.2599164290823187
rlh267_NaAc_2.5M_JNL_10off_20on_20off,28,2.7,57352000,0.5983407921057232
rlh267_NaAc_2.5M_JNL_10off_20on_20off,29,2.8,57012700,0.0031912414228966444
rlh267_NaAc_2.5M_JNL_10off_20on_20off,30,2.9,57230299.99999999,0.3848727687691349
rlh267_NaAc_2.5M_JNL_10off_20on_20off,31,3,57641300,1.1057877859534737
rlh267_NaAc_2.5M_JNL_10off_20on_20off,32,3.1,57705399.99999999,1.2182224638160284
rlh267_NaAc_2.5M_JNL_10off_20on_20off,33,3.2,57964800,1.6732233286764164
rlh267_NaAc_2.5M_JNL_10off_20on_20off,34,3.3,57528200,0.9074046023925315
rlh267_NaAc_2.5M_JNL_10off_20on_20off,35,3.4,57198100,0.3283923221673589
rlh267_NaAc_2.5M_JNL_10off_20on_20off,36,3.51,58424900,2.4802622566727868
rlh267_NaAc_2.5M_JNL_10off_20on_20off,37,3.61,57846700,1.4660698894319666
rlh267_NaAc_2.5M_JNL_10off_20on_20off,38,3.7,57700400,1.2094522081325336
rlh267_NaAc_2.5M_JNL_10off_20on_20off,39,3.8,57764600,1.3220622911087716
rlh267_NaAc_2.5M_JNL_10off_20on_20off,40,3.9,58292400.00000001,2.247850481059848
rlh267_NaAc_2.5M_JNL_10off_20on_20off,41,4.01,58016900,1.7646093928985658
rlh267_NaAc_2.5M_JNL_10off_20on_20off,42,4.1,58348300,2.3459019396014504
rlh267_NaAc_2.5M_JNL_10off_20on_20off,43,4.2,58212200,2.107175579896373
rlh267_NaAc_2.5M_JNL_10off_20on_20off,44,4.3,58225000,2.1296274344461525
rlh267_NaAc_2.5M_JNL_10off_20on_20off,45,4.4,57930800,1.6135855900285645
rlh267_NaAc_2.5M_JNL_10off_20on_20off,46,4.5,58298000,2.2576731674253634
rlh267_NaAc_2.5M_JNL_10off_20on_20off,47,4.6,58430400,2.489909537924645
rlh267_NaAc_2.5M_JNL_10off_20on_20off,48,4.7,58629600,2.8393165243555885
rlh267_NaAc_2.5M_JNL_10off_20on_20off,49,4.8,57959100,1.6632252371972176
rlh267_NaAc_2.5M_JNL_10off_20on_20off,50,4.9,58129200,1.9615893355501468
rlh267_NaAc_2.5M_JNL_10off_20on_20off,51,5,58326900.00000001,2.3083652452760504
