stim_jnl,frame,time_s,fluor,dff
rlh267_NaAc_2.5M_JNL_10off_20on_20off,2,0.1,169106000,1.9225605781077595
rlh267_NaAc_2.5M_JNL_10off_20on_20off,3,0.2,167932000,1.2149742942461665
rlh267_NaAc_2.5M_JNL_10off_20on_20off,4,0.3,167834000,1.1559083182509058
rlh267_NaAc_2.5M_JNL_10off_20on_20off,5,0.4,166567000,0.3922696285978921
rlh267_NaAc_2.5M_JNL_10off_20on_20off,6,0.5,166356000,0.2650969659958512
rlh267_NaAc_2.5M_JNL_10off_20on_20off,7,0.6,165882000,-0.020589489328164998
rlh267_NaAc_2.5M_JNL_10off_20on_20off,8,0.7,166126000,0.12647273661921885
rlh267_NaAc_2.5M_JNL_10off_20on_20off,9,0.8,165456000,-0.27734567069531874
rlh267_NaAc_2.5M_JNL_10off_20on_20off,10,0.9,165848000,-0.041081766714275866
rlh267_NaAc_2.5M_JNL_10off_20on_20off,11,1.01,166013000,0.05836605001243863
rlh267_NaAc_2.5M_JNL_10off_20on_20off,12,1.1,165539000,-0.22732040531157752
rlh267_NaAc_2.5M_JNL_10off_20on_20off,13,1.2,166095000,0.10778860135541189
rlh267_NaAc_2.5M_JNL_10off_20on_20off,14,1.3,165843000,-0.04409533691811569
rlh267_NaAc_2.5M_JNL_10off_20on_20off,15,1.41,165476000,-0.2652913898799594
rlh267_NaAc_2.5M_JNL_10off_20on_20off,16,1.5,164782000,-0.6835749341729283
rlh267_NaAc_2.5M_JNL_10off_20on_20off,17,1.6,165594000,-0.19417113306933936
rlh267_NaAc_2.5M_JNL_10off_20on_20off,18,1.7,166083000,0.10055603286619628
rlh267_NaAc_2.5M_JNL_10off_20on_20off,19,1.8,165343000,-0.345452357302099
rlh267_NaAc_2.5M_JNL_10off_20on_20off,20,1.9,165990000,0.04450362707477539
rlh267_NaAc_2.5M_JNL_10off_20on_20off,21,2,166026000,0.06620133254242219
rlh267_NaAc_2.5M_JNL_10off_20on_20off,22,2.1,165697000,-0.1320915868702388
rlh267_NaAc_2.5M_JNL_10off_20on_20off,23,2.2,165970000,0.03244934625941606
rlh267_NaAc_2.5M_JNL_10off_20on_20off,24,2.3,166100000,0.11080217155925172
rlh267_NaAc_2.5M_JNL_10off_20on_20off,25,2.4,166064000,0.08910446609160493
rlh267_NaAc_2.5M_JNL_10off_20on_20off,26,2.5,166062000,0.08789903801006899
rlh267_NaAc_2.5M_JNL_10off_20on_20off,27,2.6,166023000,0.06439319042011829
rlh267_NaAc_2.5M_JNL_10off_20on_20off,28,2.7,165779000,-0.08266903552726557
rlh267_NaAc_2.5M_JNL_10off_20on_20off,29,2.8,166743000,0.49834729977305425
rlh267_NaAc_2.5M_JNL_10off_20on_20off,30,2.9,165557000,-0.21647155257775416
rlh267_NaAc_2.5M_JNL_10off_20on_20off,31,3,165981000,0.03907920070786369
rlh267_NaAc_2.5M_JNL_10off_20on_20off,32,3.1,166091000,0.10537774519234003
rlh267_NaAc_2.5M_JNL_10off_20on_20off,33,3.2,165519000,-0.23937468612693688
rlh267_NaAc_2.5M_JNL_10off_20on_20off,34,3.3,166292000,0.2265232673867013
