stim_jnl,frame,time_s,fluor,dff
rlh267_bluelightbasal_JNL_10off_20on_20off,2,0.1,167707000,1.9941258763758056
rlh267_bluelightbasal_JNL_10off_20on_20off,3,0.2,166991000,1.5586771823589483
rlh267_bluelightbasal_JNL_10off_20on_20off,4,0.3,166129000,1.0344358775509443
rlh267_bluelightbasal_JNL_10off_20on_20off,5,0.4,165704000,0.775964236549318
rlh267_bluelightbasal_JNL_10off_20on_20off,6,0.5,165004000,0.35024623960546325
rlh267_bluelightbasal_JNL_10off_20on_20off,7,0.6,165078000,0.39525071356809927
rlh267_bluelightbasal_JNL_10off_20on_20off,8,0.7,165253000,0.501680212804063
rlh267_bluelightbasal_JNL_10off_20on_20off,9,0.8,164589000,0.09785628427446355
rlh267_bluelightbasal_JNL_10off_20on_20off,10,0.9,164299000,-0.07851260017370489
rlh267_bluelightbasal_JNL_10off_20on_20off,11,1,164609000,0.11001965561571656
rlh267_bluelightbasal_JNL_10off_20on_20off,12,1.1,164233000,-0.11865172559983976
rlh267_bluelightbasal_JNL_10off_20on_20off,13,1.2,164396000,-0.01952024916862785
rlh267_bluelightbasal_JNL_10off_20on_20off,14,1.3,164800000,0.22617985192468268
rlh267_bluelightbasal_JNL_10off_20on_20off,15,1.4,164465000,0.022443381958694983
rlh267_bluelightbasal_JNL_10off_20on_20off,16,1.5,164467000,0.023659719092820282
rlh267_bluelightbasal_JNL_10off_20on_20off,17,1.6,164348000,-0.04871234038763504
rlh267_bluelightbasal_JNL_10off_20on_20off,18,1.699,164714000,0.17387735515729477
rlh267_bluelightbasal_JNL_10off_20on_20off,19,1.799,164753000,0.1975959292727381
rlh267_bluelightbasal_JNL_10off_20on_20off,20,1.899,164321000,-0.06513289169832659
rlh267_bluelightbasal_JNL_10off_20on_20off,21,1.999,164599000,0.10393796994509007
rlh267_bluelightbasal_JNL_10off_20on_20off,22,2.099,164456000,0.016969864855131134
rlh267_bluelightbasal_JNL_10off_20on_20off,23,2.199,164746000,0.19333874930329956
rlh267_bluelightbasal_JNL_10off_20on_20off,24,2.299,164032000,-0.24089360757943235
rlh267_bluelightbasal_JNL_10off_20on_20off,25,2.399,164568000,0.08508474436614791
rlh267_bluelightbasal_JNL_10off_20on_20off,26,2.499,164535000,0.06501518165308046
rlh267_bluelightbasal_JNL_10off_20on_20off,27,2.599,164502000,0.044945618940013025
rlh267_bluelightbasal_JNL_10off_20on_20off,28,2.709,164807000,0.2304370318941212
rlh267_bluelightbasal_JNL_10off_20on_20off,29,2.799,164659000,0.14042808396884904
rlh267_bluelightbasal_JNL_10off_20on_20off,30,2.899,164660000,0.1410362525359117
rlh267_bluelightbasal_JNL_10off_20on_20off,31,2.999,164736000,0.18725706363267308
