stim_jnl,frame,time_s,fluor,dff
rlh267_bluelightbasal_JNL_10off_20on_20off,2,0.1,30536800,2.859514692651715
rlh267_bluelightbasal_JNL_10off_20on_20off,3,0.2,30383100,2.3417948461628697
rlh267_bluelightbasal_JNL_10off_20on_20off,4,0.3,30204300,1.7395286877230158
rlh267_bluelightbasal_JNL_10off_20on_20off,5,0.4,30358800,2.259943237381614
rlh267_bluelightbasal_JNL_10off_20on_20off,6,0.5,30587800,3.0313020197234852
rlh267_bluelightbasal_JNL_10off_20on_20off,7,0.6,30374500.000000004,2.312826787088035
rlh267_bluelightbasal_JNL_10off_20on_20off,8,0.7,30344200,2.2107649045336175
rlh267_bluelightbasal_JNL_10off_20on_20off,9,0.8,30320100,2.1295869715448004
rlh267_bluelightbasal_JNL_10off_20on_20off,10,0.9,30379700,2.330342357691418
rlh267_bluelightbasal_JNL_10off_20on_20off,11,1,30265700,1.9463471560015786
rlh267_bluelightbasal_JNL_10off_20on_20off,12,1.1,29979600,0.982653934918569
rlh267_bluelightbasal_JNL_10off_20on_20off,13,1.2,29772700,0.2857363276411318
rlh267_bluelightbasal_JNL_10off_20on_20off,14,1.3,30139300.000000004,1.520584055180576
rlh267_bluelightbasal_JNL_10off_20on_20off,15,1.4,30114000,1.4353640674371166
rlh267_bluelightbasal_JNL_10off_20on_20off,16,1.5,30063000,1.2635767403653464
rlh267_bluelightbasal_JNL_10off_20on_20off,17,1.6,29655200,-0.11004820041637833
rlh267_bluelightbasal_JNL_10off_20on_20off,18,1.7,29909000,0.7448463801878435
rlh267_bluelightbasal_JNL_10off_20on_20off,19,1.8,29707100,0.06477066772136444
rlh267_bluelightbasal_JNL_10off_20on_20off,20,1.9,29757500,0.2345369674158199
rlh267_bluelightbasal_JNL_10off_20on_20off,21,2,29581800,-0.35728721624124
rlh267_bluelightbasal_JNL_10off_20on_20off,22,2.1,29653200,-0.11678495834076148
rlh267_bluelightbasal_JNL_10off_20on_20off,23,2.2,29504500,-0.6176629100186488
rlh267_bluelightbasal_JNL_10off_20on_20off,24,2.3,29729000,0.13853816699335997
rlh267_bluelightbasal_JNL_10off_20on_20off,25,2.4,29461700,-0.7618295296004483
rlh267_bluelightbasal_JNL_10off_20on_20off,26,2.5,29843400,0.5238807202680763
rlh267_bluelightbasal_JNL_10off_20on_20off,27,2.6,29699399.999999996,0.03883414971247677
rlh267_bluelightbasal_JNL_10off_20on_20off,28,2.7,29645400,-0.14305831424585577
rlh267_bluelightbasal_JNL_10off_20on_20off,29,2.8,29509500,-0.6008210152076909
rlh267_bluelightbasal_JNL_10off_20on_20off,30,2.9,29637800,-0.16865799435851175
rlh267_bluelightbasal_JNL_10off_20on_20off,31,3,29457900,-0.7746293696567762
rlh267_bluelightbasal_JNL_10off_20on_20off,32,3.1,29616400,-0.24074130414941147
rlh267_bluelightbasal_JNL_10off_20on_20off,33,3.2,29534400,-0.5169483790491207
rlh267_bluelightbasal_JNL_10off_20on_20off,34,3.3,29516500,-0.57724236247235
rlh267_bluelightbasal_JNL_10off_20on_20off,35,3.4,29422700,-0.8931963091259197
rlh267_bluelightbasal_JNL_10off_20on_20off,36,3.5,29766300,0.26417870228310575
rlh267_bluelightbasal_JNL_10off_20on_20off,37,3.6,29612800,-0.25286746841330116
rlh267_bluelightbasal_JNL_10off_20on_20off,38,3.7,29544600,-0.48259091363476664
rlh267_bluelightbasal_JNL_10off_20on_20off,39,3.8,29379000,-1.0403944697736915
rlh267_bluelightbasal_JNL_10off_20on_20off,40,3.9,29438000,-0.8416601110043886
rlh267_bluelightbasal_JNL_10off_20on_20off,41,4,29406600,-0.9474272104172041
rlh267_bluelightbasal_JNL_10off_20on_20off,42,4.1,29336200,-1.184561089355491
rlh267_bluelightbasal_JNL_10off_20on_20off,43,4.2,29518700,-0.5698319287555285
rlh267_bluelightbasal_JNL_10off_20on_20off,44,4.3,29348400,-1.143466866016754
rlh267_bluelightbasal_JNL_10off_20on_20off,45,4.4,29166599.999999996,-1.7558381613431948
rlh267_bluelightbasal_JNL_10off_20on_20off,46,4.5,29351100,-1.1343722428188365
rlh267_bluelightbasal_JNL_10off_20on_20off,47,4.6,29536100,-0.5112221348133951
rlh267_bluelightbasal_JNL_10off_20on_20off,48,4.7,29438399.999999996,-0.8403127594195245
rlh267_bluelightbasal_JNL_10off_20on_20off,49,4.8,29305900,-1.2866229719098958
rlh267_bluelightbasal_JNL_10off_20on_20off,50,4.9,29267100,-1.417316075642929
rlh267_bluelightbasal_JNL_10off_20on_20off,51,5,29135600,-1.8602579091711213
rlh267_bluelightbasal_JNL_10off_20on_20off,52,5.1,29288500,-1.3452327658520291
rlh267_bluelightbasal_JNL_10off_20on_20off,53,5.2,29037099.999999996,-2.1920432369470038
rlh267_bluelightbasal_JNL_10off_20on_20off,54,5.3,29249100,-1.4779468969623772
rlh267_bluelightbasal_JNL_10off_20on_20off,55,5.4,29433900,-0.855470464749374
