strain_stim,jnl,frame,time_ms,fluor
odr7p_Bcary_5percent,JNL_10off_120on_50off,2,100,90115800
odr7p_Bcary_5percent,JNL_10off_120on_50off,3,200,88547000
odr7p_Bcary_5percent,JNL_10off_120on_50off,4,300,87360300
odr7p_Bcary_5percent,JNL_10off_120on_50off,5,400,86666500
odr7p_Bcary_5percent,JNL_10off_120on_50off,6,500,86020400
odr7p_Bcary_5percent,JNL_10off_120on_50off,7,600,85924300
odr7p_Bcary_5percent,JNL_10off_120on_50off,8,700,85321100
odr7p_Bcary_5percent,JNL_10off_120on_50off,9,800,85132100.00000001
odr7p_Bcary_5percent,JNL_10off_120on_50off,10,900,85326000
odr7p_Bcary_5percent,JNL_10off_120on_50off,11,1000,84635300
odr7p_Bcary_5percent,JNL_10off_120on_50off,12,1100,84725100
odr7p_Bcary_5percent,JNL_10off_120on_50off,13,1200,84403600
odr7p_Bcary_5percent,JNL_10off_120on_50off,14,1301,84440899.99999999
odr7p_Bcary_5percent,JNL_10off_120on_50off,15,1401,84330900
odr7p_Bcary_5percent,JNL_10off_120on_50off,16,1501,84530500
odr7p_Bcary_5percent,JNL_10off_120on_50off,17,1601,84152100
odr7p_Bcary_5percent,JNL_10off_120on_50off,18,1701,84388300
odr7p_Bcary_5percent,JNL_10off_120on_50off,19,1801,84182900
odr7p_Bcary_5percent,JNL_10off_120on_50off,20,1901,83922000.00000001
odr7p_Bcary_5percent,JNL_10off_120on_50off,21,2001,83928900
odr7p_Bcary_5percent,JNL_10off_120on_50off,22,2101,83871400
odr7p_Bcary_5percent,JNL_10off_120on_50off,23,2201,83666300
odr7p_Bcary_5percent,JNL_10off_120on_50off,24,2301,84010400
odr7p_Bcary_5percent,JNL_10off_120on_50off,25,2401,83888500
odr7p_Bcary_5percent,JNL_10off_120on_50off,26,2501,83455800
odr7p_Bcary_5percent,JNL_10off_120on_50off,27,2601,83766600
odr7p_Bcary_5percent,JNL_10off_120on_50off,28,2701,83971300
odr7p_Bcary_5percent,JNL_10off_120on_50off,29,2801,83679000
odr7p_Bcary_5percent,JNL_10off_120on_50off,30,2901,83668099.99999999
odr7p_Bcary_5percent,JNL_10off_120on_50off,31,3001,83483600
odr7p_Bcary_5percent,JNL_10off_120on_50off,32,3101,83630500
odr7p_Bcary_5percent,JNL_10off_120on_50off,33,3201,83537300
odr7p_Bcary_5percent,JNL_10off_120on_50off,34,3301,83868400
odr7p_Bcary_5percent,JNL_10off_120on_50off,35,3401,83364600
odr7p_Bcary_5percent,JNL_10off_120on_50off,36,3501,83286600
odr7p_Bcary_5percent,JNL_10off_120on_50off,37,3601,83273100
odr7p_Bcary_5percent,JNL_10off_120on_50off,38,3701,83109300.00000001
odr7p_Bcary_5percent,JNL_10off_120on_50off,39,3801,83124200
odr7p_Bcary_5percent,JNL_10off_120on_50off,40,3901,82898700
odr7p_Bcary_5percent,JNL_10off_120on_50off,41,4001,83191300
odr7p_Bcary_5percent,JNL_10off_120on_50off,42,4101,83052100
odr7p_Bcary_5percent,JNL_10off_120on_50off,43,4201,82750400
odr7p_Bcary_5percent,JNL_10off_120on_50off,44,4301,82763200
odr7p_Bcary_5percent,JNL_10off_120on_50off,45,4401,83175400
odr7p_Bcary_5percent,JNL_10off_120on_50off,46,4501,82526300
odr7p_Bcary_5percent,JNL_10off_120on_50off,47,4601,82728700
odr7p_Bcary_5percent,JNL_10off_120on_50off,48,4701,82837099.99999999
odr7p_Bcary_5percent,JNL_10off_120on_50off,49,4801,82826500
odr7p_Bcary_5percent,JNL_10off_120on_50off,50,4901,82609000
odr7p_Bcary_5percent,JNL_10off_120on_50off,51,5001,82637300
odr7p_Bcary_5percent,JNL_10off_120on_50off,52,5101,82620200
odr7p_Bcary_5percent,JNL_10off_120on_50off,53,5201,82528500
odr7p_Bcary_5percent,JNL_10off_120on_50off,54,5301,82239700
odr7p_Bcary_5percent,JNL_10off_120on_50off,55,5401,82310500
odr7p_Bcary_5percent,JNL_10off_120on_50off,56,5501,82482100
odr7p_Bcary_5percent,JNL_10off_120on_50off,57,5601,82130400
odr7p_Bcary_5percent,JNL_10off_120on_50off,58,5701,82224900
odr7p_Bcary_5percent,JNL_10off_120on_50off,59,5801,82345700
odr7p_Bcary_5percent,JNL_10off_120on_50off,60,5901,81924400
odr7p_Bcary_5percent,JNL_10off_120on_50off,61,6001,81787400
odr7p_Bcary_5percent,JNL_10off_120on_50off,62,6101,82265400
odr7p_Bcary_5percent,JNL_10off_120on_50off,63,6201,82029800
odr7p_Bcary_5percent,JNL_10off_120on_50off,64,6301,82441900
odr7p_Bcary_5percent,JNL_10off_120on_50off,65,6401,82217000
odr7p_Bcary_5percent,JNL_10off_120on_50off,66,6501,81995400
odr7p_Bcary_5percent,JNL_10off_120on_50off,67,6601,81939400
odr7p_Bcary_5percent,JNL_10off_120on_50off,68,6701,81900700
odr7p_Bcary_5percent,JNL_10off_120on_50off,69,6801,81889800.00000001
