strain_stim,jnl,frame,time_s,fluor,dff
odr7p_Bcary_5percent,JNL_10off_120on_50off,2,0.1,34784500,30.325443930011552
odr7p_Bcary_5percent,JNL_10off_120on_50off,3,0.2,32936899.999999996,23.403128237531
odr7p_Bcary_5percent,JNL_10off_120on_50off,4,0.3,31824100,19.23385301421842
odr7p_Bcary_5percent,JNL_10off_120on_50off,5,0.4,31005500,16.166843041353854
odr7p_Bcary_5percent,JNL_10off_120on_50off,6,0.5,30757800,15.23879714558235
odr7p_Bcary_5percent,JNL_10off_120on_50off,7,0.6,30063600,12.637870779637348
odr7p_Bcary_5percent,JNL_10off_120on_50off,8,0.7,29793400,11.625525196119138
odr7p_Bcary_5percent,JNL_10off_120on_50off,9,0.8,29335200,9.908808888317349
odr7p_Bcary_5percent,JNL_10off_120on_50off,10,0.9,29411299.999999996,10.193929165540636
odr7p_Bcary_5percent,JNL_10off_120on_50off,11,1,28973200,8.552520578792585
odr7p_Bcary_5percent,JNL_10off_120on_50off,12,1.1,28674000,7.431522064400846
odr7p_Bcary_5percent,JNL_10off_120on_50off,13,1.2,28459700,6.628614371773341
odr7p_Bcary_5percent,JNL_10off_120on_50off,14,1.3,27992900,4.879676849988368
odr7p_Bcary_5percent,JNL_10off_120on_50off,15,1.4,27795899.999999996,4.141586250606092
odr7p_Bcary_5percent,JNL_10off_120on_50off,16,1.5,27491800,3.0022291375495285
odr7p_Bcary_5percent,JNL_10off_120on_50off,17,1.6,27709100.000000004,3.8163767885432756
odr7p_Bcary_5percent,JNL_10off_120on_50off,18,1.7,27297600.000000004,2.27462916597576
odr7p_Bcary_5percent,JNL_10off_120on_50off,19,1.8,27241700,2.065191275085043
odr7p_Bcary_5percent,JNL_10off_120on_50off,20,1.9,27362099.999999996,2.5162882708496195
odr7p_Bcary_5percent,JNL_10off_120on_50off,21,2,27097800,1.5260479387850052
odr7p_Bcary_5percent,JNL_10off_120on_50off,22,2.1,26889800,0.7467441587265768
odr7p_Bcary_5percent,JNL_10off_120on_50off,23,2.2,26816300,0.47136517875400724
odr7p_Bcary_5percent,JNL_10off_120on_50off,24,2.3,26681700,-0.03293428661072573
